* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 13, 2025 12:28:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L14
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 79.868, -9.1506
20.140070, 79.911, -9.8298
20.286013, 79.964, -10.3999
20.433014, 80.032, -10.8957
20.581080, 80.121, -11.3674
20.730219, 80.233, -11.8748
20.880438, 80.364, -12.4803
21.031747, 80.510, -13.2392
21.184151, 80.661, -14.1917
21.337660, 80.808, -15.3582
21.492282, 80.939, -16.7364
21.648024, 81.045, -18.3031
21.804894, 81.117, -20.0178
21.962902, 81.151, -21.8257
22.122054, 81.144, -23.6639
22.282359, 81.096, -25.4663
22.443827, 81.013, -27.1691
22.606464, 80.902, -28.7191
22.770280, 80.776, -30.0788
22.935282, 80.647, -31.2348
23.101481, 80.529, -32.2025
23.268884, 80.436, -33.0260
23.437500, 80.375, -33.7730
23.607337, 80.348, -34.5219
23.778406, 80.354, -35.3460
23.950714, 80.382, -36.2989
24.124271, 80.424, -37.4051
24.299085, 80.467, -38.6590
24.475166, 80.505, -40.0300
24.652524, 80.533, -41.4720
24.831166, 80.552, -42.9362
25.011103, 80.567, -44.3818
25.192344, 80.586, -45.7870
25.374898, 80.617, -47.1546
25.558775, 80.667, -48.5111
25.743984, 80.738, -49.9007
25.930536, 80.829, -51.3715
26.118439, 80.931, -52.9619
26.307704, 81.034, -54.6875
26.498340, 81.125, -56.5356
26.690358, 81.194, -58.4653
26.883768, 81.235, -60.4138
27.078578, 81.246, -62.3079
27.274801, 81.231, -64.0764
27.472445, 81.199, -65.6651
27.671522, 81.164, -67.0488
27.872041, 81.138, -68.2397
28.074014, 81.132, -69.2853
28.277450, 81.149, -70.2573
28.482360, 81.187, -71.2287
28.688755, 81.234, -72.2518
28.896645, 81.278, -73.3410
29.106042, 81.305, -74.4682
29.316956, 81.310, -75.5711
29.529399, 81.292, -76.5720
29.743381, 81.259, -77.4022
29.958914, 81.228, -78.0290
30.176009, 81.217, -78.4770
30.394677, 81.241, -78.8329
30.614929, 81.305, -79.2275
30.836777, 81.401, -79.7965
31.060233, 81.510, -80.6359
31.285309, 81.606, -81.7709
31.512015, 81.663, -83.1472
31.740364, 81.663, -84.6423
31.970368, 81.599, -86.0887
32.202038, 81.479, -87.3067
32.435387, 81.322, -88.1415
32.670428, 81.164, -88.5110
32.907171, 81.045, -88.4484
33.145630, 80.999, -88.1199
33.385817, 81.041, -87.7881
33.627744, 81.159, -87.7259
33.871425, 81.322, -88.1243
34.116871, 81.486, -89.0404
34.364096, 81.614, -90.4048
34.613112, 81.680, -92.0590
34.863933, 81.672, -93.8025
35.116572, 81.594, -95.4318
35.371041, 81.462, -96.7722
35.627354, 81.303, -97.7090
35.885524, 81.147, -98.2099
36.145566, 81.025, -98.3334
36.407491, 80.955, -98.2120
36.671315, 80.943, -98.0096
36.937051, 80.983, -97.8734
37.204712, 81.058, -97.8988
37.474312, 81.153, -98.1231
37.745867, 81.253, -98.5403
38.019389, 81.351, -99.1233
38.294893, 81.440, -99.8416
38.572393, 81.517, -100.6679
38.851905, 81.577, -101.5748
39.133442, 81.617, -102.5285
39.417019, 81.634, -103.4839
39.702651, 81.629, -104.3867
39.990353, 81.607, -105.1836
40.280139, 81.576, -105.8373
40.572026, 81.549, -106.3412
40.866027, 81.538, -106.7269
41.162159, 81.549, -107.0576
41.460437, 81.584, -107.4095
41.760877, 81.638, -107.8467
42.063493, 81.700, -108.4029
42.368303, 81.763, -109.0762
42.675321, 81.820, -109.8376
42.984564, 81.868, -110.6479
43.296048, 81.909, -111.4734
43.609789, 81.948, -112.2955
43.925803, 81.986, -113.1116
44.244108, 82.025, -113.9280
44.564719, 82.064, -114.7519
44.887653, 82.103, -115.5843
45.212928, 82.139, -116.4203
45.540559, 82.174, -117.2532
45.870565, 82.207, -118.0800
46.202962, 82.239, -118.9035
46.537767, 82.269, -119.7318
46.874999, 82.296, -120.5730
47.214675, 82.318, -121.4298
47.556812, 82.331, -122.2973
47.901428, 82.334, -123.1629
48.248542, 82.325, -124.0090
48.598170, 82.305, -124.8165
48.950333, 82.275, -125.5672
49.305047, 82.240, -126.2471
49.662332, 82.202, -126.8499
50.022206, 82.169, -127.3821
50.384687, 82.144, -127.8657
50.749795, 82.132, -128.3367
51.117549, 82.132, -128.8369
51.487968, 82.142, -129.4016
51.861071, 82.157, -130.0490
52.236878, 82.172, -130.7768
52.615408, 82.184, -131.5677
52.996681, 82.190, -132.3988
53.380716, 82.193, -133.2488
53.767535, 82.191, -134.1005
54.157157, 82.186, -134.9381
54.549602, 82.179, -135.7458
54.944891, 82.172, -136.5114
55.343044, 82.168, -137.2313
55.744083, 82.169, -137.9126
56.148027, 82.174, -138.5662
56.554899, 82.182, -139.1964
56.964719, 82.192, -139.7967
57.377509, 82.204, -140.3605
57.793290, 82.223, -140.8988
58.212084, 82.250, -141.4490
