* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 13, 2025 12:18:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R11
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 77.075, 13.4282
20.140070, 77.203, 12.0759
20.286013, 77.372, 10.5618
20.433014, 77.571, 8.8260
20.581080, 77.783, 6.8373
20.730219, 77.993, 4.5957
20.880438, 78.186, 2.1309
21.031747, 78.348, -0.5049
21.184151, 78.473, -3.2406
21.337660, 78.554, -5.9943
21.492282, 78.591, -8.6793
21.648024, 78.588, -11.2083
21.804894, 78.553, -13.5016
21.962902, 78.499, -15.4952
22.122054, 78.443, -17.1505
22.282359, 78.403, -18.4662
22.443827, 78.398, -19.4855
22.606464, 78.444, -20.2950
22.770280, 78.545, -21.0154
22.935282, 78.700, -21.7775
23.101481, 78.896, -22.6981
23.268884, 79.112, -23.8571
23.437500, 79.327, -25.2860
23.607337, 79.521, -26.9690
23.778406, 79.676, -28.8481
23.950714, 79.779, -30.8348
24.124271, 79.825, -32.8193
24.299085, 79.812, -34.6794
24.475166, 79.749, -36.2916
24.652524, 79.648, -37.5418
24.831166, 79.533, -38.3450
25.011103, 79.432, -38.6670
25.192344, 79.379, -38.5492
25.374898, 79.401, -38.1221
25.558775, 79.514, -37.5920
25.743984, 79.717, -37.2001
25.930536, 79.992, -37.1621
26.118439, 80.307, -37.6221
26.307704, 80.627, -38.6329
26.498340, 80.923, -40.1661
26.690358, 81.167, -42.1333
26.883768, 81.343, -44.4093
27.078578, 81.442, -46.8495
27.274801, 81.460, -49.3011
27.472445, 81.402, -51.6118
27.671522, 81.278, -53.6377
27.872041, 81.106, -55.2559
28.074014, 80.914, -56.3811
28.277450, 80.731, -56.9882
28.482360, 80.590, -57.1307
28.688755, 80.517, -56.9459
28.896645, 80.526, -56.6312
29.106042, 80.613, -56.3979
29.316956, 80.758, -56.4171
29.529399, 80.936, -56.7852
29.743381, 81.120, -57.5180
29.958914, 81.286, -58.5674
30.176009, 81.420, -59.8467
30.394677, 81.517, -61.2555
30.614929, 81.576, -62.6978
30.836777, 81.603, -64.0955
31.060233, 81.606, -65.3948
31.285309, 81.593, -66.5686
31.512015, 81.574, -67.6129
31.740364, 81.553, -68.5404
31.970368, 81.534, -69.3715
32.202038, 81.518, -70.1266
32.435387, 81.505, -70.8206
32.670428, 81.494, -71.4617
32.907171, 81.486, -72.0536
33.145630, 81.481, -72.5994
33.385817, 81.481, -73.1041
33.627744, 81.486, -73.5771
33.871425, 81.498, -74.0305
34.116871, 81.516, -74.4772
34.364096, 81.540, -74.9291
34.613112, 81.569, -75.3955
34.863933, 81.602, -75.8842
35.116572, 81.638, -76.4017
35.371041, 81.677, -76.9559
35.627354, 81.718, -77.5552
35.885524, 81.760, -78.2079
36.145566, 81.799, -78.9204
36.407491, 81.835, -79.6943
36.671315, 81.863, -80.5257
36.937051, 81.881, -81.4042
37.204712, 81.888, -82.3137
37.474312, 81.882, -83.2340
37.745867, 81.862, -84.1417
38.019389, 81.832, -85.0129
38.294893, 81.791, -85.8256
38.572393, 81.746, -86.5632
38.851905, 81.699, -87.2183
39.133442, 81.657, -87.7950
39.417019, 81.623, -88.3087
39.702651, 81.601, -88.7829
39.990353, 81.592, -89.2429
40.280139, 81.593, -89.7097
40.572026, 81.605, -90.1966
40.866027, 81.625, -90.7103
41.162159, 81.653, -91.2554
41.460437, 81.687, -91.8385
41.760877, 81.727, -92.4689
42.063493, 81.770, -93.1547
42.368303, 81.811, -93.8944
42.675321, 81.845, -94.6714
42.984564, 81.869, -95.4539
43.296048, 81.883, -96.2019
43.609789, 81.889, -96.8810
43.925803, 81.894, -97.4733
44.244108, 81.902, -97.9832
44.564719, 81.917, -98.4307
44.887653, 81.938, -98.8387
45.212928, 81.965, -99.2201
45.540559, 81.994, -99.5750
45.870565, 82.026, -99.8993
46.202962, 82.065, -100.1991
46.537767, 82.113, -100.5006
46.874999, 82.171, -100.8465
47.214675, 82.232, -101.2795
47.556812, 82.290, -101.8209
47.901428, 82.336, -102.4597
48.248542, 82.364, -103.1573
48.598170, 82.374, -103.8661
48.950333, 82.371, -104.5496
49.305047, 82.361, -105.1956
49.662332, 82.349, -105.8143
50.022206, 82.338, -106.4265
50.384687, 82.330, -107.0491
50.749795, 82.323, -107.6910
51.117549, 82.320, -108.3582
51.487968, 82.321, -109.0618
51.861071, 82.326, -109.8192
52.236878, 82.331, -110.6429
52.615408, 82.330, -111.5244
52.996681, 82.319, -112.4244
53.380716, 82.296, -113.2821
53.767535, 82.267, -114.0404
54.157157, 82.242, -114.6735
54.549602, 82.231, -115.2019
54.944891, 82.239, -115.6805
55.343044, 82.263, -116.1674
55.744083, 82.295, -116.6931
56.148027, 82.327, -117.2499
56.554899, 82.353, -117.8027
56.964719, 82.374, -118.3129
57.377509, 82.394, -118.7578
57.793290, 82.417, -119.1412
58.212084, 82.450, -119.4936
58.633913, 82.491, -119.8655
59.058798, 82.539, -120.3124
59.486763, 82.584, -120.8738
59.917828, 82.617, -121.5530
60.352018, 82.627, -122.3121
60.789353, 82.611, -123.0859
61.229858, 82.573, -123.8101
61.673555, 82.521, -124.4464
62.120467, 82.464, -124.9930
62.570617, 82.409, -125.4755
63.024030, 82.360, -125.9280
63.480728, 82.316, -126.3804
63.940735, 82.277, -126.8513
64.404076, 82.240, -127.3481
64.870775, 82.204, -127.8667
65.340855, 82.166, -128.3944
65.814342, 82.127, -128.9147
66.291260, 82.088, -129.4155
66.771634, 82.051, -129.8936
67.255488, 82.018, -130.3555
67.742849, 81.989, -130.8117
68.233742, 81.962, -131.2693
68.728192, 81.935, -131.7271
69.226225, 81.907, -132.1776
69.727866, 81.879, -132.6132
70.233143, 81.850, -133.0328
70.742082, 81.820, -133.4409
71.254708, 81.789, -133.8396
71.771049, 81.755, -134.2252
72.291131, 81.720, -134.5912
72.814983, 81.682, -134.9363
73.342630, 81.645, -135.2684
