* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Left 1, Left 2, Left 3, Left 4, Left 5, Left 6, Left 7, Left 8, Left 9, Left 10, Left 11, Left 12, Left 13, Left 14, Left 15, Left 16, Left 17, Left 18, Left 19, Left 20, Left 21, Left 22, Left 23, Left 24, Left 25, Left 26
* Dated: Jan 12, 2025 8:27:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Left 1, Left 2, Left 3, Left 4, Left 5, Left 6, Left 7, Left 8, Left 9, Left 10, Left 11, Left 12, Left 13, Left 14, Left 15, Left 16, Left 17, Left 18, Left 19, Left 20, Left 21, Left 22, Left 23, Left 24, Left 25, Left 26
* Measurement: Left Ear 25 seats
* Smoothing: 1/12 octave
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
19.850924, 80.387
20.187380, 80.671
20.523836, 80.942
20.860293, 81.202
21.196749, 81.457
21.533205, 81.707
21.869662, 81.951
22.206118, 82.189
22.542574, 82.418
22.879030, 82.642
23.215487, 82.863
23.551943, 83.084
23.888399, 83.307
24.224856, 83.529
24.561312, 83.747
24.897768, 83.955
25.234225, 84.149
25.570681, 84.330
25.907137, 84.501
26.243594, 84.667
26.580050, 84.834
26.916506, 85.006
27.252963, 85.183
27.589419, 85.364
27.925875, 85.543
28.262332, 85.718
28.598788, 85.887
28.935244, 86.049
29.271701, 86.206
29.608157, 86.360
29.944613, 86.510
30.281070, 86.659
30.617526, 86.806
30.953982, 86.949
31.290439, 87.090
31.626895, 87.229
31.963351, 87.366
32.299808, 87.501
32.636264, 87.635
32.972720, 87.768
33.309177, 87.897
33.645633, 88.025
33.982089, 88.149
34.318546, 88.272
34.655002, 88.392
34.991458, 88.512
35.327915, 88.629
35.664371, 88.745
36.000827, 88.859
36.337284, 88.971
36.673740, 89.081
37.010196, 89.189
37.346653, 89.296
37.683109, 89.401
38.019565, 89.506
38.356022, 89.610
38.692478, 89.712
39.028934, 89.814
39.365391, 89.913
39.701847, 90.011
40.038303, 90.105
40.374760, 90.198
40.711216, 90.288
41.047672, 90.376
41.384129, 90.463
41.720585, 90.549
42.057041, 90.635
42.393498, 90.720
42.729954, 90.804
43.066410, 90.886
43.402867, 90.967
43.739323, 91.047
44.075779, 91.126
44.412236, 91.203
44.748692, 91.278
45.085148, 91.353
45.421605, 91.426
45.758061, 91.498
46.094517, 91.568
46.430974, 91.639
46.767430, 91.708
47.103886, 91.776
47.440342, 91.844
47.776799, 91.911
48.113255, 91.977
48.449711, 92.042
48.786168, 92.106
49.122624, 92.170
49.459080, 92.233
49.795537, 92.296
50.131993, 92.358
50.468449, 92.420
50.804906, 92.480
51.141362, 92.539
51.477818, 92.598
51.814275, 92.656
52.150731, 92.714
52.487187, 92.771
52.823644, 92.827
53.160100, 92.883
53.496556, 92.939
53.833013, 92.994
54.169469, 93.048
54.505925, 93.102
54.842382, 93.156
55.178838, 93.208
55.515294, 93.260
55.851751, 93.311
56.188207, 93.362
56.524663, 93.412
56.861120, 93.460
57.197576, 93.508
57.534032, 93.556
57.870489, 93.602
58.206945, 93.647
