* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15, Right 16, Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25
* Dated: Jan 12, 2025 7:46:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15, Right 16, Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25
* Measurement: Right Ear 25 Seats
* Smoothing: 1/12 octave
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
19.850924, 76.847
20.187380, 77.175
20.523836, 77.499
20.860293, 77.815
21.196749, 78.118
21.533205, 78.409
21.869662, 78.690
22.206118, 78.962
22.542574, 79.223
22.879030, 79.475
23.215487, 79.717
23.551943, 79.951
23.888399, 80.178
24.224856, 80.402
24.561312, 80.623
24.897768, 80.841
25.234225, 81.057
25.570681, 81.271
25.907137, 81.482
26.243594, 81.691
26.580050, 81.897
26.916506, 82.101
27.252963, 82.300
27.589419, 82.498
27.925875, 82.693
28.262332, 82.885
28.598788, 83.074
28.935244, 83.259
29.271701, 83.438
29.608157, 83.612
29.944613, 83.781
30.281070, 83.948
30.617526, 84.113
30.953982, 84.277
31.290439, 84.439
31.626895, 84.600
31.963351, 84.758
32.299808, 84.912
32.636264, 85.063
32.972720, 85.211
33.309177, 85.356
33.645633, 85.500
33.982089, 85.642
34.318546, 85.782
34.655002, 85.920
34.991458, 86.056
35.327915, 86.188
35.664371, 86.318
36.000827, 86.446
36.337284, 86.571
36.673740, 86.694
37.010196, 86.816
37.346653, 86.937
37.683109, 87.056
38.019565, 87.173
38.356022, 87.288
38.692478, 87.400
39.028934, 87.510
39.365391, 87.618
39.701847, 87.723
40.038303, 87.827
40.374760, 87.930
40.711216, 88.031
41.047672, 88.132
41.384129, 88.232
41.720585, 88.330
42.057041, 88.426
42.393498, 88.520
42.729954, 88.612
43.066410, 88.703
43.402867, 88.791
43.739323, 88.879
44.075779, 88.966
44.412236, 89.052
44.748692, 89.136
45.085148, 89.220
45.421605, 89.302
45.758061, 89.382
46.094517, 89.461
46.430974, 89.539
46.767430, 89.616
47.103886, 89.693
47.440342, 89.769
47.776799, 89.844
48.113255, 89.918
48.449711, 89.991
48.786168, 90.064
49.122624, 90.135
49.459080, 90.206
49.795537, 90.275
50.131993, 90.343
50.468449, 90.410
50.804906, 90.477
51.141362, 90.542
51.477818, 90.607
51.814275, 90.672
52.150731, 90.735
52.487187, 90.798
52.823644, 90.860
53.160100, 90.921
53.496556, 90.982
53.833013, 91.043
54.169469, 91.103
54.505925, 91.163
54.842382, 91.222
55.178838, 91.280
55.515294, 91.338
55.851751, 91.395
56.188207, 91.452
56.524663, 91.508
56.861120, 91.563
57.197576, 91.618
57.534032, 91.672
57.870489, 91.726
58.206945, 91.780
58.543401, 91.834
