* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 8:23:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Left 15
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.033247, 78.848, -7.2569
20.178416, 78.950, -7.9423
20.324637, 79.045, -8.6184
20.471918, 79.136, -9.2742
20.620266, 79.223, -9.8988
20.769689, 79.308, -10.4838
20.920195, 79.394, -11.0249
21.071791, 79.483, -11.5236
21.224486, 79.579, -11.9879
21.378287, 79.683, -12.4318
21.533203, 79.796, -12.8744
21.689242, 79.919, -13.3375
21.846411, 80.050, -13.8423
22.004719, 80.186, -14.4062
22.164174, 80.324, -15.0396
22.324785, 80.458, -15.7438
22.486559, 80.586, -16.5107
22.649506, 80.703, -17.3223
22.813634, 80.807, -18.1530
22.978951, 80.897, -18.9717
23.145466, 80.974, -19.7456
23.313188, 81.041, -20.4435
23.482124, 81.102, -21.0408
23.652286, 81.164, -21.5234
23.823680, 81.233, -21.8910
23.996316, 81.316, -22.1591
24.170203, 81.418, -22.3584
24.345351, 81.542, -22.5309
24.521767, 81.688, -22.7241
24.699462, 81.852, -22.9832
24.878444, 82.030, -23.3442
25.058724, 82.213, -23.8287
25.240310, 82.396, -24.4418
25.423211, 82.571, -25.1727
25.607438, 82.733, -25.9972
25.793000, 82.878, -26.8821
25.979907, 83.005, -27.7899
26.168168, 83.115, -28.6831
26.357794, 83.210, -29.5288
26.548793, 83.294, -30.3019
26.741176, 83.372, -30.9883
26.934954, 83.449, -31.5851
27.130136, 83.531, -32.1011
27.326732, 83.619, -32.5546
27.524753, 83.717, -32.9695
27.724208, 83.825, -33.3721
27.925110, 83.942, -33.7863
28.127466, 84.064, -34.2308
28.331290, 84.191, -34.7177
28.536590, 84.318, -35.2516
28.743378, 84.444, -35.8311
28.951664, 84.566, -36.4503
29.161460, 84.684, -37.1008
29.372776, 84.796, -37.7730
29.585623, 84.903, -38.4579
29.800013, 85.004, -39.1472
30.015956, 85.101, -39.8344
30.233464, 85.193, -40.5137
30.452548, 85.282, -41.1805
30.673220, 85.368, -41.8313
30.895490, 85.453, -42.4633
31.119372, 85.536, -43.0751
31.344876, 85.621, -43.6672
31.572014, 85.706, -44.2421
31.800797, 85.794, -44.8045
32.031239, 85.885, -45.3609
32.263351, 85.979, -45.9186
32.497144, 86.075, -46.4847
32.732632, 86.173, -47.0641
32.969826, 86.272, -47.6591
33.208739, 86.369, -48.2681
33.449383, 86.465, -48.8865
33.691771, 86.559, -49.5074
33.935916, 86.650, -50.1235
34.181829, 86.740, -50.7285
34.429525, 86.829, -51.3183
34.679015, 86.918, -51.8922
34.930314, 87.007, -52.4522
35.183433, 87.098, -53.0020
35.438387, 87.189, -53.5459
35.695188, 87.282, -54.0872
35.953850, 87.375, -54.6279
36.214387, 87.467, -55.1687
36.476811, 87.560, -55.7095
36.741137, 87.652, -56.2507
37.007378, 87.743, -56.7930
37.275549, 87.835, -57.3381
37.545663, 87.925, -57.8877
37.817734, 88.014, -58.4426
38.091777, 88.102, -59.0027
38.367806, 88.188, -59.5663
38.645835, 88.272, -60.1312
38.925879, 88.354, -60.6957
39.207952, 88.436, -61.2595
39.492069, 88.517, -61.8242
39.778244, 88.598, -62.3923
40.066494, 88.678, -62.9663
40.356832, 88.757, -63.5470
40.649275, 88.834, -64.1328
40.943836, 88.910, -64.7200
41.240532, 88.985, -65.3035
41.539378, 89.059, -65.8793
41.840389, 89.133, -66.4456
42.143582, 89.209, -67.0042
42.448972, 89.288, -67.5602
42.756574, 89.368, -68.1206
43.066406, 89.451, -68.6923
43.378483, 89.535, -69.2797
43.692822, 89.618, -69.8836
44.009438, 89.699, -70.5002
44.328348, 89.778, -71.1224
44.649570, 89.854, -71.7411
44.973119, 89.928, -72.3484
45.299013, 90.000, -72.9391
45.627268, 90.072, -73.5124
45.957902, 90.144, -74.0715
46.290932, 90.218, -74.6222
46.626375, 90.292, -75.1700
46.964249, 90.366, -75.7189
47.304571, 90.440, -76.2692
47.647360, 90.512, -76.8196
47.992632, 90.584, -77.3679
48.340407, 90.656, -77.9135
48.690701, 90.727, -78.4585
49.043534, 90.799, -79.0077
49.398924, 90.871, -79.5665
49.756889, 90.943, -80.1389
50.117447, 91.013, -80.7257
50.480619, 91.082, -81.3240
50.846423, 91.147, -81.9280
51.214877, 91.211, -82.5311
51.586001, 91.273, -83.1276
51.959814, 91.335, -83.7145
52.336336, 91.396, -84.2913
52.715587, 91.459, -84.8593
53.097586, 91.523, -85.4211
53.482353, 91.588, -85.9792
53.869908, 91.654, -86.5360
54.260272, 91.721, -87.0931
54.653464, 91.789, -87.6512
55.049506, 91.856, -88.2099
55.448417, 91.923, -88.7681
55.850219, 91.989, -89.3242
56.254933, 92.053, -89.8767
56.662579, 92.117, -90.4235
57.073180, 92.179, -90.9619
57.486755, 92.240, -91.4898
57.903328, 92.301, -92.0076
58.322919, 92.364, -92.5219
58.745551, 92.428, -93.0452
59.171246, 92.493, -93.5925
59.600025, 92.558, -94.1735
60.031911, 92.618, -94.7870
60.466927, 92.673, -95.4208
60.905096, 92.722, -96.0581
61.346439, 92.768, -96.6857
61.790981, 92.812, -97.2992
62.238744, 92.856, -97.9019
62.689751, 92.901, -98.4995
63.144027, 92.948, -99.0967
63.601595, 92.995, -99.6948
64.062478, 93.043, -100.2941
64.526701, 93.092, -100.8943
64.994288, 93.142, -101.4949
65.465264, 93.192, -102.0946
65.939652, 93.241, -102.6916
66.417478, 93.291, -103.2844
66.898766, 93.340, -103.8727
67.383542, 93.389, -104.4570
67.871831, 93.436, -105.0377
68.363659, 93.483, -105.6147
68.859050, 93.528, -106.1877
69.358031, 93.572, -106.7570
69.860628, 93.616, -107.3237
70.366867, 93.658, -107.8894
70.876774, 93.701, -108.4556
71.390376, 93.742, -109.0239
71.907700, 93.784, -109.5961
72.428773, 93.825, -110.1732
72.953622, 93.866, -110.7548
73.482274, 93.907, -111.3395
74.014757, 93.947, -111.9263
74.551098, 93.987, -112.5146
75.091326, 94.027, -113.1047
75.635469, 94.066, -113.6953
76.183555, 94.103, -114.2836
76.735612, 94.140, -114.8668
77.291670, 94.176, -115.4430
77.851757, 94.211, -116.0129
78.415903, 94.245, -116.5786
78.984137, 94.279, -117.1425
79.556489, 94.312, -117.7066
80.132988, 94.345, -118.2725
80.713665, 94.377, -118.8406
81.298549, 94.409, -119.4114
81.887672, 94.440, -119.9852
82.481064, 94.471, -120.5623
83.078756, 94.501, -121.1416
83.680778, 94.531, -121.7217
84.287164, 94.559, -122.3008
84.897943, 94.587, -122.8779
85.513149, 94.614, -123.4518
86.132812, 94.639, -124.0204
86.756966, 94.663, -124.5823
87.385643, 94.686, -125.1379
88.018875, 94.708, -125.6887
88.656696, 94.729, -126.2359
89.299139, 94.749, -126.7804
89.946238, 94.769, -127.3237
90.598025, 94.790, -127.8678
91.254536, 94.810, -128.4144
91.915804, 94.831, -128.9644
92.581864, 94.852, -129.5179
93.252750, 94.873, -130.0754
93.928498, 94.894, -130.6361
94.609143, 94.915, -131.1982
95.294719, 94.935, -131.7594
95.985264, 94.954, -132.3179
96.680813, 94.972, -132.8724
97.381402, 94.988, -133.4228
98.087068, 95.004, -133.9703
98.797847, 95.018, -134.5166
99.513777, 95.031, -135.0618
100.234895, 95.042, -135.6052
100.961238, 95.052, -136.1447
101.692845, 95.060, -136.6780
102.429753, 95.067, -137.2031
103.172002, 95.074, -137.7195
103.919628, 95.082, -138.2292
104.672673, 95.089, -138.7359
105.431174, 95.097, -139.2429
106.195172, 95.105, -139.7522
106.964706, 95.112, -140.2642
107.739816, 95.119, -140.7776
108.520543, 95.125, -141.2903
109.306928, 95.130, -141.8000
110.099011, 95.135, -142.3055
110.896834, 95.138, -142.8068
111.700438, 95.141, -143.3051
112.509866, 95.142, -143.8018
113.325158, 95.141, -144.2983
114.146359, 95.139, -144.7963
114.973511, 95.136, -145.2993
115.806656, 95.131, -145.8110
116.645839, 95.125, -146.3315
117.491103, 95.118, -146.8554
118.342492, 95.111, -147.3712
119.200050, 95.104, -147.8646
120.063823, 95.101, -148.3282
120.933855, 95.102, -148.7701
121.810191, 95.107, -149.2059
122.692878, 95.114, -149.6438
123.581962, 95.120, -150.0826
124.477487, 95.123, -150.5187
125.379503, 95.124, -150.9506
126.288054, 95.122, -151.3792
127.203189, 95.117, -151.8062
128.124956, 95.112, -152.2335
129.053402, 95.106, -152.6620
129.988577, 95.100, -153.0919
130.930527, 95.093, -153.5216
131.879304, 95.087, -153.9489
132.834956, 95.081, -154.3704
133.797533, 95.074, -154.7842
134.767085, 95.066, -155.1903
135.743663, 95.059, -155.5908
136.727317, 95.051, -155.9883
137.718100, 95.043, -156.3854
138.716062, 95.034, -156.7823
139.721255, 95.026, -157.1786
140.733733, 95.018, -157.5726
141.753548, 95.009, -157.9628
142.780753, 95.000, -158.3492
143.815401, 94.990, -158.7320
144.857546, 94.981, -159.1120
145.907244, 94.971, -159.4900
146.964548, 94.961, -159.8676
148.029514, 94.951, -160.2470
149.102197, 94.942, -160.6296
150.182652, 94.932, -161.0140
151.270938, 94.923, -161.3973
152.367109, 94.914, -161.7770
153.471224, 94.905, -162.1530
154.583340, 94.895, -162.5265
155.703515, 94.885, -162.8977
156.831807, 94.874, -163.2656
157.968274, 94.861, -163.6298
159.112978, 94.848, -163.9910
160.265976, 94.834, -164.3510
161.427329, 94.820, -164.7118
162.597098, 94.805, -165.0749
163.775344, 94.790, -165.4406
164.962128, 94.774, -165.8077
166.157511, 94.757, -166.1741
167.361557, 94.740, -166.5377
168.574328, 94.723, -166.8969
169.795887, 94.704, -167.2505
171.026298, 94.685, -167.5970
172.265625, 94.666, -167.9354
173.513933, 94.645, -168.2647
174.771286, 94.625, -168.5844
176.037751, 94.604, -168.8943
177.313393, 94.583, -169.1962
178.598279, 94.562, -169.4921
179.892476, 94.542, -169.7842
181.196051, 94.523, -170.0735
182.509072, 94.503, -170.3609
183.831608, 94.484, -170.6466
185.163728, 94.465, -170.9312
186.505500, 94.447, -171.2147
187.856996, 94.429, -171.4974
189.218285, 94.410, -171.7793
190.589439, 94.392, -172.0603
191.970529, 94.373, -172.3404
193.361626, 94.354, -172.6194
194.762804, 94.334, -172.8970
196.174136, 94.314, -173.1737
197.595694, 94.293, -173.4496
199.027554, 94.272, -173.7252
200.469790, 94.251, -174.0015
201.922477, 94.230, -174.2791
203.385690, 94.208, -174.5576
204.859507, 94.187, -174.8353
206.344003, 94.165, -175.1092
207.839257, 94.144, -175.3763
209.345346, 94.122, -175.6357
210.862348, 94.101, -175.8884
212.390344, 94.079, -176.1376
213.929412, 94.056, -176.3870
215.479633, 94.032, -176.6387
217.041087, 94.008, -176.8926
218.613856, 93.983, -177.1467
220.198022, 93.957, -177.3994
221.793668, 93.931, -177.6497
223.400876, 93.905, -177.8976
225.019731, 93.877, -178.1431
226.650317, 93.850, -178.3852
228.292718, 93.823, -178.6227
229.947022, 93.797, -178.8544
231.613312, 93.772, -179.0797
233.291678, 93.748, -179.2982
234.982206, 93.723, -179.5108
236.684984, 93.698, -179.7186
238.400101, 93.672, -179.9227
240.127646, 93.646, 179.8767
241.867710, 93.620, 179.6787
243.620383, 93.594, 179.4816
245.385757, 93.568, 179.2837
247.163923, 93.541, 179.0853
248.954975, 93.515, 178.8870
250.759005, 93.488, 178.6897
252.576108, 93.461, 178.4941
254.406379, 93.434, 178.3008
256.249912, 93.407, 178.1100
258.106805, 93.380, 177.9223
259.977153, 93.353, 177.7382
261.861055, 93.325, 177.5580
263.758608, 93.298, 177.3809
265.669911, 93.270, 177.2057
267.595065, 93.243, 177.0311
269.534169, 93.215, 176.8569
271.487325, 93.187, 176.6842
273.454634, 93.159, 176.5142
275.436199, 93.131, 176.3480
277.432123, 93.103, 176.1865
279.442511, 93.074, 176.0305
281.467467, 93.044, 175.8799
283.507096, 93.014, 175.7333
285.561505, 92.984, 175.5882
287.630801, 92.955, 175.4426
289.715093, 92.926, 175.2964
291.814488, 92.897, 175.1516
293.929096, 92.868, 175.0112
296.059027, 92.838, 174.8774
298.204393, 92.809, 174.7516
300.365305, 92.778, 174.6325
302.541876, 92.747, 174.5169
304.734219, 92.717, 174.4010
306.942449, 92.686, 174.2827
309.166680, 92.656, 174.1631
311.407029, 92.628, 174.0457
313.663613, 92.599, 173.9338
315.936549, 92.572, 173.8273
318.225955, 92.545, 173.7235
320.531952, 92.518, 173.6204
322.854659, 92.490, 173.5176
325.194197, 92.462, 173.4159
327.550688, 92.433, 173.3153
329.924255, 92.403, 173.2146
332.315022, 92.373, 173.1122
334.723114, 92.342, 173.0085
337.148655, 92.310, 172.9068
339.591774, 92.278, 172.8105
342.052596, 92.246, 172.7227
344.531250, 92.214, 172.6453
347.027865, 92.182, 172.5781
349.542572, 92.150, 172.5187
352.075502, 92.119, 172.4639
354.626786, 92.089, 172.4105
357.196558, 92.060, 172.3564
359.784951, 92.031, 172.2999
362.392101, 92.003, 172.2405
365.018144, 91.975, 172.1780
367.663216, 91.946, 172.1132
370.327455, 91.917, 172.0477
373.011000, 91.888, 171.9839
375.713992, 91.858, 171.9243
378.436570, 91.829, 171.8698
381.178878, 91.799, 171.8192
383.941057, 91.770, 171.7713
386.723252, 91.741, 171.7258
389.525608, 91.712, 171.6847
392.348271, 91.683, 171.6506
395.191389, 91.655, 171.6256
398.055108, 91.628, 171.6077
400.939580, 91.600, 171.5922
403.844953, 91.573, 171.5743
406.771380, 91.545, 171.5526
409.719013, 91.517, 171.5282
412.688006, 91.489, 171.5032
415.678514, 91.461, 171.4794
418.690692, 91.433, 171.4576
421.724697, 91.404, 171.4367
424.780688, 91.374, 171.4144
427.858824, 91.345, 171.3902
430.959265, 91.316, 171.3658
434.082174, 91.288, 171.3438
437.227712, 91.260, 171.3254
440.396044, 91.234, 171.3098
443.587336, 91.207, 171.2958
446.801752, 91.180, 171.2841
450.039462, 91.154, 171.2784
453.300634, 91.128, 171.2847
456.585437, 91.101, 171.3055
459.894043, 91.075, 171.3373
463.226625, 91.048, 171.3732
466.583356, 91.021, 171.4075
469.964411, 90.992, 171.4374
473.369967, 90.963, 171.4625
476.800201, 90.935, 171.4841
480.255292, 90.907, 171.5020
483.735420, 90.880, 171.5137
487.240766, 90.853, 171.5194
490.771513, 90.827, 171.5246
494.327846, 90.801, 171.5375
497.909949, 90.774, 171.5643
501.518010, 90.748, 171.6050
505.152216, 90.723, 171.6544
508.812758, 90.698, 171.7051
512.499825, 90.673, 171.7519
516.213610, 90.649, 171.7927
519.954306, 90.625, 171.8287
523.722109, 90.600, 171.8627
527.517216, 90.575, 171.8975
531.339823, 90.550, 171.9356
535.190130, 90.524, 171.9803
539.068339, 90.498, 172.0338
542.974650, 90.471, 172.0944
546.909268, 90.443, 172.1564
550.872398, 90.417, 172.2142
554.864247, 90.391, 172.2682
558.885022, 90.366, 172.3236
562.934933, 90.342, 172.3851
567.014192, 90.319, 172.4528
571.123010, 90.295, 172.5248
575.261603, 90.272, 172.5999
579.430186, 90.248, 172.6764
583.628976, 90.224, 172.7526
587.858192, 90.201, 172.8290
592.118055, 90.177, 172.9075
596.408786, 90.154, 172.9896
600.730610, 90.132, 173.0762
605.083752, 90.109, 173.1671
609.468438, 90.087, 173.2595
613.884897, 90.065, 173.3502
618.333360, 90.042, 173.4387
622.814059, 90.020, 173.5271
627.327226, 89.998, 173.6174
631.873098, 89.976, 173.7103
636.451911, 89.954, 173.8047
641.063904, 89.933, 173.8997
645.709317, 89.912, 173.9937
650.388393, 89.891, 174.0860
655.101375, 89.869, 174.1772
659.848510, 89.848, 174.2684
664.630044, 89.828, 174.3611
669.446228, 89.808, 174.4575
674.297311, 89.787, 174.5591
679.183547, 89.767, 174.6658
684.105191, 89.747, 174.7771
689.062499, 89.727, 174.8936
694.055730, 89.707, 175.0153
699.085144, 89.688, 175.1412
704.151003, 89.668, 175.2691
709.253572, 89.649, 175.3968
714.393116, 89.631, 175.5223
719.569903, 89.613, 175.6458
724.784203, 89.595, 175.7699
730.036288, 89.578, 175.8977
735.326432, 89.561, 176.0299
740.654910, 89.543, 176.1655
746.022001, 89.525, 176.3027
751.427984, 89.508, 176.4396
756.873141, 89.490, 176.5748
762.357756, 89.472, 176.7076
767.882114, 89.454, 176.8395
773.446504, 89.436, 176.9725
779.051217, 89.418, 177.1088
784.696543, 89.400, 177.2484
790.382778, 89.382, 177.3907
796.110217, 89.364, 177.5345
