* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 7:35:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Right 3
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.033247, 77.324, 7.8591
20.178416, 77.524, 7.1194
20.324637, 77.717, 6.2758
20.471918, 77.897, 5.3431
20.620266, 78.062, 4.3441
20.769689, 78.209, 3.3066
20.920195, 78.338, 2.2625
21.071791, 78.449, 1.2439
21.224486, 78.545, 0.2809
21.378287, 78.629, -0.6013
21.533203, 78.707, -1.3861
21.689242, 78.783, -2.0670
21.846411, 78.864, -2.6495
22.004719, 78.953, -3.1510
22.164174, 79.055, -3.5981
22.324785, 79.169, -4.0232
22.486559, 79.296, -4.4583
22.649506, 79.431, -4.9301
22.813634, 79.570, -5.4551
22.978951, 79.709, -6.0372
23.145466, 79.841, -6.6674
23.313188, 79.965, -7.3248
23.482124, 80.078, -7.9821
23.652286, 80.181, -8.6089
23.823680, 80.277, -9.1790
23.996316, 80.371, -9.6749
24.170203, 80.469, -10.0930
24.345351, 80.575, -10.4458
24.521767, 80.695, -10.7611
24.699462, 80.829, -11.0774
24.878444, 80.976, -11.4359
25.058724, 81.132, -11.8718
25.240310, 81.290, -12.4063
25.423211, 81.442, -13.0411
25.607438, 81.582, -13.7572
25.793000, 81.703, -14.5178
25.979907, 81.805, -15.2734
26.168168, 81.888, -15.9705
26.357794, 81.959, -16.5609
26.548793, 82.026, -17.0125
26.741176, 82.101, -17.3179
26.934954, 82.192, -17.5001
27.130136, 82.310, -17.6113
27.326732, 82.457, -17.7248
27.524753, 82.631, -17.9187
27.724208, 82.824, -18.2594
27.925110, 83.025, -18.7869
28.127466, 83.221, -19.5085
28.331290, 83.401, -20.3994
28.536590, 83.557, -21.4100
28.743378, 83.686, -22.4762
28.951664, 83.788, -23.5308
29.161460, 83.869, -24.5148
29.372776, 83.935, -25.3862
