* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 22, 2025 11:00:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L 14
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 67.392, 38.3081
20.140070, 67.535, 37.7780
20.286013, 67.675, 37.2628
20.433014, 67.811, 36.7704
20.581080, 67.946, 36.3060
20.730219, 68.082, 35.8716
20.880438, 68.219, 35.4656
21.031747, 68.359, 35.0829
21.184151, 68.504, 34.7157
21.337660, 68.653, 34.3544
21.492282, 68.807, 33.9890
21.648024, 68.965, 33.6099
21.804894, 69.127, 33.2097
21.962902, 69.290, 32.7834
22.122054, 69.454, 32.3290
22.282359, 69.616, 31.8473
22.443827, 69.777, 31.3412
22.606464, 69.936, 30.8154
22.770280, 70.092, 30.2750
22.935282, 70.245, 29.7249
23.101481, 70.395, 29.1693
23.268884, 70.543, 28.6115
23.437500, 70.690, 28.0535
23.607337, 70.834, 27.4969
23.778406, 70.977, 26.9432
23.950714, 71.118, 26.3943
24.124271, 71.258, 25.8528
24.299085, 71.397, 25.3221
24.475166, 71.535, 24.8062
24.652524, 71.674, 24.3080
24.831166, 71.814, 23.8291
25.011103, 71.957, 23.3677
25.192344, 72.105, 22.9183
25.374898, 72.259, 22.4705
25.558775, 72.420, 22.0103
25.743984, 72.588, 21.5211
25.930536, 72.761, 20.9868
26.118439, 72.937, 20.3934
26.307704, 73.112, 19.7334
26.498340, 73.283, 19.0062
26.690358, 73.446, 18.2202
26.883768, 73.598, 17.3920
27.078578, 73.738, 16.5446
27.274801, 73.864, 15.7050
27.472445, 73.978, 14.9005
27.671522, 74.083, 14.1554
27.872041, 74.183, 13.4869
28.074014, 74.281, 12.9027
28.277450, 74.384, 12.3996
28.482360, 74.494, 11.9639
28.688755, 74.615, 11.5742
28.896645, 74.747, 11.2048
29.106042, 74.890, 10.8313
29.316956, 75.040, 10.4337
29.529399, 75.196, 9.9994
29.743381, 75.354, 9.5239
29.958914, 75.513, 9.0098
30.176009, 75.669, 8.4637
30.394677, 75.823, 7.8949
30.614929, 75.973, 7.3121
30.836777, 76.120, 6.7225
31.060233, 76.265, 6.1314
31.285309, 76.408, 5.5424
31.512015, 76.548, 4.9581
31.740364, 76.687, 4.3809
31.970368, 76.824, 3.8129
32.202038, 76.960, 3.2554
32.435387, 77.096, 2.7085
32.670428, 77.232, 2.1702
32.907171, 77.369, 1.6365
33.145630, 77.507, 1.1018
33.385817, 77.645, 0.5610
33.627744, 77.783, 0.0102
33.871425, 77.920, -0.5515
34.116871, 78.055, -1.1218
34.364096, 78.187, -1.6963
34.613112, 78.317, -2.2692
34.863933, 78.444, -2.8357
35.116572, 78.570, -3.3933
35.371041, 78.696, -3.9424
35.627354, 78.821, -4.4852
35.885524, 78.947, -5.0251
36.145566, 79.073, -5.5652
36.407491, 79.199, -6.1071
36.671315, 79.324, -6.6508
36.937051, 79.449, -7.1954
37.204712, 79.574, -7.7406
37.474312, 79.699, -8.2865
37.745867, 79.824, -8.8341
38.019389, 79.949, -9.3851
38.294893, 80.074, -9.9402
38.572393, 80.199, -10.4993
38.851905, 80.323, -11.0612
39.133442, 80.447, -11.6244
39.417019, 80.572, -12.1888
39.702651, 80.697, -12.7560
39.990353, 80.823, -13.3297
40.280139, 80.950, -13.9144
40.572026, 81.077, -14.5142
40.866027, 81.204, -15.1300
41.162159, 81.328, -15.7600
41.460437, 81.450, -16.3988
41.760877, 81.569, -17.0395
42.063493, 81.686, -17.6758
42.368303, 81.802, -18.3035
