* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 22, 2025 10:53:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R 10
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 75.050, 19.3693
20.140070, 75.207, 18.7267
20.286013, 75.358, 18.0812
20.433014, 75.504, 17.4416
20.581080, 75.648, 16.8138
20.730219, 75.789, 16.2006
20.880438, 75.930, 15.6015
21.031747, 76.071, 15.0144
21.184151, 76.213, 14.4354
21.337660, 76.355, 13.8608
21.492282, 76.497, 13.2875
21.648024, 76.639, 12.7140
21.804894, 76.780, 12.1408
21.962902, 76.919, 11.5704
22.122054, 77.058, 11.0065
22.282359, 77.195, 10.4531
22.443827, 77.331, 9.9139
22.606464, 77.467, 9.3908
22.770280, 77.605, 8.8830
22.935282, 77.745, 8.3869
23.101481, 77.888, 7.8961
23.268884, 78.034, 7.4024
23.437500, 78.183, 6.8966
23.607337, 78.334, 6.3707
23.778406, 78.484, 5.8193
23.950714, 78.633, 5.2408
24.124271, 78.779, 4.6381
24.299085, 78.919, 4.0185
24.475166, 79.053, 3.3928
24.652524, 79.181, 2.7738
24.831166, 79.303, 2.1743
25.011103, 79.422, 1.6050
25.192344, 79.538, 1.0726
25.374898, 79.656, 0.5785
25.558775, 79.776, 0.1181
25.743984, 79.901, -0.3184
25.930536, 80.032, -0.7446
26.118439, 80.169, -1.1760
26.307704, 80.311, -1.6270
26.498340, 80.457, -2.1092
26.690358, 80.605, -2.6297
26.883768, 80.752, -3.1909
27.078578, 80.897, -3.7906
27.274801, 81.039, -4.4236
27.472445, 81.176, -5.0827
27.671522, 81.309, -5.7603
27.872041, 81.437, -6.4491
28.074014, 81.560, -7.1428
28.277450, 81.679, -7.8355
28.482360, 81.794, -8.5218
28.688755, 81.905, -9.1961
28.896645, 82.012, -9.8527
29.106042, 82.117, -10.4860
29.316956, 82.220, -11.0915
29.529399, 82.324, -11.6671
29.743381, 82.429, -12.2141
29.958914, 82.537, -12.7374
30.176009, 82.650, -13.2459
30.394677, 82.767, -13.7501
30.614929, 82.889, -14.2610
30.836777, 83.013, -14.7869
31.060233, 83.139, -15.3324
31.285309, 83.265, -15.8973
31.512015, 83.390, -16.4776
31.740364, 83.513, -17.0670
31.970368, 83.635, -17.6596
32.202038, 83.756, -18.2514
32.435387, 83.877, -18.8424
32.670428, 83.999, -19.4355
32.907171, 84.121, -20.0360
33.145630, 84.243, -20.6487
33.385817, 84.365, -21.2758
33.627744, 84.484, -21.9162
33.871425, 84.601, -22.5647
34.116871, 84.715, -23.2146
34.364096, 84.826, -23.8590
34.613112, 84.936, -24.4939
34.863933, 85.046, -25.1189
35.116572, 85.157, -25.7378
35.371041, 85.269, -26.3563
35.627354, 85.382, -26.9802
35.885524, 85.495, -27.6130
36.145566, 85.607, -28.2545
36.407491, 85.717, -28.9014
36.671315, 85.826, -29.5487
36.937051, 85.934, -30.1916
37.204712, 86.042, -30.8278
37.474312, 86.150, -31.4577
37.745867, 86.259, -32.0842
38.019389, 86.368, -32.7111
38.294893, 86.478, -33.3416
38.572393, 86.588, -33.9771
38.851905, 86.698, -34.6170
39.133442, 86.806, -35.2598
39.417019, 86.913, -35.9038
39.702651, 87.020, -36.5482
39.990353, 87.125, -37.1929
40.280139, 87.229, -37.8382
40.572026, 87.331, -38.4835
40.866027, 87.432, -39.1274
41.162159, 87.531, -39.7678
41.460437, 87.628, -40.4029
41.760877, 87.724, -41.0321
42.063493, 87.820, -41.6566
42.368303, 87.915, -42.2794
42.675321, 88.010, -42.9037
42.984564, 88.104, -43.5325
43.296048, 88.197, -44.1672
43.609789, 88.289, -44.8074
43.925803, 88.380, -45.4519
44.244108, 88.469, -46.0988
44.564719, 88.558, -46.7466
44.887653, 88.646, -47.3942
45.212928, 88.733, -48.0410
45.540559, 88.821, -48.6869
45.870565, 88.909, -49.3321
46.202962, 88.997, -49.9776
46.537767, 89.086, -50.6247
46.874999, 89.176, -51.2754
47.214675, 89.266, -51.9308
47.556812, 89.356, -52.5910
47.901428, 89.446, -53.2548
48.248542, 89.535, -53.9193
48.598170, 89.622, -54.5814
48.950333, 89.708, -55.2386
49.305047, 89.794, -55.8899
49.662332, 89.880, -56.5361
50.022206, 89.965, -57.1794
50.384687, 90.049, -57.8231
50.749795, 90.132, -58.4700
51.117549, 90.214, -59.1218
51.487968, 90.294, -59.7780
51.861071, 90.371, -60.4367
52.236878, 90.445, -61.0947
52.615408, 90.518, -61.7498
52.996681, 90.589, -62.4014
53.380716, 90.660, -63.0514
53.767535, 90.730, -63.7029
54.157157, 90.801, -64.3594
54.549602, 90.872, -65.0231
54.944891, 90.943, -65.6949
55.343044, 91.014, -66.3749
55.744083, 91.085, -67.0629
56.148027, 91.156, -67.7585
56.554899, 91.228, -68.4603
56.964719, 91.299, -69.1655
57.377509, 91.371, -69.8710
57.793290, 91.442, -70.5753
58.212084, 91.514, -71.2790
58.633913, 91.585, -71.9835
59.058798, 91.654, -72.6875
59.486763, 91.721, -73.3846
59.917828, 91.786, -74.0654
60.352018, 91.848, -74.7223
60.789353, 91.911, -75.3551
61.229858, 91.975, -75.9717
61.673555, 92.040, -76.5839
62.120467, 92.106, -77.2013
62.570617, 92.170, -77.8270
63.024030, 92.232, -78.4594
63.480728, 92.293, -79.0956
63.940735, 92.352, -79.7344
64.404076, 92.409, -80.3769
64.870775, 92.466, -81.0243
65.340855, 92.522, -81.6767
65.814342, 92.577, -82.3335
66.291260, 92.631, -82.9941
66.771634, 92.686, -83.6585
67.255488, 92.740, -84.3270
67.742849, 92.794, -84.9990
68.233742, 92.847, -85.6733
68.728192, 92.900, -86.3481
69.226225, 92.952, -87.0220
69.727866, 93.004, -87.6941
70.233143, 93.054, -88.3641
70.742082, 93.104, -89.0318
71.254708, 93.152, -89.6966
71.771049, 93.199, -90.3580
72.291131, 93.245, -91.0157
72.814983, 93.289, -91.6698
73.342630, 93.333, -92.3208
73.874101, 93.375, -92.9700
74.409423, 93.417, -93.6182
74.948625, 93.458, -94.2662
75.491733, 93.498, -94.9136
76.038777, 93.536, -95.5595
76.589786, 93.574, -96.2030
77.144787, 93.611, -96.8430
77.703810, 93.648, -97.4787
78.266884, 93.683, -98.1094
78.834038, 93.717, -98.7347
79.405302, 93.751, -99.3544
79.980705, 93.784, -99.9684
80.560278, 93.815, -100.5766
81.144051, 93.846, -101.1789
81.732055, 93.876, -101.7761
82.324319, 93.905, -102.3693
82.920875, 93.934, -102.9596
83.521754, 93.962, -103.5470
84.126987, 93.989, -104.1300
84.736605, 94.016, -104.7072
85.350642, 94.042, -105.2780
85.969128, 94.069, -105.8431
86.592096, 94.096, -106.4041
87.219578, 94.123, -106.9626
87.851607, 94.150, -107.5189
88.488216, 94.177, -108.0723
89.129438, 94.203, -108.6220
89.775306, 94.229, -109.1676
90.425855, 94.254, -109.7093
91.081118, 94.279, -110.2477
91.741129, 94.304, -110.7844
92.405924, 94.328, -111.3212
93.075535, 94.351, -111.8597
93.749999, 94.374, -112.4010
94.429350, 94.396, -112.9450
95.113624, 94.417, -113.4911
95.802856, 94.437, -114.0380
96.497083, 94.457, -114.5848
97.196341, 94.476, -115.1308
97.900666, 94.494, -115.6752
98.610094, 94.512, -116.2177
99.324664, 94.529, -116.7581
100.044411, 94.547, -117.2963
100.769374, 94.563, -117.8322
101.499591, 94.579, -118.3655
102.235098, 94.595, -118.8955
102.975936, 94.610, -119.4218
103.722142, 94.624, -119.9443
104.473756, 94.638, -120.4645
105.230815, 94.651, -120.9843
105.993361, 94.664, -121.5060
106.761433, 94.676, -122.0303
107.535070, 94.688, -122.5565
108.314314, 94.698, -123.0827
109.099204, 94.707, -123.6073
109.889782, 94.715, -124.1286
110.686088, 94.722, -124.6458
111.488165, 94.728, -125.1585
112.296055, 94.733, -125.6672
113.109798, 94.737, -126.1726
113.929438, 94.740, -126.6752
114.755018, 94.742, -127.1758
115.586580, 94.743, -127.6749
116.424168, 94.743, -128.1727
117.267826, 94.742, -128.6686
118.117597, 94.741, -129.1612
118.973525, 94.738, -129.6481
119.835657, 94.734, -130.1274
120.704035, 94.729, -130.5983
121.578706, 94.724, -131.0615
122.459716, 94.717, -131.5182
123.347109, 94.710, -131.9689
124.240933, 94.700, -132.4134
125.141234, 94.690, -132.8520
126.048059, 94.678, -133.2856
126.961456, 94.666, -133.7158
127.881471, 94.653, -134.1435
128.808153, 94.639, -134.5685
129.741550, 94.624, -134.9889
130.681710, 94.609, -135.4025
131.628684, 94.593, -135.8074
132.582520, 94.575, -136.2024
133.543267, 94.557, -136.5872
134.510977, 94.539, -136.9618
135.485699, 94.519, -137.3256
136.467484, 94.499, -137.6779
137.456384, 94.479, -138.0191
138.452449, 94.459, -138.3506
139.455733, 94.438, -138.6743
140.466286, 94.418, -138.9915
141.484163, 94.397, -139.3028
142.509416, 94.375, -139.6084
143.542098, 94.354, -139.9080
144.582263, 94.331, -140.2015
145.629965, 94.309, -140.4884
146.685260, 94.286, -140.7682
147.748202, 94.263, -141.0407
148.818846, 94.240, -141.3055
149.897249, 94.216, -141.5621
150.983466, 94.192, -141.8109
152.077555, 94.168, -142.0522
153.179572, 94.144, -142.2868
154.289574, 94.120, -142.5150
155.407620, 94.095, -142.7365
156.533767, 94.071, -142.9506
157.668076, 94.046, -143.1572
158.810603, 94.022, -143.3565
159.961411, 93.998, -143.5487
161.120557, 93.974, -143.7335
162.288103, 93.950, -143.9106
163.464109, 93.926, -144.0798
164.648638, 93.903, -144.2413
165.841750, 93.879, -144.3948
167.043507, 93.855, -144.5401
168.253973, 93.832, -144.6769
169.473211, 93.809, -144.8056
170.701284, 93.787, -144.9273
171.938256, 93.766, -145.0435
173.184191, 93.746, -145.1554
174.439155, 93.727, -145.2631
175.703213, 93.709, -145.3662
176.976431, 93.690, -145.4643
178.258875, 93.672, -145.5580
179.550613, 93.655, -145.6481
180.851710, 93.637, -145.7355
182.162236, 93.619, -145.8208
183.482259, 93.602, -145.9045
184.811847, 93.584, -145.9865
186.151070, 93.567, -146.0669
187.499997, 93.551, -146.1453
188.858700, 93.534, -146.2213
190.227248, 93.518, -146.2938
191.605713, 93.501, -146.3618
192.994167, 93.485, -146.4252
194.392682, 93.469, -146.4850
195.801331, 93.453, -146.5423
197.220189, 93.437, -146.5975
198.649327, 93.422, -146.6503
200.088822, 93.406, -146.7000
201.538748, 93.391, -146.7465
202.999181, 93.375, -146.7898
204.470197, 93.361, -146.8307
205.951872, 93.346, -146.8700
207.444284, 93.331, -146.9087
208.947511, 93.317, -146.9464
210.461631, 93.303, -146.9824
211.986723, 93.288, -147.0157
213.522866, 93.273, -147.0456
215.070141, 93.259, -147.0721
216.628627, 93.244, -147.0952
218.198408, 93.229, -147.1146
219.779563, 93.215, -147.1307
221.372177, 93.201, -147.1440
222.976331, 93.187, -147.1560
224.592109, 93.174, -147.1671
226.219596, 93.161, -147.1772
227.858877, 93.148, -147.1854
229.510036, 93.134, -147.1908
231.173160, 93.120, -147.1929
232.848336, 93.106, -147.1910
234.535651, 93.091, -147.1843
236.235193, 93.077, -147.1730
237.947051, 93.063, -147.1592
239.671313, 93.049, -147.1462
241.408071, 93.035, -147.1356
243.157413, 93.021, -147.1263
244.919432, 93.006, -147.1145
246.694219, 92.991, -147.0951
248.481867, 92.976, -147.0653
250.282469, 92.960, -147.0262
252.096119, 92.945, -146.9812
253.922911, 92.930, -146.9337
255.762941, 92.915, -146.8857
257.616305, 92.900, -146.8375
259.483099, 92.885, -146.7875
261.363421, 92.870, -146.7334
263.257368, 92.855, -146.6732
265.165039, 92.841, -146.6062
267.086534, 92.826, -146.5333
269.021953, 92.811, -146.4563
270.971397, 92.795, -146.3773
272.934968, 92.780, -146.2971
274.912767, 92.763, -146.2144
276.904898, 92.746, -146.1253
278.911465, 92.729, -146.0260
280.932573, 92.712, -145.9143
282.968326, 92.695, -145.7903
285.018831, 92.678, -145.6559
287.084195, 92.663, -145.5133
289.164526, 92.650, -145.3644
291.259931, 92.639, -145.2116
293.370520, 92.629, -145.0582
295.496404, 92.622, -144.9088
297.637693, 92.616, -144.7694
299.794498, 92.611, -144.6464
301.966933, 92.605, -144.5438
304.155110, 92.600, -144.4618
306.359143, 92.592, -144.3983
308.579148, 92.583, -144.3496
310.815239, 92.572, -144.3109
313.067535, 92.558, -144.2756
315.336151, 92.541, -144.2370
317.621207, 92.522, -144.1889
319.922821, 92.501, -144.1268
322.241114, 92.478, -144.0482
324.576206, 92.455, -143.9519
326.928219, 92.431, -143.8388
329.297275, 92.407, -143.7113
331.683499, 92.383, -143.5723
334.087014, 92.360, -143.4232
336.507947, 92.337, -143.2650
338.946422, 92.314, -143.0985
341.402567, 92.293, -142.9248
343.876511, 92.271, -142.7448
346.368382, 92.251, -142.5587
348.878310, 92.231, -142.3669
351.406426, 92.212, -142.1703
353.952862, 92.194, -141.9703
356.517750, 92.177, -141.7679
359.101225, 92.159, -141.5633
361.703421, 92.142, -141.3564
364.324473, 92.125, -141.1478
366.964518, 92.108, -140.9390
369.623694, 92.090, -140.7320
372.302140, 92.073, -140.5278
374.999995, 92.055, -140.3248
377.717399, 92.038, -140.1208
380.454495, 92.020, -139.9137
383.211425, 92.002, -139.7024
385.988333, 91.985, -139.4874
388.785364, 91.967, -139.2698
391.602663, 91.950, -139.0510
394.440377, 91.933, -138.8324
397.298655, 91.916, -138.6150
400.177644, 91.899, -138.3997
403.077497, 91.881, -138.1868
405.998362, 91.863, -137.9760
408.940394, 91.845, -137.7666
411.903744, 91.826, -137.5576
414.888569, 91.806, -137.3481
417.895022, 91.785, -137.1370
420.923262, 91.763, -136.9238
423.973445, 91.740, -136.7083
427.045732, 91.716, -136.4907
430.140281, 91.691, -136.2715
433.257255, 91.665, -136.0511
436.396816, 91.638, -135.8298
439.559127, 91.609, -135.6071
442.744354, 91.579, -135.3822
445.952662, 91.547, -135.1534
449.184218, 91.513, -134.9192
452.439192, 91.477, -134.6785
455.717753, 91.438, -134.4301
459.020072, 91.396, -134.1724
462.346321, 91.351, -133.9019
465.696673, 91.303, -133.6143
469.071303, 91.253, -133.3046
472.470387, 91.202, -132.9690
475.894102, 91.148, -132.6043
479.342627, 91.095, -132.2091
482.816141, 91.042, -131.7835
486.314826, 90.990, -131.3292
489.838864, 90.940, -130.8490
