* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 16, 2025 10:40:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Left 11
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 74.102, -73.2081
20.140070, 74.481, -75.4024
20.286013, 74.758, -77.8423
20.433014, 74.936, -80.3584
20.581080, 75.024, -82.8080
20.730219, 75.033, -85.0757
20.880438, 74.977, -87.0681
21.031747, 74.871, -88.7168
21.184151, 74.735, -89.9832
21.337660, 74.584, -90.8597
21.492282, 74.436, -91.3695
21.648024, 74.301, -91.5624
21.804894, 74.185, -91.4995
21.962902, 74.091, -91.2393
22.122054, 74.015, -90.8215
22.282359, 73.954, -90.2578
22.443827, 73.908, -89.5350
22.606464, 73.882, -88.6293
22.770280, 73.886, -87.5271
22.935282, 73.937, -86.2524
23.101481, 74.052, -84.8860
23.268884, 74.241, -83.5673
23.437500, 74.507, -82.4743
23.607337, 74.835, -81.7816
23.778406, 75.202, -81.6194
23.950714, 75.579, -82.0496
24.124271, 75.936, -83.0604
24.299085, 76.248, -84.5822
24.475166, 76.496, -86.5034
24.652524, 76.666, -88.6880
24.831166, 76.752, -90.9883
25.011103, 76.756, -93.2517
25.192344, 76.685, -95.3309
25.374898, 76.551, -97.0912
25.558775, 76.376, -98.4257
25.743984, 76.186, -99.2714
25.930536, 76.011, -99.6285
26.118439, 75.878, -99.5706
26.307704, 75.807, -99.2362
26.498340, 75.802, -98.7989
26.690358, 75.856, -98.4197
26.883768, 75.949, -98.2080
27.078578, 76.059, -98.2019
27.274801, 76.168, -98.3745
27.472445, 76.265, -98.6558
27.671522, 76.346, -98.9614
27.872041, 76.418, -99.2184
28.074014, 76.490, -99.3865
28.277450, 76.575, -99.4690
28.482360, 76.681, -99.5114
28.688755, 76.813, -99.5872
28.896645, 76.965, -99.7748
29.106042, 77.127, -100.1338
29.316956, 77.286, -100.6898
29.529399, 77.430, -101.4305
29.743381, 77.548, -102.3132
29.958914, 77.636, -103.2775
30.176009, 77.694, -104.2598
30.394677, 77.726, -105.2065
30.614929, 77.738, -106.0826
30.836777, 77.739, -106.8744
31.060233, 77.733, -107.5875
31.285309, 77.725, -108.2388
31.512015, 77.716, -108.8470
31.740364, 77.706, -109.4253
31.970368, 77.695, -109.9771
32.202038, 77.683, -110.4995
32.435387, 77.671, -110.9897
32.670428, 77.664, -111.4521
32.907171, 77.664, -111.9026
33.145630, 77.672, -112.3666
33.385817, 77.688, -112.8706
33.627744, 77.706, -113.4305
33.871425, 77.720, -114.0421
34.116871, 77.725, -114.6768
34.364096, 77.717, -115.2870
34.613112, 77.699, -115.8181
34.863933, 77.679, -116.2270
35.116572, 77.666, -116.4988
