* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 16, 2025 10:48:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Right 27
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 68.720, -31.8011
20.140070, 68.659, -33.0723
20.286013, 68.566, -33.8868
20.433014, 68.465, -34.1526
20.581080, 68.388, -33.8239
20.730219, 68.371, -32.9304
20.880438, 68.445, -31.5992
21.031747, 68.631, -30.0490
21.184151, 68.931, -28.5531
21.337660, 69.327, -27.3741
21.492282, 69.788, -26.7025
21.648024, 70.278, -26.6321
21.804894, 70.761, -27.1650
21.962902, 71.212, -28.2366
22.122054, 71.611, -29.7440
22.282359, 71.944, -31.5652
22.443827, 72.205, -33.5726
22.606464, 72.393, -35.6408
22.770280, 72.510, -37.6483
22.935282, 72.564, -39.4828
23.101481, 72.566, -41.0434
23.268884, 72.532, -42.2482
23.437500, 72.482, -43.0447
23.607337, 72.439, -43.4208
23.778406, 72.425, -43.4167
23.950714, 72.461, -43.1264
24.124271, 72.557, -42.6876
24.299085, 72.713, -42.2578
24.475166, 72.921, -41.9821
24.652524, 73.162, -41.9678
24.831166, 73.417, -42.2695
25.011103, 73.667, -42.8910
25.192344, 73.896, -43.7944
25.374898, 74.091, -44.9145
25.558775, 74.247, -46.1711
25.743984, 74.362, -47.4797
25.930536, 74.439, -48.7592
26.118439, 74.484, -49.9387
26.307704, 74.505, -50.9636
26.498340, 74.514, -51.8000
26.690358, 74.524, -52.4395
26.883768, 74.546, -52.8995
27.078578, 74.589, -53.2219
27.274801, 74.658, -53.4655
27.472445, 74.756, -53.6959
27.671522, 74.877, -53.9735
27.872041, 75.017, -54.3431
28.074014, 75.167, -54.8284
28.277450, 75.319, -55.4311
28.482360, 75.468, -56.1346
28.688755, 75.608, -56.9105
28.896645, 75.740, -57.7266
29.106042, 75.864, -58.5545
29.316956, 75.983, -59.3759
29.529399, 76.102, -60.1854
29.743381, 76.222, -60.9911
29.958914, 76.346, -61.8106
30.176009, 76.471, -62.6648
30.394677, 76.595, -63.5701
30.614929, 76.713, -64.5322
30.836777, 76.820, -65.5427
31.060233, 76.912, -66.5790
31.285309, 76.987, -67.6089
31.512015, 77.046, -68.5970
31.740364, 77.092, -69.5121
31.970368, 77.130, -70.3349
32.202038, 77.168, -71.0625
32.435387, 77.211, -71.7090
32.670428, 77.262, -72.3021
32.907171, 77.324, -72.8754
33.145630, 77.394, -73.4605
33.385817, 77.469, -74.0797
33.627744, 77.547, -74.7435
33.871425, 77.625, -75.4524
34.116871, 77.701, -76.2012
34.364096, 77.775, -76.9844
34.613112, 77.846, -77.7996
34.863933, 77.917, -78.6484
35.116572, 77.985, -79.5350
35.371041, 78.051, -80.4614
35.627354, 78.111, -81.4252
35.885524, 78.165, -82.4172
36.145566, 78.212, -83.4239
36.407491, 78.252, -84.4303
36.671315, 78.287, -85.4252
36.937051, 78.320, -86.4037
37.204712, 78.351, -87.3680
37.474312, 78.382, -88.3241
37.745867, 78.412, -89.2773
38.019389, 78.438, -90.2273
38.294893, 78.460, -91.1653
38.572393, 78.477, -92.0752
38.851905, 78.488, -92.9379
39.133442, 78.497, -93.7374
39.417019, 78.507, -94.4670
39.702651, 78.522, -95.1327
39.990353, 78.545, -95.7520
40.280139, 78.576, -96.3494
40.572026, 78.615, -96.9484
40.866027, 78.657, -97.5644
41.162159, 78.700, -98.2000
41.460437, 78.740, -98.8457
41.760877, 78.777, -99.4852
42.063493, 78.812, -100.1028
42.368303, 78.847, -100.6921
42.675321, 78.886, -101.2601
42.984564, 78.931, -101.8272
43.296048, 78.981, -102.4199
43.609789, 79.033, -103.0613
43.925803, 79.084, -103.7618
44.244108, 79.127, -104.5149
44.564719, 79.161, -105.3003
44.887653, 79.183, -106.0919
45.212928, 79.197, -106.8669
45.540559, 79.202, -107.6113
45.870565, 79.203, -108.3192
46.202962, 79.200, -108.9879
46.537767, 79.194, -109.6125
46.874999, 79.188, -110.1849
47.214675, 79.183, -110.7001
47.556812, 79.185, -111.1656
47.901428, 79.197, -111.6082
48.248542, 79.221, -112.0685
48.598170, 79.253, -112.5866
48.950333, 79.286, -113.1826
49.305047, 79.313, -113.8452
49.662332, 79.327, -114.5358
50.022206, 79.331, -115.2056
50.384687, 79.328, -115.8181
50.749795, 79.327, -116.3661
51.117549, 79.333, -116.8741
51.487968, 79.350, -117.3846
51.861071, 79.373, -117.9366
52.236878, 79.397, -118.5468
52.615408, 79.415, -119.2047
52.996681, 79.425, -119.8799
53.380716, 79.427, -120.5383
53.767535, 79.424, -121.1555
54.157157, 79.419, -121.7238
54.549602, 79.415, -122.2498
54.944891, 79.415, -122.7463
55.343044, 79.416, -123.2236
55.744083, 79.419, -123.6870
56.148027, 79.424, -124.1382
56.554899, 79.428, -124.5791
56.964719, 79.433, -125.0117
57.377509, 79.438, -125.4346
57.793290, 79.441, -125.8414
58.212084, 79.444, -126.2261
58.633913, 79.450, -126.5920
59.058798, 79.461, -126.9594
59.486763, 79.477, -127.3594
59.917828, 79.494, -127.8179
60.352018, 79.506, -128.3384
60.789353, 79.509, -128.8984
61.229858, 79.503, -129.4634
61.673555, 79.489, -130.0060
62.120467, 79.473, -130.5188
62.570617, 79.457, -131.0101
63.024030, 79.443, -131.4917
63.480728, 79.430, -131.9695
63.940735, 79.418, -132.4417
64.404076, 79.406, -132.9054
64.870775, 79.396, -133.3594
65.340855, 79.388, -133.8027
65.814342, 79.380, -134.2327
66.291260, 79.374, -134.6445
66.771634, 79.369, -135.0358
67.255488, 79.367, -135.4092
67.742849, 79.367, -135.7725
68.233742, 79.369, -136.1337
68.728192, 79.373, -136.4972
69.226225, 79.375, -136.8633
69.727866, 79.377, -137.2302
70.233143, 79.378, -137.5973
70.742082, 79.376, -137.9641
71.254708, 79.373, -138.3293
71.771049, 79.367, -138.6885
72.291131, 79.359, -139.0350
72.814983, 79.350, -139.3644
73.342630, 79.341, -139.6768
73.874101, 79.334, -139.9783
74.409423, 79.330, -140.2780
74.948625, 79.328, -140.5845
75.491733, 79.327, -140.9033
76.038777, 79.325, -141.2354
76.589786, 79.323, -141.5786
77.144787, 79.320, -141.9287
77.703810, 79.315, -142.2810
78.266884, 79.309, -142.6311
78.834038, 79.302, -142.9763
79.405302, 79.294, -143.3147
79.980705, 79.286, -143.6448
80.560278, 79.279, -143.9662
81.144051, 79.273, -144.2795
81.732055, 79.267, -144.5852
82.324319, 79.262, -144.8817
82.920875, 79.259, -145.1687
83.521754, 79.256, -145.4482
84.126987, 79.254, -145.7245
84.736605, 79.251, -146.0002
85.350642, 79.248, -146.2737
85.969128, 79.242, -146.5410
86.592096, 79.234, -146.7987
87.219578, 79.226, -147.0461
87.851607, 79.216, -147.2849
88.488216, 79.206, -147.5183
89.129438, 79.197, -147.7488
89.775306, 79.188, -147.9790
90.425855, 79.180, -148.2104
91.081118, 79.173, -148.4442
91.741129, 79.167, -148.6787
92.405924, 79.162, -148.9110
93.075535, 79.160, -149.1396
93.749999, 79.159, -149.3682
94.429350, 79.160, -149.6027
95.113624, 79.162, -149.8481
95.802856, 79.161, -150.1036
96.497083, 79.158, -150.3650
97.196341, 79.153, -150.6289
97.900666, 79.146, -150.8961
98.610094, 79.136, -151.1685
99.324664, 79.124, -151.4459
100.044411, 79.111, -151.7240
100.769374, 79.096, -151.9949
101.499591, 79.082, -152.2491
102.235098, 79.071, -152.4810
102.975936, 79.064, -152.6930
103.722142, 79.062, -152.8972
104.473756, 79.063, -153.1047
105.230815, 79.065, -153.3176
105.993361, 79.067, -153.5303
106.761433, 79.066, -153.7377
107.535070, 79.064, -153.9387
108.314314, 79.060, -154.1366
109.099204, 79.055, -154.3376
109.889782, 79.049, -154.5476
110.686088, 79.042, -154.7682
111.488165, 79.034, -154.9967
112.296055, 79.026, -155.2256
113.109798, 79.017, -155.4424
113.929438, 79.008, -155.6328
114.755018, 79.000, -155.7847
115.586580, 78.995, -155.8950
116.424168, 78.993, -155.9713
117.267826, 78.996, -156.0300
118.117597, 79.002, -156.0928
118.973525, 79.010, -156.1833
119.835657, 79.018, -156.3214
120.704035, 79.021, -156.5087
121.578706, 79.017, -156.7244
122.459716, 79.006, -156.9427
123.347109, 78.992, -157.1506
124.240933, 78.975, -157.3445
125.141234, 78.957, -157.5212
126.048059, 78.938, -157.6772
126.961456, 78.922, -157.8125
127.881471, 78.910, -157.9344
128.808153, 78.902, -158.0588
129.741550, 78.900, -158.2010
130.681710, 78.900, -158.3643
131.628684, 78.901, -158.5427
