* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12
* Dated: Jan 12, 2025 9:03:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12
* Measurement: Left Ear
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
20.141602, 78.416
20.507812, 78.650
20.874023, 78.883
21.240234, 79.104
21.606445, 79.306
21.972656, 79.484
22.338867, 79.641
22.705078, 79.784
23.071289, 79.923
23.437500, 80.063
23.803711, 80.210
24.169922, 80.364
24.536133, 80.523
24.902344, 80.684
25.268555, 80.840
25.634766, 80.988
26.000977, 81.127
26.367188, 81.260
26.733398, 81.394
27.099609, 81.529
27.465820, 81.666
27.832031, 81.797
28.198242, 81.917
28.564453, 82.024
28.930664, 82.117
29.296875, 82.204
29.663086, 82.288
30.029297, 82.374
30.395508, 82.461
30.761719, 82.548
31.127930, 82.631
31.494141, 82.710
31.860352, 82.787
32.226562, 82.863
32.592773, 82.938
32.958984, 83.012
33.325195, 83.084
33.691406, 83.152
34.057617, 83.216
34.423828, 83.276
34.790039, 83.333
35.156250, 83.387
35.522461, 83.439
35.888672, 83.489
36.254883, 83.537
36.621094, 83.583
36.987305, 83.627
37.353516, 83.670
37.719727, 83.711
38.085938, 83.751
38.452148, 83.789
38.818359, 83.825
39.184570, 83.859
39.550781, 83.892
39.916992, 83.922
40.283203, 83.952
40.649414, 83.980
41.015625, 84.007
41.381836, 84.032
41.748047, 84.056
42.114258, 84.078
42.480469, 84.100
42.846680, 84.120
43.212891, 84.139
43.579102, 84.158
43.945312, 84.176
44.311523, 84.194
44.677734, 84.211
45.043945, 84.228
45.410156, 84.243
45.776367, 84.256
46.142578, 84.267
46.508789, 84.277
46.875000, 84.286
47.241211, 84.293
47.607422, 84.300
47.973633, 84.307
48.339844, 84.312
48.706055, 84.317
49.072266, 84.320
49.438477, 84.321
49.804688, 84.321
50.170898, 84.321
50.537109, 84.322
50.903320, 84.323
51.269531, 84.325
51.635742, 84.326
52.001953, 84.327
52.368164, 84.327
52.734375, 84.326
53.100586, 84.323
53.466797, 84.319
53.833008, 84.315
54.199219, 84.309
54.565430, 84.303
54.931641, 84.297
55.297852, 84.290
55.664062, 84.282
56.030273, 84.275
56.396484, 84.267
56.762695, 84.259
57.128906, 84.251
57.495117, 84.243
57.861328, 84.234
58.227539, 84.226
58.593750, 84.217
58.959961, 84.208
59.326172, 84.200
59.692383, 84.191
60.058594, 84.184
60.424805, 84.176
60.791016, 84.169
61.157227, 84.162
61.523438, 84.154
61.889648, 84.146
62.255859, 84.137
62.622070, 84.129
62.988281, 84.120
63.354492, 84.111
63.720703, 84.101
64.086914, 84.092
64.453125, 84.082
64.819336, 84.073
65.185547, 84.064
65.551758, 84.055
65.917969, 84.046
