* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 8:59:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Left 3
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 78.482, -41.8741
20.140070, 78.539, -42.5551
20.286013, 78.600, -43.1978
20.433014, 78.667, -43.8131
20.581080, 78.741, -44.4142
20.730219, 78.821, -45.0149
20.880438, 78.907, -45.6284
21.031747, 78.998, -46.2651
21.184151, 79.092, -46.9315
21.337660, 79.187, -47.6296
21.492282, 79.281, -48.3574
21.648024, 79.374, -49.1089
21.804894, 79.463, -49.8762
21.962902, 79.550, -50.6506
22.122054, 79.635, -51.4243
22.282359, 79.719, -52.1920
22.443827, 79.803, -52.9514
22.606464, 79.888, -53.7040
22.770280, 79.976, -54.4540
22.935282, 80.066, -55.2077
23.101481, 80.158, -55.9717
23.268884, 80.251, -56.7509
23.437500, 80.345, -57.5474
23.607337, 80.436, -58.3595
23.778406, 80.525, -59.1815
23.950714, 80.609, -60.0046
24.124271, 80.690, -60.8184
24.299085, 80.768, -61.6130
24.475166, 80.844, -62.3812
24.652524, 80.920, -63.1204
24.831166, 80.998, -63.8333
25.011103, 81.080, -64.5282
25.192344, 81.166, -65.2173
25.374898, 81.256, -65.9141
25.558775, 81.349, -66.6306
25.743984, 81.442, -67.3741
25.930536, 81.531, -68.1456
26.118439, 81.616, -68.9384
26.307704, 81.694, -69.7399
26.498340, 81.764, -70.5334
26.690358, 81.827, -71.3023
26.883768, 81.885, -72.0333
27.078578, 81.942, -72.7203
27.274801, 82.001, -73.3667
27.472445, 82.064, -73.9854
27.671522, 82.133, -74.5963
27.872041, 82.208, -75.2227
28.074014, 82.287, -75.8851
28.277450, 82.366, -76.5969
28.482360, 82.442, -77.3604
28.688755, 82.509, -78.1659
28.896645, 82.567, -78.9943
29.106042, 82.613, -79.8202
29.316956, 82.650, -80.6185
29.529399, 82.680, -81.3698
29.743381, 82.709, -82.0648
29.958914, 82.741, -82.7083
30.176009, 82.781, -83.3176
30.394677, 82.829, -83.9196
30.614929, 82.887, -84.5438
30.836777, 82.952, -85.2153
31.060233, 83.018, -85.9489
31.285309, 83.083, -86.7457
31.512015, 83.140, -87.5933
31.740364, 83.190, -88.4696
31.970368, 83.229, -89.3479
32.202038, 83.261, -90.2033
32.435387, 83.289, -91.0181
32.670428, 83.317, -91.7853
32.907171, 83.348, -92.5104
33.145630, 83.386, -93.2084
33.385817, 83.432, -93.9000
33.627744, 83.484, -94.6058
33.871425, 83.541, -95.3415
34.116871, 83.599, -96.1143
34.364096, 83.656, -96.9224
34.613112, 83.709, -97.7561
34.863933, 83.757, -98.6023
35.116572, 83.800, -99.4474
35.371041, 83.840, -100.2809
35.627354, 83.877, -101.0979
35.885524, 83.914, -101.8987
36.145566, 83.950, -102.6877
36.407491, 83.986, -103.4707
36.671315, 84.021, -104.2520
36.937051, 84.054, -105.0327
37.204712, 84.085, -105.8104
37.474312, 84.114, -106.5802
37.745867, 84.140, -107.3372
38.019389, 84.165, -108.0785
38.294893, 84.189, -108.8050
38.572393, 84.214, -109.5214
38.851905, 84.241, -110.2344
39.133442, 84.267, -110.9507
39.417019, 84.294, -111.6746
39.702651, 84.319, -112.4063
39.990353, 84.341, -113.1432
40.280139, 84.362, -113.8804
40.572026, 84.379, -114.6127
40.866027, 84.395, -115.3362
41.162159, 84.409, -116.0483
41.460437, 84.421, -116.7468
41.760877, 84.433, -117.4292
42.063493, 84.444, -118.0930
42.368303, 84.455, -118.7367
42.675321, 84.468, -119.3619
42.984564, 84.484, -119.9745
43.296048, 84.504, -120.5851
43.609789, 84.527, -121.2056
43.925803, 84.551, -121.8462
44.244108, 84.576, -122.5114
44.564719, 84.597, -123.1984
44.887653, 84.615, -123.8984
45.212928, 84.629, -124.6007
45.540559, 84.639, -125.2957
45.870565, 84.646, -125.9780
46.202962, 84.651, -126.6469
46.537767, 84.656, -127.3037
46.874999, 84.659, -127.9509
47.214675, 84.663, -128.5902
47.556812, 84.666, -129.2228
47.901428, 84.669, -129.8505
48.248542, 84.673, -130.4760
48.598170, 84.677, -131.1022
48.950333, 84.681, -131.7310
49.305047, 84.684, -132.3617
49.662332, 84.686, -132.9920
50.022206, 84.688, -133.6193
50.384687, 84.690, -134.2422
50.749795, 84.691, -134.8616
51.117549, 84.693, -135.4788
51.487968, 84.695, -136.0941
51.861071, 84.696, -136.7058
52.236878, 84.697, -137.3104
52.615408, 84.698, -137.9051
52.996681, 84.699, -138.4895
53.380716, 84.701, -139.0666
53.767535, 84.705, -139.6411
54.157157, 84.708, -140.2164
54.549602, 84.711, -140.7924
54.944891, 84.712, -141.3642
55.343044, 84.710, -141.9244
55.744083, 84.706, -142.4661
56.148027, 84.701, -142.9862
56.554899, 84.696, -143.4855
56.964719, 84.691, -143.9670
57.377509, 84.686, -144.4330
57.793290, 84.682, -144.8852
58.212084, 84.679, -145.3280
58.633913, 84.679, -145.7723
59.058798, 84.681, -146.2352
59.486763, 84.684, -146.7336
59.917828, 84.683, -147.2745
60.352018, 84.677, -147.8496
60.789353, 84.663, -148.4391
61.229858, 84.641, -149.0219
61.673555, 84.615, -149.5844
62.120467, 84.587, -150.1239
62.570617, 84.559, -150.6437
63.024030, 84.531, -151.1475
63.480728, 84.506, -151.6373
63.940735, 84.483, -152.1158
64.404076, 84.463, -152.5878
64.870775, 84.447, -153.0584
65.340855, 84.433, -153.5303
65.814342, 84.420, -154.0010
66.291260, 84.408, -154.4652
66.771634, 84.397, -154.9177
67.255488, 84.387, -155.3568
67.742849, 84.378, -155.7844
68.233742, 84.369, -156.2057
68.728192, 84.361, -156.6252
69.226225, 84.352, -157.0453
69.727866, 84.340, -157.4642
70.233143, 84.327, -157.8783
70.742082, 84.311, -158.2845
71.254708, 84.293, -158.6823
71.771049, 84.274, -159.0726
72.291131, 84.255, -159.4576
72.814983, 84.236, -159.8387
73.342630, 84.218, -160.2167
73.874101, 84.201, -160.5923
74.409423, 84.185, -160.9669
74.948625, 84.171, -161.3434
75.491733, 84.158, -161.7252
76.038777, 84.145, -162.1136
76.589786, 84.132, -162.5052
77.144787, 84.117, -162.8920
77.703810, 84.099, -163.2649
78.266884, 84.079, -163.6179
78.834038, 84.058, -163.9474
79.405302, 84.035, -164.2500
79.980705, 84.013, -164.5242
80.560278, 83.993, -164.7759
81.144051, 83.976, -165.0202
81.732055, 83.962, -165.2746
82.324319, 83.951, -165.5500
82.920875, 83.942, -165.8513
83.521754, 83.935, -166.1821
84.126987, 83.929, -166.5448
84.736605, 83.923, -166.9353
85.350642, 83.915, -167.3419
85.969128, 83.907, -167.7505
86.592096, 83.899, -168.1503
87.219578, 83.891, -168.5342
87.851607, 83.884, -168.8989
88.488216, 83.877, -169.2449
89.129438, 83.872, -169.5757
89.775306, 83.865, -169.8955
90.425855, 83.857, -170.2080
91.081118, 83.846, -170.5143
91.741129, 83.831, -170.8134
92.405924, 83.814, -171.1029
93.075535, 83.795, -171.3826
93.749999, 83.776, -171.6556
94.429350, 83.760, -171.9295
95.113624, 83.749, -172.2174
95.802856, 83.741, -172.5333
96.497083, 83.735, -172.8838
97.196341, 83.730, -173.2626
97.900666, 83.723, -173.6540
98.610094, 83.713, -174.0426
99.324664, 83.703, -174.4203
100.044411, 83.691, -174.7875
100.769374, 83.678, -175.1478
101.499591, 83.664, -175.5038
102.235098, 83.648, -175.8560
102.975936, 83.630, -176.2032
103.722142, 83.612, -176.5454
104.473756, 83.594, -176.8857
105.230815, 83.576, -177.2284
105.993361, 83.557, -177.5737
106.761433, 83.537, -177.9166
107.535070, 83.515, -178.2505
108.314314, 83.491, -178.5724
109.099204, 83.465, -178.8834
109.889782, 83.438, -179.1874
110.686088, 83.411, -179.4894
111.488165, 83.386, -179.7929
112.296055, 83.362, 179.9015
113.109798, 83.341, 179.5976
113.929438, 83.324, 179.3037
114.755018, 83.311, 179.0312
115.586580, 83.302, 178.7908
116.424168, 83.297, 178.5857
117.267826, 83.295, 178.4056
118.117597, 83.294, 178.2278
118.973525, 83.289, 178.0243
119.835657, 83.275, 177.7796
120.704035, 83.248, 177.5052
121.578706, 83.208, 177.2287
122.459716, 83.161, 176.9698
123.347109, 83.112, 176.7344
124.240933, 83.067, 176.5226
125.141234, 83.028, 176.3328
126.048059, 82.998, 176.1640
126.961456, 82.975, 176.0158
127.881471, 82.957, 175.8854
128.808153, 82.941, 175.7670
129.741550, 82.925, 175.6546
130.681710, 82.908, 175.5416
131.628684, 82.888, 175.4167
132.582520, 82.868, 175.2679
133.543267, 82.846, 175.0896
134.510977, 82.826, 174.8856
135.485699, 82.806, 174.6640
136.467484, 82.788, 174.4339
137.456384, 82.771, 174.2048
138.452449, 82.754, 173.9866
139.455733, 82.738, 173.7866
140.466286, 82.721, 173.6038
141.484163, 82.704, 173.4294
142.509416, 82.688, 173.2521
143.542098, 82.672, 173.0621
144.582263, 82.657, 172.8550
145.629965, 82.642, 172.6321
146.685260, 82.628, 172.3971
147.748202, 82.614, 172.1569
148.818846, 82.599, 171.9205
149.897249, 82.584, 171.6965
150.983466, 82.567, 171.4922
152.077555, 82.549, 171.3120
153.179572, 82.531, 171.1564
154.289574, 82.514, 171.0201
155.407620, 82.499, 170.8934
156.533767, 82.485, 170.7659
157.668076, 82.472, 170.6312
158.810603, 82.457, 170.4883
159.961411, 82.442, 170.3394
161.120557, 82.426, 170.1864
162.288103, 82.409, 170.0307
163.464109, 82.392, 169.8718
164.648638, 82.374, 169.7090
165.841750, 82.356, 169.5432
167.043507, 82.338, 169.3771
168.253973, 82.319, 169.2131
169.473211, 82.299, 169.0517
170.701284, 82.280, 168.8928
171.938256, 82.260, 168.7360
173.184191, 82.241, 168.5817
174.439155, 82.223, 168.4304
175.703213, 82.206, 168.2823
176.976431, 82.189, 168.1375
178.258875, 82.173, 167.9944
179.550613, 82.157, 167.8489
180.851710, 82.140, 167.6962
182.162236, 82.123, 167.5373
183.482259, 82.105, 167.3784
184.811847, 82.088, 167.2249
186.151070, 82.072, 167.0780
187.499997, 82.056, 166.9349
188.858700, 82.041, 166.7926
190.227248, 82.025, 166.6507
191.605713, 82.008, 166.5123
192.994167, 81.990, 166.3820
194.392682, 81.972, 166.2631
195.801331, 81.956, 166.1556
197.220189, 81.940, 166.0575
198.649327, 81.927, 165.9662
200.088822, 81.915, 165.8778
201.538748, 81.904, 165.7875
202.999181, 81.894, 165.6906
204.470197, 81.884, 165.5848
205.951872, 81.873, 165.4706
207.444284, 81.862, 165.3500
208.947511, 81.849, 165.2250
210.461631, 81.835, 165.0974
211.986723, 81.820, 164.9683
213.522866, 81.805, 164.8372
215.070141, 81.790, 164.7032
216.628627, 81.775, 164.5656
218.198408, 81.760, 164.4241
219.779563, 81.745, 164.2798
221.372177, 81.730, 164.1356
222.976331, 81.715, 163.9957
224.592109, 81.700, 163.8644
226.219596, 81.685, 163.7447
227.858877, 81.671, 163.6368
229.510036, 81.656, 163.5378
231.173160, 81.641, 163.4417
232.848336, 81.626, 163.3414
234.535651, 81.611, 163.2329
236.235193, 81.596, 163.1169
237.947051, 81.580, 162.9973
239.671313, 81.565, 162.8788
241.408071, 81.549, 162.7654
243.157413, 81.533, 162.6575
244.919432, 81.518, 162.5509
246.694219, 81.503, 162.4423
248.481867, 81.489, 162.3338
250.282469, 81.475, 162.2313
252.096119, 81.461, 162.1371
253.922911, 81.447, 162.0476
255.762941, 81.433, 161.9572
257.616305, 81.420, 161.8639
259.483099, 81.407, 161.7706
261.363421, 81.395, 161.6819
263.257368, 81.384, 161.5990
265.165039, 81.372, 161.5184
267.086534, 81.361, 161.4357
269.021953, 81.349, 161.3477
270.971397, 81.337, 161.2538
272.934968, 81.324, 161.1560
274.912767, 81.312, 161.0571
276.904898, 81.299, 160.9585
