* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12
* Dated: Jan 12, 2025 9:10:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12, Jan 12
* Measurement: right ear
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
20.141602, 79.253
20.507812, 79.469
20.874023, 79.662
21.240234, 79.838
21.606445, 80.005
21.972656, 80.175
22.338867, 80.354
22.705078, 80.541
23.071289, 80.727
23.437500, 80.903
23.803711, 81.061
24.169922, 81.204
24.536133, 81.338
24.902344, 81.471
25.268555, 81.607
25.634766, 81.748
26.000977, 81.890
26.367188, 82.028
26.733398, 82.160
27.099609, 82.283
27.465820, 82.398
27.832031, 82.505
28.198242, 82.605
28.564453, 82.699
28.930664, 82.789
29.296875, 82.878
29.663086, 82.967
30.029297, 83.055
30.395508, 83.141
30.761719, 83.225
31.127930, 83.305
31.494141, 83.380
31.860352, 83.451
32.226562, 83.519
32.592773, 83.585
32.958984, 83.649
33.325195, 83.712
33.691406, 83.774
34.057617, 83.834
34.423828, 83.891
34.790039, 83.944
35.156250, 83.994
35.522461, 84.040
35.888672, 84.084
36.254883, 84.127
36.621094, 84.168
36.987305, 84.209
37.353516, 84.250
37.719727, 84.290
38.085938, 84.329
38.452148, 84.366
38.818359, 84.402
39.184570, 84.436
39.550781, 84.468
39.916992, 84.498
40.283203, 84.525
40.649414, 84.552
41.015625, 84.577
41.381836, 84.600
41.748047, 84.623
42.114258, 84.644
42.480469, 84.664
42.846680, 84.683
43.212891, 84.702
43.579102, 84.719
43.945312, 84.736
44.311523, 84.753
44.677734, 84.769
45.043945, 84.784
45.410156, 84.798
45.776367, 84.810
46.142578, 84.821
46.508789, 84.831
46.875000, 84.840
47.241211, 84.849
47.607422, 84.856
47.973633, 84.864
48.339844, 84.870
48.706055, 84.876
49.072266, 84.881
49.438477, 84.885
49.804688, 84.889
50.170898, 84.892
50.537109, 84.894
50.903320, 84.896
51.269531, 84.897
51.635742, 84.897
52.001953, 84.897
52.368164, 84.896
52.734375, 84.895
53.100586, 84.894
53.466797, 84.892
53.833008, 84.891
54.199219, 84.889
54.565430, 84.888
54.931641, 84.886
55.297852, 84.884
55.664062, 84.881
56.030273, 84.879
56.396484, 84.876
56.762695, 84.873
57.128906, 84.870
57.495117, 84.867
57.861328, 84.864
58.227539, 84.860
58.593750, 84.857
58.959961, 84.853
59.326172, 84.849
59.692383, 84.843
60.058594, 84.837
60.424805, 84.829
60.791016, 84.820
61.157227, 84.811
61.523438, 84.802
61.889648, 84.794
62.255859, 84.786
62.622070, 84.778
62.988281, 84.771
63.354492, 84.765
63.720703, 84.759
64.086914, 84.752
64.453125, 84.746
64.819336, 84.739
65.185547, 84.732
65.551758, 84.726
65.917969, 84.719
