* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 9:07:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Right 5
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 79.240, -44.6320
20.140070, 79.289, -45.6513
20.286013, 79.323, -46.6230
20.433014, 79.347, -47.5223
20.581080, 79.362, -48.3275
20.730219, 79.373, -49.0235
20.880438, 79.385, -49.6042
21.031747, 79.405, -50.0741
21.184151, 79.438, -50.4500
21.337660, 79.487, -50.7600
21.492282, 79.556, -51.0402
21.648024, 79.644, -51.3312
21.804894, 79.750, -51.6724
21.962902, 79.870, -52.0972
22.122054, 79.997, -52.6285
22.282359, 80.127, -53.2765
22.443827, 80.252, -54.0387
22.606464, 80.368, -54.9006
22.770280, 80.470, -55.8385
22.935282, 80.556, -56.8232
23.101481, 80.625, -57.8223
23.268884, 80.680, -58.8047
23.437500, 80.721, -59.7436
23.607337, 80.754, -60.6190
23.778406, 80.783, -61.4204
23.950714, 80.814, -62.1479
24.124271, 80.850, -62.8115
24.299085, 80.894, -63.4300
24.475166, 80.949, -64.0274
24.652524, 81.015, -64.6292
24.831166, 81.090, -65.2583
25.011103, 81.172, -65.9312
25.192344, 81.256, -66.6565
25.374898, 81.340, -67.4340
25.558775, 81.421, -68.2557
25.743984, 81.498, -69.1080
25.930536, 81.568, -69.9744
26.118439, 81.633, -70.8383
26.307704, 81.694, -71.6858
26.498340, 81.754, -72.5077
26.690358, 81.813, -73.3003
26.883768, 81.875, -74.0657
27.078578, 81.941, -74.8106
27.274801, 82.012, -75.5448
27.472445, 82.087, -76.2786
27.671522, 82.166, -77.0212
27.872041, 82.247, -77.7787
28.074014, 82.329, -78.5537
28.277450, 82.410, -79.3451
28.482360, 82.489, -80.1490
28.688755, 82.566, -80.9597
28.896645, 82.639, -81.7711
29.106042, 82.710, -82.5780
29.316956, 82.778, -83.3763
29.529399, 82.843, -84.1640
29.743381, 82.907, -84.9407
29.958914, 82.969, -85.7072
30.176009, 83.029, -86.4650
30.394677, 83.088, -87.2157
30.614929, 83.145, -87.9607
30.836777, 83.199, -88.7008
31.060233, 83.251, -89.4360
31.285309, 83.300, -90.1659
31.512015, 83.347, -90.8894
31.740364, 83.391, -91.6051
31.970368, 83.432, -92.3115
32.202038, 83.471, -93.0075
32.435387, 83.508, -93.6925
32.670428, 83.545, -94.3672
32.907171, 83.580, -95.0333
33.145630, 83.616, -95.6941
33.385817, 83.652, -96.3534
33.627744, 83.689, -97.0157
33.871425, 83.725, -97.6844
34.116871, 83.762, -98.3618
34.364096, 83.798, -99.0483
34.613112, 83.833, -99.7425
34.863933, 83.867, -100.4422
35.116572, 83.901, -101.1451
35.371041, 83.934, -101.8497
35.627354, 83.967, -102.5563
35.885524, 84.001, -103.2662
36.145566, 84.034, -103.9818
36.407491, 84.068, -104.7044
36.671315, 84.101, -105.4336
36.937051, 84.132, -106.1668
37.204712, 84.162, -106.8989
37.474312, 84.190, -107.6241
37.745867, 84.216, -108.3377
38.019389, 84.242, -109.0372
38.294893, 84.269, -109.7239
38.572393, 84.297, -110.4021
38.851905, 84.326, -111.0781
39.133442, 84.356, -111.7577
39.417019, 84.386, -112.4441
39.702651, 84.414, -113.1369
39.990353, 84.439, -113.8323
40.280139, 84.462, -114.5244
40.572026, 84.483, -115.2083
40.866027, 84.502, -115.8815
41.162159, 84.521, -116.5454
41.460437, 84.539, -117.2045
41.760877, 84.558, -117.8645
42.063493, 84.576, -118.5291
42.368303, 84.592, -119.1982
42.675321, 84.606, -119.8676
42.984564, 84.617, -120.5304
43.296048, 84.627, -121.1803
43.609789, 84.637, -121.8147
43.925803, 84.648, -122.4361
44.244108, 84.661, -123.0521
44.564719, 84.676, -123.6714
44.887653, 84.693, -124.3008
45.212928, 84.709, -124.9417
45.540559, 84.723, -125.5893
45.870565, 84.735, -126.2352
46.202962, 84.744, -126.8707
46.537767, 84.753, -127.4907
46.874999, 84.762, -128.0957
47.214675, 84.773, -128.6913
47.556812, 84.783, -129.2851
47.901428, 84.794, -129.8832
48.248542, 84.804, -130.4873
48.598170, 84.811, -131.0942
48.950333, 84.814, -131.6977
49.305047, 84.815, -132.2906
49.662332, 84.813, -132.8682
50.022206, 84.809, -133.4287
50.384687, 84.805, -133.9740
50.749795, 84.801, -134.5085
51.117549, 84.798, -135.0374
51.487968, 84.795, -135.5655
51.861071, 84.792, -136.0963
52.236878, 84.790, -136.6311
52.615408, 84.786, -137.1690
52.996681, 84.782, -137.7074
53.380716, 84.777, -138.2427
53.767535, 84.772, -138.7713
54.157157, 84.767, -139.2906
54.549602, 84.764, -139.7997
54.944891, 84.761, -140.2992
55.343044, 84.760, -140.7912
55.744083, 84.762, -141.2780
56.148027, 84.764, -141.7614
56.554899, 84.768, -142.2419
56.964719, 84.773, -142.7194
57.377509, 84.779, -143.1956
57.793290, 84.786, -143.6760
58.212084, 84.793, -144.1685
58.633913, 84.799, -144.6796
59.058798, 84.800, -145.2083
59.486763, 84.794, -145.7422
59.917828, 84.781, -146.2609
60.352018, 84.762, -146.7443
60.789353, 84.740, -147.1815
61.229858, 84.719, -147.5753
61.673555, 84.700, -147.9395
62.120467, 84.686, -148.2912
62.570617, 84.675, -148.6453
63.024030, 84.666, -149.0108
63.480728, 84.659, -149.3911
63.940735, 84.652, -149.7850
64.404076, 84.645, -150.1881
64.870775, 84.638, -150.5955
65.340855, 84.630, -151.0035
65.814342, 84.623, -151.4108
66.291260, 84.616, -151.8166
66.771634, 84.610, -152.2191
67.255488, 84.603, -152.6160
67.742849, 84.597, -153.0056
68.233742, 84.592, -153.3887
68.728192, 84.587, -153.7671
69.226225, 84.583, -154.1419
69.727866, 84.579, -154.5132
70.233143, 84.576, -154.8819
70.742082, 84.573, -155.2504
71.254708, 84.570, -155.6216
71.771049, 84.567, -155.9961
72.291131, 84.562, -156.3707
72.814983, 84.557, -156.7396
73.342630, 84.550, -157.0982
73.874101, 84.544, -157.4455
74.409423, 84.540, -157.7846
74.948625, 84.536, -158.1203
75.491733, 84.534, -158.4566
76.038777, 84.532, -158.7948
76.589786, 84.530, -159.1332
77.144787, 84.528, -159.4696
77.703810, 84.526, -159.8035
78.266884, 84.524, -160.1368
78.834038, 84.522, -160.4714
79.405302, 84.519, -160.8082
79.980705, 84.516, -161.1467
80.560278, 84.512, -161.4872
81.144051, 84.507, -161.8304
81.732055, 84.502, -162.1767
82.324319, 84.497, -162.5250
82.920875, 84.492, -162.8734
83.521754, 84.487, -163.2214
84.126987, 84.483, -163.5705
84.736605, 84.480, -163.9230
85.350642, 84.478, -164.2795
85.969128, 84.476, -164.6387
86.592096, 84.474, -164.9986
87.219578, 84.472, -165.3567
87.851607, 84.469, -165.7098
88.488216, 84.466, -166.0551
89.129438, 84.463, -166.3917
89.775306, 84.460, -166.7225
90.425855, 84.458, -167.0531
91.081118, 84.457, -167.3889
91.741129, 84.454, -167.7326
92.405924, 84.450, -168.0832
93.075535, 84.444, -168.4369
93.749999, 84.437, -168.7895
94.429350, 84.429, -169.1392
95.113624, 84.420, -169.4868
95.802856, 84.411, -169.8338
96.497083, 84.402, -170.1808
97.196341, 84.393, -170.5273
97.900666, 84.383, -170.8728
98.610094, 84.374, -171.2174
99.324664, 84.364, -171.5632
100.044411, 84.354, -171.9129
100.769374, 84.344, -172.2682
