* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 9:06:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Right 2
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 78.762, -41.6882
20.140070, 78.878, -42.5241
20.286013, 78.992, -43.4026
20.433014, 79.103, -44.3173
20.581080, 79.207, -45.2583
20.730219, 79.305, -46.2132
20.880438, 79.396, -47.1675
21.031747, 79.479, -48.1067
21.184151, 79.557, -49.0174
21.337660, 79.630, -49.8887
21.492282, 79.702, -50.7140
21.648024, 79.774, -51.4918
21.804894, 79.850, -52.2261
21.962902, 79.930, -52.9263
22.122054, 80.017, -53.6066
22.282359, 80.111, -54.2836
22.443827, 80.212, -54.9742
22.606464, 80.316, -55.6937
22.770280, 80.423, -56.4528
22.935282, 80.529, -57.2565
23.101481, 80.632, -58.1031
23.268884, 80.727, -58.9849
23.437500, 80.814, -59.8885
23.607337, 80.891, -60.7974
23.778406, 80.959, -61.6935
23.950714, 81.019, -62.5602
24.124271, 81.073, -63.3843
24.299085, 81.123, -64.1583
24.475166, 81.173, -64.8815
24.652524, 81.226, -65.5598
24.831166, 81.283, -66.2053
25.011103, 81.347, -66.8340
25.192344, 81.416, -67.4630
25.374898, 81.490, -68.1078
25.558775, 81.568, -68.7798
25.743984, 81.646, -69.4847
25.930536, 81.723, -70.2225
26.118439, 81.797, -70.9880
26.307704, 81.866, -71.7729
26.498340, 81.931, -72.5674
26.690358, 81.992, -73.3623
26.883768, 82.050, -74.1510
27.078578, 82.105, -74.9297
27.274801, 82.160, -75.6977
27.472445, 82.214, -76.4565
27.671522, 82.268, -77.2086
27.872041, 82.321, -77.9559
28.074014, 82.375, -78.6993
28.277450, 82.428, -79.4380
28.482360, 82.481, -80.1703
28.688755, 82.534, -80.8946
28.896645, 82.587, -81.6105
29.106042, 82.642, -82.3197
29.316956, 82.698, -83.0263
29.529399, 82.756, -83.7360
29.743381, 82.816, -84.4547
29.958914, 82.876, -85.1868
