* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 9:01:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Left 9
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 78.702, -38.2611
20.140070, 78.822, -39.1087
20.286013, 78.935, -40.0017
20.433014, 79.039, -40.9262
20.581080, 79.134, -41.8657
20.730219, 79.219, -42.8033
20.880438, 79.297, -43.7233
21.031747, 79.369, -44.6134
21.184151, 79.438, -45.4668
21.337660, 79.507, -46.2832
21.492282, 79.580, -47.0698
21.648024, 79.659, -47.8401
21.804894, 79.744, -48.6127
21.962902, 79.836, -49.4084
22.122054, 79.933, -50.2467
22.282359, 80.032, -51.1418
22.443827, 80.128, -52.1002
22.606464, 80.218, -53.1187
22.770280, 80.297, -54.1838
22.935282, 80.363, -55.2730
23.101481, 80.414, -56.3565
23.268884, 80.450, -57.4013
23.437500, 80.474, -58.3750
23.607337, 80.491, -59.2509
23.778406, 80.506, -60.0133
23.950714, 80.528, -60.6612
24.124271, 80.563, -61.2110
24.299085, 80.616, -61.6960
24.475166, 80.692, -62.1613
24.652524, 80.788, -62.6575
24.831166, 80.902, -63.2305
25.011103, 81.026, -63.9140
25.192344, 81.152, -64.7231
25.374898, 81.272, -65.6523
25.558775, 81.378, -66.6775
25.743984, 81.465, -67.7594
25.930536, 81.531, -68.8505
26.118439, 81.578, -69.9011
26.307704, 81.610, -70.8680
26.498340, 81.633, -71.7198
26.690358, 81.655, -72.4441
26.883768, 81.686, -73.0492
27.078578, 81.731, -73.5643
27.274801, 81.796, -74.0338
27.472445, 81.879, -74.5090
27.671522, 81.978, -75.0374
27.872041, 82.087, -75.6540
28.074014, 82.199, -76.3751
28.277450, 82.305, -77.1978
28.482360, 82.399, -78.1018
28.688755, 82.478, -79.0552
28.896645, 82.540, -80.0207
29.106042, 82.587, -80.9620
29.316956, 82.621, -81.8490
29.529399, 82.647, -82.6621
29.743381, 82.671, -83.3940
29.958914, 82.697, -84.0497
30.176009, 82.728, -84.6447
30.394677, 82.768, -85.2016
30.614929, 82.817, -85.7456
30.836777, 82.874, -86.3006
31.060233, 82.938, -86.8864
31.285309, 83.006, -87.5163
31.512015, 83.075, -88.1969
31.740364, 83.142, -88.9285
31.970368, 83.205, -89.7055
32.202038, 83.262, -90.5188
32.435387, 83.313, -91.3560
32.670428, 83.356, -92.2036
32.907171, 83.392, -93.0482
33.145630, 83.422, -93.8778
33.385817, 83.448, -94.6830
33.627744, 83.471, -95.4579
33.871425, 83.493, -96.2009
34.116871, 83.517, -96.9145
34.364096, 83.543, -97.6052
34.613112, 83.574, -98.2823
34.863933, 83.609, -98.9567
35.116572, 83.648, -99.6390
35.371041, 83.691, -100.3384
35.627354, 83.735, -101.0605
35.885524, 83.780, -101.8072
36.145566, 83.824, -102.5765
36.407491, 83.866, -103.3631
36.671315, 83.905, -104.1601
36.937051, 83.941, -104.9605
37.204712, 83.975, -105.7591
37.474312, 84.007, -106.5527
37.745867, 84.038, -107.3407
38.019389, 84.068, -108.1237
38.294893, 84.096, -108.9022
38.572393, 84.123, -109.6760
38.851905, 84.147, -110.4432
39.133442, 84.170, -111.2007
39.417019, 84.191, -111.9454
39.702651, 84.211, -112.6750
39.990353, 84.229, -113.3885
40.280139, 84.248, -114.0867
40.572026, 84.266, -114.7711
40.866027, 84.285, -115.4437
41.162159, 84.304, -116.1064
41.460437, 84.324, -116.7614
41.760877, 84.345, -117.4113
42.063493, 84.367, -118.0597
42.368303, 84.390, -118.7104
42.675321, 84.413, -119.3674
42.984564, 84.437, -120.0331
43.296048, 84.459, -120.7083
43.609789, 84.480, -121.3919
43.925803, 84.500, -122.0813
44.244108, 84.517, -122.7727
44.564719, 84.531, -123.4624
44.887653, 84.544, -124.1467
45.212928, 84.556, -124.8232
45.540559, 84.566, -125.4911
45.870565, 84.576, -126.1515
46.202962, 84.585, -126.8072
46.537767, 84.594, -127.4617
46.874999, 84.603, -128.1170
47.214675, 84.609, -128.7724
47.556812, 84.614, -129.4241
47.901428, 84.616, -130.0670
48.248542, 84.616, -130.6963
48.598170, 84.615, -131.3102
48.950333, 84.615, -131.9104
49.305047, 84.614, -132.5010
49.662332, 84.615, -133.0871
50.022206, 84.616, -133.6726
50.384687, 84.618, -134.2602
50.749795, 84.619, -134.8517
51.117549, 84.621, -135.4484
51.487968, 84.622, -136.0520
51.861071, 84.623, -136.6629
52.236878, 84.623, -137.2797
52.615408, 84.621, -137.8989
52.996681, 84.618, -138.5162
53.380716, 84.615, -139.1277
53.767535, 84.610, -139.7315
54.157157, 84.606, -140.3268
54.549602, 84.602, -140.9121
54.944891, 84.597, -141.4846
55.343044, 84.593, -142.0410
55.744083, 84.589, -142.5802
56.148027, 84.586, -143.1045
56.554899, 84.585, -143.6174
56.964719, 84.583, -144.1199
57.377509, 84.581, -144.6070
57.793290, 84.578, -145.0722
58.212084, 84.577, -145.5156
58.633913, 84.580, -145.9510
59.058798, 84.586, -146.4034
59.486763, 84.593, -146.8958
59.917828, 84.595, -147.4341
60.352018, 84.589, -148.0014
60.789353, 84.573, -148.5676
61.229858, 84.549, -149.1062
61.673555, 84.522, -149.6072
62.120467, 84.495, -150.0780
62.570617, 84.470, -150.5344
63.024030, 84.448, -150.9899
63.480728, 84.428, -151.4519
63.940735, 84.410, -151.9215
64.404076, 84.392, -152.3964
64.870775, 84.375, -152.8723
65.340855, 84.359, -153.3444
65.814342, 84.344, -153.8097
66.291260, 84.331, -154.2676
66.771634, 84.318, -154.7184
67.255488, 84.306, -155.1613
67.742849, 84.294, -155.5945
68.233742, 84.282, -156.0161
68.728192, 84.270, -156.4271
69.226225, 84.259, -156.8303
69.727866, 84.246, -157.2286
70.233143, 84.233, -157.6237
70.742082, 84.220, -158.0154
71.254708, 84.205, -158.4035
71.771049, 84.191, -158.7889
72.291131, 84.176, -159.1732
72.814983, 84.161, -159.5573
73.342630, 84.147, -159.9401
73.874101, 84.133, -160.3186
74.409423, 84.120, -160.6903
74.948625, 84.109, -161.0555
75.491733, 84.099, -161.4158
76.038777, 84.090, -161.7723
76.589786, 84.082, -162.1238
77.144787, 84.075, -162.4691
77.703810, 84.068, -162.8099
78.266884, 84.062, -163.1498
78.834038, 84.054, -163.4908
79.405302, 84.045, -163.8319
79.980705, 84.035, -164.1704
80.560278, 84.023, -164.5048
81.144051, 84.009, -164.8355
81.732055, 83.996, -165.1637
82.324319, 83.983, -165.4919
82.920875, 83.970, -165.8243
83.521754, 83.959, -166.1655
84.126987, 83.949, -166.5185
84.736605, 83.939, -166.8823
85.350642, 83.929, -167.2535
85.969128, 83.920, -167.6273
86.592096, 83.911, -167.9989
87.219578, 83.902, -168.3643
87.851607, 83.894, -168.7215
88.488216, 83.887, -169.0702
89.129438, 83.880, -169.4107
89.775306, 83.873, -169.7429
90.425855, 83.867, -170.0671
91.081118, 83.860, -170.3855
91.741129, 83.853, -170.7030
92.405924, 83.846, -171.0253
93.075535, 83.838, -171.3564
93.749999, 83.829, -171.6967
94.429350, 83.818, -172.0448
95.113624, 83.806, -172.3998
95.802856, 83.793, -172.7618
96.497083, 83.780, -173.1296
97.196341, 83.766, -173.5004
97.900666, 83.751, -173.8716
98.610094, 83.736, -174.2413
99.324664, 83.721, -174.6078
100.044411, 83.706, -174.9703
100.769374, 83.690, -175.3297
101.499591, 83.673, -175.6874
102.235098, 83.656, -176.0430
102.975936, 83.637, -176.3952
103.722142, 83.617, -176.7428
104.473756, 83.597, -177.0851
105.230815, 83.576, -177.4206
105.993361, 83.554, -177.7474
106.761433, 83.531, -178.0636
107.535070, 83.507, -178.3682
108.314314, 83.483, -178.6622
109.099204, 83.457, -178.9482
109.889782, 83.430, -179.2294
110.686088, 83.404, -179.5089
111.488165, 83.377, -179.7896
112.296055, 83.351, 179.9288
113.109798, 83.325, 179.6514
113.929438, 83.302, 179.3869
114.755018, 83.281, 179.1453
115.586580, 83.262, 178.9360
116.424168, 83.248, 178.7641
117.267826, 83.237, 178.6236
118.117597, 83.229, 178.4942
118.973525, 83.222, 178.3452
119.835657, 83.211, 178.1506
120.704035, 83.191, 177.9096
121.578706, 83.160, 177.6453
122.459716, 83.121, 177.3793
123.347109, 83.079, 177.1188
124.240933, 83.038, 176.8657
125.141234, 83.000, 176.6245
126.048059, 82.968, 176.4001
126.961456, 82.943, 176.1935
127.881471, 82.923, 176.0008
128.808153, 82.906, 175.8183
129.741550, 82.890, 175.6450
130.681710, 82.875, 175.4789
131.628684, 82.858, 175.3148
132.582520, 82.842, 175.1450
133.543267, 82.825, 174.9632
134.510977, 82.808, 174.7678
135.485699, 82.791, 174.5622
136.467484, 82.773, 174.3523
137.456384, 82.756, 174.1441
138.452449, 82.738, 173.9417
139.455733, 82.721, 173.7461
140.466286, 82.704, 173.5546
141.484163, 82.688, 173.3626
142.509416, 82.674, 173.1666
143.542098, 82.660, 172.9659
144.582263, 82.646, 172.7643
145.629965, 82.632, 172.5677
146.685260, 82.618, 172.3818
147.748202, 82.601, 172.2103
148.818846, 82.583, 172.0535
149.897249, 82.565, 171.9073
150.983466, 82.546, 171.7623
152.077555, 82.528, 171.6075
153.179572, 82.510, 171.4362
154.289574, 82.492, 171.2491
155.407620, 82.475, 171.0521
156.533767, 82.457, 170.8514
157.668076, 82.440, 170.6523
158.810603, 82.423, 170.4573
159.961411, 82.405, 170.2656
161.120557, 82.387, 170.0741
162.288103, 82.369, 169.8799
163.464109, 82.350, 169.6816
164.648638, 82.331, 169.4805
165.841750, 82.311, 169.2805
167.043507, 82.292, 169.0846
168.253973, 82.273, 168.8943
169.473211, 82.255, 168.7115
170.701284, 82.238, 168.5387
