* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 8:59:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Left 4
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 78.690, -33.7480
20.140070, 78.927, -34.3121
20.286013, 79.157, -35.0923
20.433014, 79.372, -36.0757
20.581080, 79.565, -37.2356
20.730219, 79.730, -38.5354
20.880438, 79.864, -39.9319
21.031747, 79.964, -41.3794
21.184151, 80.033, -42.8326
21.337660, 80.072, -44.2492
21.492282, 80.085, -45.5930
21.648024, 80.077, -46.8359
21.804894, 80.056, -47.9602
21.962902, 80.027, -48.9598
22.122054, 79.998, -49.8411
22.282359, 79.972, -50.6212
22.443827, 79.956, -51.3260
22.606464, 79.950, -51.9854
22.770280, 79.954, -52.6286
22.935282, 79.966, -53.2794
23.101481, 79.984, -53.9526
23.268884, 80.004, -54.6521
23.437500, 80.023, -55.3707
23.607337, 80.039, -56.0928
23.778406, 80.052, -56.7968
23.950714, 80.063, -57.4604
24.124271, 80.076, -58.0654
24.299085, 80.096, -58.6010
24.475166, 80.127, -59.0687
24.652524, 80.176, -59.4829
24.831166, 80.247, -59.8703
25.011103, 80.341, -60.2669
25.192344, 80.459, -60.7124
25.374898, 80.597, -61.2445
25.558775, 80.750, -61.8928
25.743984, 80.913, -62.6757
25.930536, 81.078, -63.5986
26.118439, 81.239, -64.6549
26.307704, 81.391, -65.8280
26.498340, 81.530, -67.0944
26.690358, 81.652, -68.4266
26.883768, 81.756, -69.7955
27.078578, 81.842, -71.1725
27.274801, 81.909, -72.5302
27.472445, 81.959, -73.8428
27.671522, 81.994, -75.0873
27.872041, 82.015, -76.2429
28.074014, 82.026, -77.2927
28.277450, 82.030, -78.2250
28.482360, 82.033, -79.0353
28.688755, 82.039, -79.7286
28.896645, 82.054, -80.3213
29.106042, 82.080, -80.8401
29.316956, 82.120, -81.3199
29.529399, 82.174, -81.7988
29.743381, 82.239, -82.3112
29.958914, 82.310, -82.8815
30.176009, 82.383, -83.5197
30.394677, 82.451, -84.2203
