* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 9:08:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Right 7
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 78.750, -40.8864
20.140070, 78.871, -41.7322
20.286013, 78.994, -42.6554
20.433014, 79.115, -43.6564
20.581080, 79.229, -44.7281
20.730219, 79.334, -45.8566
20.880438, 79.427, -47.0224
21.031747, 79.507, -48.2022
21.184151, 79.574, -49.3711
21.337660, 79.629, -50.5046
21.492282, 79.673, -51.5815
21.648024, 79.711, -52.5846
21.804894, 79.745, -53.5035
21.962902, 79.780, -54.3354
22.122054, 79.819, -55.0850
22.282359, 79.867, -55.7645
22.443827, 79.924, -56.3915
22.606464, 79.992, -56.9870
22.770280, 80.071, -57.5725
22.935282, 80.159, -58.1672
23.101481, 80.254, -58.7861
23.268884, 80.353, -59.4382
23.437500, 80.453, -60.1265
23.607337, 80.552, -60.8481
23.778406, 80.647, -61.5956
23.950714, 80.738, -62.3584
24.124271, 80.823, -63.1249
24.299085, 80.903, -63.8833
24.475166, 80.978, -64.6238
24.652524, 81.051, -65.3396
24.831166, 81.121, -66.0270
25.011103, 81.192, -66.6866
25.192344, 81.265, -67.3229
25.374898, 81.340, -67.9435
25.558775, 81.419, -68.5590
25.743984, 81.502, -69.1811
25.930536, 81.587, -69.8217
26.118439, 81.674, -70.4912
26.307704, 81.760, -71.1968
26.498340, 81.845, -71.9421
26.690358, 81.925, -72.7256
26.883768, 81.999, -73.5411
27.078578, 82.065, -74.3784
27.274801, 82.123, -75.2239
27.472445, 82.172, -76.0630
27.671522, 82.214, -76.8820
27.872041, 82.250, -77.6700
28.074014, 82.283, -78.4209
28.277450, 82.316, -79.1348
28.482360, 82.351, -79.8175
28.688755, 82.388, -80.4796
28.896645, 82.431, -81.1343
29.106042, 82.477, -81.7941
29.316956, 82.525, -82.4687
29.529399, 82.575, -83.1622
29.743381, 82.624, -83.8735
29.958914, 82.671, -84.5962
30.176009, 82.716, -85.3216
30.394677, 82.760, -86.0412
30.614929, 82.804, -86.7496
30.836777, 82.850, -87.4465
31.060233, 82.899, -88.1370
31.285309, 82.952, -88.8307
31.512015, 83.009, -89.5385
31.740364, 83.068, -90.2697
31.970368, 83.128, -91.0290
32.202038, 83.187, -91.8151
32.435387, 83.242, -92.6207
32.670428, 83.293, -93.4346
32.907171, 83.340, -94.2450
33.145630, 83.384, -95.0431
33.385817, 83.427, -95.8246
33.627744, 83.470, -96.5918
33.871425, 83.514, -97.3512
34.116871, 83.559, -98.1115
34.364096, 83.603, -98.8798
34.613112, 83.645, -99.6586
34.863933, 83.683, -100.4444
35.116572, 83.716, -101.2284
35.371041, 83.744, -101.9990
35.627354, 83.767, -102.7445
35.885524, 83.786, -103.4569
36.145566, 83.804, -104.1335
36.407491, 83.823, -104.7775
36.671315, 83.844, -105.3964
36.937051, 83.867, -106.0005
37.204712, 83.893, -106.5999
37.474312, 83.921, -107.2033
37.745867, 83.951, -107.8169
38.019389, 83.980, -108.4448
38.294893, 84.010, -109.0885
38.572393, 84.037, -109.7478
38.851905, 84.063, -110.4201
39.133442, 84.087, -111.1009
39.417019, 84.107, -111.7848
39.702651, 84.126, -112.4667
39.990353, 84.145, -113.1439
40.280139, 84.163, -113.8179
40.572026, 84.183, -114.4937
40.866027, 84.204, -115.1789
41.162159, 84.226, -115.8798
41.460437, 84.247, -116.5988
41.760877, 84.265, -117.3322
42.063493, 84.281, -118.0715
42.368303, 84.294, -118.8052
42.675321, 84.304, -119.5235
42.984564, 84.313, -120.2210
43.296048, 84.324, -120.8975
43.609789, 84.335, -121.5574
43.925803, 84.349, -122.2065
44.244108, 84.364, -122.8499
44.564719, 84.380, -123.4901
44.887653, 84.397, -124.1276
45.212928, 84.413, -124.7617
45.540559, 84.428, -125.3915
45.870565, 84.442, -126.0160
46.202962, 84.455, -126.6338
46.537767, 84.467, -127.2429
46.874999, 84.477, -127.8414
47.214675, 84.486, -128.4283
47.556812, 84.495, -129.0048
47.901428, 84.503, -129.5746
48.248542, 84.512, -130.1425
48.598170, 84.521, -130.7131
48.950333, 84.529, -131.2896
49.305047, 84.537, -131.8736
49.662332, 84.544, -132.4663
50.022206, 84.550, -133.0685
50.384687, 84.555, -133.6811
50.749795, 84.558, -134.3033
51.117549, 84.559, -134.9320
51.487968, 84.557, -135.5614
51.861071, 84.553, -136.1838
52.236878, 84.547, -136.7919
52.615408, 84.539, -137.3799
52.996681, 84.532, -137.9460
53.380716, 84.525, -138.4919
53.767535, 84.521, -139.0227
54.157157, 84.518, -139.5453
54.549602, 84.516, -140.0656
54.944891, 84.514, -140.5861
55.343044, 84.510, -141.1053
55.744083, 84.504, -141.6191
56.148027, 84.495, -142.1231
56.554899, 84.483, -142.6145
56.964719, 84.469, -143.0913
57.377509, 84.452, -143.5498
57.793290, 84.432, -143.9829
58.212084, 84.412, -144.3847
58.633913, 84.394, -144.7570
59.058798, 84.382, -145.1157
59.486763, 84.376, -145.4876
59.917828, 84.375, -145.8988
60.352018, 84.374, -146.3604
60.789353, 84.370, -146.8628
61.229858, 84.361, -147.3810
61.673555, 84.346, -147.8888
62.120467, 84.331, -148.3710
62.570617, 84.316, -148.8263
63.024030, 84.304, -149.2630
63.480728, 84.295, -149.6899
63.940735, 84.287, -150.1115
64.404076, 84.280, -150.5272
64.870775, 84.273, -150.9334
65.340855, 84.265, -151.3263
65.814342, 84.257, -151.7043
66.291260, 84.249, -152.0684
66.771634, 84.241, -152.4226
67.255488, 84.233, -152.7714
67.742849, 84.224, -153.1186
68.233742, 84.215, -153.4664
68.728192, 84.206, -153.8170
69.226225, 84.196, -154.1724
69.727866, 84.185, -154.5331
70.233143, 84.173, -154.8959
70.742082, 84.161, -155.2542
71.254708, 84.148, -155.6006
71.771049, 84.138, -155.9317
72.291131, 84.131, -156.2503
72.814983, 84.127, -156.5629
73.342630, 84.126, -156.8755
73.874101, 84.128, -157.1903
74.409423, 84.131, -157.5059
74.948625, 84.135, -157.8207
75.491733, 84.138, -158.1346
76.038777, 84.142, -158.4482
76.589786, 84.144, -158.7612
77.144787, 84.145, -159.0726
77.703810, 84.144, -159.3817
78.266884, 84.142, -159.6891
78.834038, 84.140, -159.9955
79.405302, 84.138, -160.3016
79.980705, 84.136, -160.6092
80.560278, 84.136, -160.9220
81.144051, 84.137, -161.2430
81.732055, 84.139, -161.5737
82.324319, 84.143, -161.9140
82.920875, 84.147, -162.2636
83.521754, 84.151, -162.6204
84.126987, 84.154, -162.9794
84.736605, 84.157, -163.3348
85.350642, 84.159, -163.6834
85.969128, 84.160, -164.0264
86.592096, 84.161, -164.3674
87.219578, 84.160, -164.7089
87.851607, 84.159, -165.0516
88.488216, 84.156, -165.3948
89.129438, 84.153, -165.7378
89.775306, 84.149, -166.0819
90.425855, 84.146, -166.4300
91.081118, 84.142, -166.7841
91.741129, 84.138, -167.1432
92.405924, 84.134, -167.5046
93.075535, 84.130, -167.8661
93.749999, 84.125, -168.2257
94.429350, 84.119, -168.5813
95.113624, 84.113, -168.9317
95.802856, 84.107, -169.2785
96.497083, 84.102, -169.6263
97.196341, 84.095, -169.9795
97.900666, 84.088, -170.3396
98.610094, 84.079, -170.7048
99.324664, 84.069, -171.0729
100.044411, 84.057, -171.4432
100.769374, 84.044, -171.8148
101.499591, 84.029, -172.1854
102.235098, 84.013, -172.5512
102.975936, 83.995, -172.9088
103.722142, 83.977, -173.2568
104.473756, 83.959, -173.5972
105.230815, 83.941, -173.9334
105.993361, 83.922, -174.2675
106.761433, 83.904, -174.5994
107.535070, 83.886, -174.9281
108.314314, 83.867, -175.2517
109.099204, 83.848, -175.5682
109.889782, 83.828, -175.8754
110.686088, 83.806, -176.1709
111.488165, 83.781, -176.4527
112.296055, 83.754, -176.7210
113.109798, 83.725, -176.9783
113.929438, 83.694, -177.2285
114.755018, 83.661, -177.4752
115.586580, 83.628, -177.7217
116.424168, 83.595, -177.9704
117.267826, 83.564, -178.2197
118.117597, 83.536, -178.4629
118.973525, 83.511, -178.6882
119.835657, 83.492, -178.8856
120.704035, 83.479, -179.0575
121.578706, 83.473, -179.2181
122.459716, 83.470, -179.3780
123.347109, 83.468, -179.5378
124.240933, 83.464, -179.6946
125.141234, 83.458, -179.8482
126.048059, 83.449, 179.9998
126.961456, 83.438, 179.8471
127.881471, 83.425, 179.6932
128.808153, 83.412, 179.5394
