* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 9:10:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Right13
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 78.522, -42.6633
20.140070, 78.606, -43.1029
20.286013, 78.702, -43.5485
20.433014, 78.808, -44.0168
20.581080, 78.925, -44.5234
20.730219, 79.049, -45.0822
20.880438, 79.180, -45.7043
21.031747, 79.313, -46.3970
21.184151, 79.446, -47.1635
21.337660, 79.576, -48.0021
21.492282, 79.700, -48.9067
21.648024, 79.816, -49.8661
21.804894, 79.921, -50.8659
21.962902, 80.015, -51.8885
22.122054, 80.097, -52.9148
22.282359, 80.168, -53.9261
22.443827, 80.229, -54.9053
22.606464, 80.282, -55.8392
22.770280, 80.331, -56.7198
22.935282, 80.378, -57.5452
23.101481, 80.426, -58.3201
23.268884, 80.479, -59.0552
23.437500, 80.536, -59.7657
23.607337, 80.600, -60.4689
23.778406, 80.668, -61.1812
23.950714, 80.739, -61.9156
24.124271, 80.810, -62.6791
24.299085, 80.879, -63.4721
24.475166, 80.943, -64.2875
24.652524, 81.000, -65.1124
24.831166, 81.050, -65.9302
25.011103, 81.093, -66.7226
25.192344, 81.131, -67.4733
25.374898, 81.167, -68.1705
25.558775, 81.205, -68.8095
25.743984, 81.248, -69.3942
25.930536, 81.299, -69.9369
26.118439, 81.361, -70.4575
26.307704, 81.434, -70.9802
26.498340, 81.519, -71.5303
26.690358, 81.612, -72.1299
26.883768, 81.711, -72.7950
27.078578, 81.812, -73.5330
27.274801, 81.910, -74.3424
27.472445, 82.002, -75.2132
27.671522, 82.085, -76.1286
27.872041, 82.158, -77.0678
28.074014, 82.222, -78.0087
28.277450, 82.276, -78.9304
28.482360, 82.323, -79.8165
28.688755, 82.367, -80.6566
28.896645, 82.410, -81.4481
29.106042, 82.455, -82.1957
29.316956, 82.504, -82.9108
29.529399, 82.558, -83.6093
29.743381, 82.618, -84.3079
29.958914, 82.682, -85.0218
30.176009, 82.747, -85.7612
30.394677, 82.812, -86.5295
30.614929, 82.873, -87.3234
30.836777, 82.929, -88.1332
31.060233, 82.979, -88.9453
31.285309, 83.022, -89.7447
31.512015, 83.060, -90.5183
31.740364, 83.095, -91.2571
31.970368, 83.129, -91.9579
32.202038, 83.164, -92.6238
32.435387, 83.202, -93.2635
32.670428, 83.244, -93.8893
32.907171, 83.291, -94.5144
33.145630, 83.341, -95.1509
33.385817, 83.393, -95.8078
33.627744, 83.446, -96.4902
33.871425, 83.497, -97.1990
34.116871, 83.547, -97.9321
34.364096, 83.593, -98.6852
