* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 9:00:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Left 6
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 78.767, -39.5893
20.140070, 78.840, -40.3045
20.286013, 78.915, -41.0026
20.433014, 78.993, -41.6914
20.581080, 79.074, -42.3795
20.730219, 79.157, -43.0749
20.880438, 79.242, -43.7841
21.031747, 79.329, -44.5114
21.184151, 79.416, -45.2588
21.337660, 79.503, -46.0262
21.492282, 79.589, -46.8121
21.648024, 79.674, -47.6141
21.804894, 79.757, -48.4301
21.962902, 79.839, -49.2580
22.122054, 79.920, -50.0967
22.282359, 79.999, -50.9454
22.443827, 80.077, -51.8032
22.606464, 80.152, -52.6679
22.770280, 80.225, -53.5362
22.935282, 80.295, -54.4021
23.101481, 80.361, -55.2577
23.268884, 80.424, -56.0937
23.437500, 80.485, -56.9008
23.607337, 80.546, -57.6717
23.778406, 80.608, -58.4032
23.950714, 80.675, -59.0985
24.124271, 80.750, -59.7680
24.299085, 80.833, -60.4293
24.475166, 80.927, -61.1052
24.652524, 81.029, -61.8202
24.831166, 81.136, -62.5954
25.011103, 81.244, -63.4448
25.192344, 81.348, -64.3709
25.374898, 81.441, -65.3628
25.558775, 81.520, -66.3969
25.743984, 81.582, -67.4387
25.930536, 81.625, -68.4476
26.118439, 81.653, -69.3823
26.307704, 81.670, -70.2087
26.498340, 81.684, -70.9063
26.690358, 81.705, -71.4748
26.883768, 81.739, -71.9370
27.078578, 81.794, -72.3368
27.274801, 81.873, -72.7322
27.472445, 81.971, -73.1832
27.671522, 82.085, -73.7394
27.872041, 82.204, -74.4297
28.074014, 82.319, -75.2575
28.277450, 82.422, -76.2014
28.482360, 82.506, -77.2216
28.688755, 82.569, -78.2682
28.896645, 82.615, -79.2921
29.106042, 82.646, -80.2542
29.316956, 82.672, -81.1340
29.529399, 82.700, -81.9328
29.743381, 82.736, -82.6734
29.958914, 82.783, -83.3930
30.176009, 82.842, -84.1323
30.394677, 82.906, -84.9237
30.614929, 82.972, -85.7823
30.836777, 83.031, -86.7020
31.060233, 83.080, -87.6578
31.285309, 83.116, -88.6130
31.512015, 83.141, -89.5295
31.740364, 83.159, -90.3778
31.970368, 83.178, -91.1450
32.202038, 83.203, -91.8390
32.435387, 83.239, -92.4862
32.670428, 83.288, -93.1237
32.907171, 83.348, -93.7885
33.145630, 83.414, -94.5067
33.385817, 83.480, -95.2869
33.627744, 83.539, -96.1185
33.871425, 83.589, -96.9765
34.116871, 83.629, -97.8286
34.364096, 83.659, -98.6446
34.613112, 83.683, -99.4036
34.863933, 83.707, -100.0989
35.116572, 83.734, -100.7388
35.371041, 83.767, -101.3431
35.627354, 83.807, -101.9369
35.885524, 83.853, -102.5435
36.145566, 83.902, -103.1788
36.407491, 83.950, -103.8490
36.671315, 83.995, -104.5502
36.937051, 84.035, -105.2724
37.204712, 84.069, -106.0026
37.474312, 84.098, -106.7291
37.745867, 84.124, -107.4446
38.019389, 84.147, -108.1465
38.294893, 84.169, -108.8370
38.572393, 84.192, -109.5211
38.851905, 84.214, -110.2041
39.133442, 84.237, -110.8899
39.417019, 84.259, -111.5798
39.702651, 84.280, -112.2724
39.990353, 84.301, -112.9647
40.280139, 84.321, -113.6541
40.572026, 84.342, -114.3397
40.866027, 84.364, -115.0234
41.162159, 84.388, -115.7097
41.460437, 84.412, -116.4036
41.760877, 84.437, -117.1087
42.063493, 84.461, -117.8246
42.368303, 84.483, -118.5463
42.675321, 84.502, -119.2644
42.984564, 84.517, -119.9684
43.296048, 84.532, -120.6503
43.609789, 84.546, -121.3083
43.925803, 84.563, -121.9489
44.244108, 84.583, -122.5850
44.564719, 84.604, -123.2318
44.887653, 84.627, -123.9004
45.212928, 84.646, -124.5931
45.540559, 84.661, -125.3020
45.870565, 84.670, -126.0117
46.202962, 84.673, -126.7053
46.537767, 84.672, -127.3712
46.874999, 84.671, -128.0077
47.214675, 84.672, -128.6224
47.556812, 84.675, -129.2285
47.901428, 84.680, -129.8379
48.248542, 84.686, -130.4567
48.598170, 84.691, -131.0836
48.950333, 84.696, -131.7127
49.305047, 84.701, -132.3382
49.662332, 84.705, -132.9576
50.022206, 84.711, -133.5735
50.384687, 84.719, -134.1911
50.749795, 84.727, -134.8152
51.117549, 84.734, -135.4474
51.487968, 84.740, -136.0854
51.861071, 84.743, -136.7242
52.236878, 84.744, -137.3581
52.615408, 84.742, -137.9828
52.996681, 84.737, -138.5957
53.380716, 84.730, -139.1949
53.767535, 84.721, -139.7800
54.157157, 84.711, -140.3513
54.549602, 84.699, -140.9118
54.944891, 84.687, -141.4657
55.343044, 84.674, -142.0178
55.744083, 84.659, -142.5704
56.148027, 84.644, -143.1229
56.554899, 84.627, -143.6737
56.964719, 84.610, -144.2240
57.377509, 84.593, -144.7784
57.793290, 84.576, -145.3410
58.212084, 84.556, -145.9080
58.633913, 84.533, -146.4635
59.058798, 84.508, -146.9849
59.486763, 84.484, -147.4560
59.917828, 84.466, -147.8799
60.352018, 84.457, -148.2808
60.789353, 84.458, -148.6913
61.229858, 84.466, -149.1348
61.673555, 84.474, -149.6144
62.120467, 84.481, -150.1172
62.570617, 84.485, -150.6261
63.024030, 84.487, -151.1302
63.480728, 84.487, -151.6266
63.940735, 84.486, -152.1153
64.404076, 84.483, -152.5959
64.870775, 84.478, -153.0674
65.340855, 84.471, -153.5294
65.814342, 84.463, -153.9823
66.291260, 84.454, -154.4257
66.771634, 84.443, -154.8572
67.255488, 84.431, -155.2746
67.742849, 84.419, -155.6783
68.233742, 84.407, -156.0711
68.728192, 84.396, -156.4563
69.226225, 84.385, -156.8361
69.727866, 84.373, -157.2110
70.233143, 84.361, -157.5809
70.742082, 84.348, -157.9453
71.254708, 84.335, -158.3040
71.771049, 84.321, -158.6581
72.291131, 84.306, -159.0107
72.814983, 84.291, -159.3646
73.342630, 84.275, -159.7205
73.874101, 84.258, -160.0762
74.409423, 84.240, -160.4279
74.948625, 84.223, -160.7726
75.491733, 84.206, -161.1090
76.038777, 84.191, -161.4386
76.589786, 84.180, -161.7661
77.144787, 84.172, -162.0992
77.703810, 84.166, -162.4451
78.266884, 84.161, -162.8057
78.834038, 84.156, -163.1764
79.405302, 84.149, -163.5488
79.980705, 84.141, -163.9156
80.560278, 84.132, -164.2735
81.144051, 84.123, -164.6219
81.732055, 84.113, -164.9617
82.324319, 84.103, -165.2949
82.920875, 84.093, -165.6259
83.521754, 84.085, -165.9609
84.126987, 84.078, -166.3056
84.736605, 84.071, -166.6623
85.350642, 84.063, -167.0290
85.969128, 84.055, -167.4013
86.592096, 84.047, -167.7740
87.219578, 84.039, -168.1427
87.851607, 84.031, -168.5040
88.488216, 84.024, -168.8570
89.129438, 84.017, -169.2031
89.775306, 84.011, -169.5447
90.425855, 84.005, -169.8843
91.081118, 83.999, -170.2243
91.741129, 83.992, -170.5677
92.405924, 83.986, -170.9182
93.075535, 83.980, -171.2800
93.749999, 83.974, -171.6573
94.429350, 83.967, -172.0518
95.113624, 83.958, -172.4603
95.802856, 83.947, -172.8756
96.497083, 83.935, -173.2891
97.196341, 83.921, -173.6935
97.900666, 83.905, -174.0834
98.610094, 83.889, -174.4566
99.324664, 83.873, -174.8146
100.044411, 83.857, -175.1623
100.769374, 83.841, -175.5066
101.499591, 83.825, -175.8524
102.235098, 83.807, -176.2007
102.975936, 83.787, -176.5486
103.722142, 83.765, -176.8911
104.473756, 83.742, -177.2238
105.230815, 83.718, -177.5439
105.993361, 83.695, -177.8529
106.761433, 83.672, -178.1557
107.535070, 83.650, -178.4583
108.314314, 83.627, -178.7666
109.099204, 83.602, -179.0862
109.889782, 83.576, -179.4201
110.686088, 83.548, -179.7662
111.488165, 83.518, 179.8835
112.296055, 83.487, 179.5411
113.109798, 83.458, 179.2193
113.929438, 83.432, 178.9296
