* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25, Right 26, Right 27, Right 28, Right 29, Right 30, Right 31
* Dated: Jan 13, 2025 12:29:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25, Right 26, Right 27, Right 28, Right 29, Right 30, Right 31
* Measurement: Left Ear 15 AVG
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
20.141602, 78.824
20.507812, 79.043
20.874023, 79.284
21.240234, 79.575
21.606445, 79.901
21.972656, 80.217
22.338867, 80.467
22.705078, 80.620
23.071289, 80.682
23.437500, 80.691
23.803711, 80.707
24.169922, 80.776
24.536133, 80.907
24.902344, 81.074
25.268555, 81.238
25.634766, 81.372
26.000977, 81.466
26.367188, 81.529
26.733398, 81.572
27.099609, 81.606
27.465820, 81.638
27.832031, 81.669
28.198242, 81.698
28.564453, 81.725
28.930664, 81.744
29.296875, 81.750
29.663086, 81.740
30.029297, 81.715
30.395508, 81.681
30.761719, 81.647
31.127930, 81.617
31.494141, 81.589
31.860352, 81.560
32.226562, 81.526
32.592773, 81.490
32.958984, 81.464
33.325195, 81.457
33.691406, 81.475
34.057617, 81.509
34.423828, 81.543
34.790039, 81.558
35.156250, 81.544
35.522461, 81.504
35.888672, 81.453
36.254883, 81.412
36.621094, 81.399
36.987305, 81.422
37.353516, 81.475
37.719727, 81.547
38.085938, 81.623
38.452148, 81.692
38.818359, 81.748
39.184570, 81.791
39.550781, 81.823
39.916992, 81.848
40.283203, 81.869
40.649414, 81.889
41.015625, 81.913
41.381836, 81.941
41.748047, 81.975
42.114258, 82.012
42.480469, 82.052
42.846680, 82.089
43.212891, 82.122
43.579102, 82.149
43.945312, 82.172
44.311523, 82.192
44.677734, 82.209
45.043945, 82.226
45.410156, 82.243
45.776367, 82.259
46.142578, 82.276
46.508789, 82.293
46.875000, 82.310
47.241211, 82.328
47.607422, 82.345
47.973633, 82.360
48.339844, 82.370
48.706055, 82.376
49.072266, 82.378
49.438477, 82.377
49.804688, 82.375
50.170898, 82.372
50.537109, 82.367
50.903320, 82.362
51.269531, 82.355
51.635742, 82.348
52.001953, 82.342
52.368164, 82.338
52.734375, 82.336
53.100586, 82.333
53.466797, 82.330
53.833008, 82.325
54.199219, 82.318
54.565430, 82.309
54.931641, 82.299
55.297852, 82.289
55.664062, 82.278
56.030273, 82.268
56.396484, 82.257
56.762695, 82.247
57.128906, 82.237
57.495117, 82.226
57.861328, 82.216
58.227539, 82.206
58.593750, 82.196
58.959961, 82.185
59.326172, 82.174
59.692383, 82.163
60.058594, 82.152
60.424805, 82.141
60.791016, 82.131
61.157227, 82.120
61.523438, 82.108
61.889648, 82.096
62.255859, 82.082
62.622070, 82.068
62.988281, 82.053
63.354492, 82.037
63.720703, 82.021
64.086914, 82.005
64.453125, 81.988
64.819336, 81.972
65.185547, 81.955
65.551758, 81.938
65.917969, 81.920
