* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 13, 2025 12:27:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 79.675, -8.5848
20.140070, 79.780, -10.4323
20.286013, 79.877, -12.1637
20.433014, 79.970, -13.7808
20.581080, 80.063, -15.2953
20.730219, 80.160, -16.7268
20.880438, 80.259, -18.0989
21.031747, 80.361, -19.4355
21.184151, 80.463, -20.7560
21.337660, 80.560, -22.0728
21.492282, 80.648, -23.3887
21.648024, 80.723, -24.6967
21.804894, 80.783, -25.9805
21.962902, 80.824, -27.2173
22.122054, 80.849, -28.3801
22.282359, 80.857, -29.4427
22.443827, 80.854, -30.3829
22.606464, 80.845, -31.1876
22.770280, 80.835, -31.8566
22.935282, 80.833, -32.4041
23.101481, 80.843, -32.8603
23.268884, 80.870, -33.2676
23.437500, 80.914, -33.6758
23.607337, 80.974, -34.1346
23.778406, 81.045, -34.6859
23.950714, 81.120, -35.3570
24.124271, 81.191, -36.1575
24.299085, 81.252, -37.0782
24.475166, 81.296, -38.0942
24.652524, 81.320, -39.1680
24.831166, 81.324, -40.2561
25.011103, 81.311, -41.3160
25.192344, 81.286, -42.3135
25.374898, 81.258, -43.2302
25.558775, 81.237, -44.0699
25.743984, 81.233, -44.8615
25.930536, 81.251, -45.6565
26.118439, 81.295, -46.5206
26.307704, 81.360, -47.5203
26.498340, 81.440, -48.7080
26.690358, 81.521, -50.1096
26.883768, 81.590, -51.7177
27.078578, 81.634, -53.4905
27.274801, 81.643, -55.3565
27.472445, 81.611, -57.2222
27.671522, 81.539, -58.9835
27.872041, 81.436, -60.5391
28.074014, 81.317, -61.8088
28.277450, 81.201, -62.7529
28.482360, 81.113, -63.3885
28.688755, 81.071, -63.7970
28.896645, 81.087, -64.1098
29.106042, 81.157, -64.4761
29.316956, 81.267, -65.0195
29.529399, 81.393, -65.8059
29.743381, 81.510, -66.8297
29.958914, 81.598, -68.0219
30.176009, 81.646, -69.2701
30.394677, 81.652, -70.4468
30.614929, 81.626, -71.4367
30.836777, 81.586, -72.1663
31.060233, 81.553, -72.6262
31.285309, 81.549, -72.8814
31.512015, 81.584, -73.0557
31.740364, 81.657, -73.2949
31.970368, 81.751, -73.7181
32.202038, 81.845, -74.3806
32.435387, 81.916, -75.2614
32.670428, 81.946, -76.2741
32.907171, 81.929, -77.2938
33.145630, 81.869, -78.1890
33.385817, 81.782, -78.8563
33.627744, 81.689, -79.2512
33.871425, 81.616, -79.4070
34.116871, 81.580, -79.4304
34.364096, 81.587, -79.4708
34.613112, 81.629, -79.6707
34.863933, 81.687, -80.1190
35.116572, 81.739, -80.8297
35.371041, 81.767, -81.7468
35.627354, 81.759, -82.7687
35.885524, 81.715, -83.7768
36.145566, 81.641, -84.6635
36.407491, 81.553, -85.3555
36.671315, 81.468, -85.8277
36.937051, 81.402, -86.1061
37.204712, 81.367, -86.2567
37.474312, 81.367, -86.3642
37.745867, 81.400, -86.5082
38.019389, 81.459, -86.7473
38.294893, 81.536, -87.1136
38.572393, 81.623, -87.6180
38.851905, 81.712, -88.2589
39.133442, 81.799, -89.0288
39.417019, 81.876, -89.9164
39.702651, 81.938, -90.9019
39.990353, 81.979, -91.9514
40.280139, 81.992, -93.0133
40.572026, 81.978, -94.0209
40.866027, 81.940, -94.9036
41.162159, 81.887, -95.6056
41.460437, 81.833, -96.1062
41.760877, 81.793, -96.4337
42.063493, 81.779, -96.6631
42.368303, 81.792, -96.8927
42.675321, 81.826, -97.2079
42.984564, 81.869, -97.6509
43.296048, 81.907, -98.2109
43.609789, 81.936, -98.8369
43.925803, 81.953, -99.4655
44.244108, 81.967, -100.0511
44.564719, 81.987, -100.5851
44.887653, 82.020, -101.0958
45.212928, 82.069, -101.6320
45.540559, 82.130, -102.2395
45.870565, 82.196, -102.9431
46.202962, 82.260, -103.7416
46.537767, 82.316, -104.6140
46.874999, 82.359, -105.5294
47.214675, 82.389, -106.4540
47.556812, 82.404, -107.3528
47.901428, 82.404, -108.1908
48.248542, 82.391, -108.9349
48.598170, 82.371, -109.5609
48.950333, 82.348, -110.0608
49.305047, 82.329, -110.4459
49.662332, 82.316, -110.7440
50.022206, 82.313, -110.9891
50.384687, 82.317, -111.2128
50.749795, 82.327, -111.4390
51.117549, 82.341, -111.6847
51.487968, 82.358, -111.9631
51.861071, 82.375, -112.2852
52.236878, 82.391, -112.6589
52.615408, 82.405, -113.0869
52.996681, 82.413, -113.5656
53.380716, 82.415, -114.0854
53.767535, 82.411, -114.6322
54.157157, 82.402, -115.1901
54.549602, 82.390, -115.7452
54.944891, 82.378, -116.2902
55.343044, 82.369, -116.8258
55.744083, 82.364, -117.3585
56.148027, 82.364, -117.8923
56.554899, 82.368, -118.4228
56.964719, 82.376, -118.9404
57.377509, 82.390, -119.4424
57.793290, 82.414, -119.9453
58.212084, 82.445, -120.4836
58.633913, 82.478, -121.0895
59.058798, 82.503, -121.7664
59.486763, 82.511, -122.4756
59.917828, 82.497, -123.1497
60.352018, 82.466, -123.7241
60.789353, 82.427, -124.1698
61.229858, 82.390, -124.5045
61.673555, 82.360, -124.7793
62.120467, 82.337, -125.0507
62.570617, 82.318, -125.3578
63.024030, 82.298, -125.7154
63.480728, 82.273, -126.1194
63.940735, 82.241, -126.5547
64.404076, 82.201, -127.0026
64.870775, 82.156, -127.4442
65.340855, 82.107, -127.8638
65.814342, 82.057, -128.2476
66.291260, 82.007, -128.5840
66.771634, 81.963, -128.8650
67.255488, 81.927, -129.0924
67.742849, 81.901, -129.2827
68.233742, 81.887, -129.4622
68.728192, 81.880, -129.6541
69.226225, 81.876, -129.8672
69.727866, 81.872, -130.0959
70.233143, 81.864, -130.3322
70.742082, 81.852, -130.5745
71.254708, 81.833, -130.8282
71.771049, 81.806, -131.0952
72.291131, 81.770, -131.3677
72.814983, 81.723, -131.6324
73.342630, 81.670, -131.8799
73.874101, 81.612, -132.1101
74.409423, 81.554, -132.3298
74.948625, 81.497, -132.5468
75.491733, 81.444, -132.7678
76.038777, 81.396, -132.9991
76.589786, 81.352, -133.2444
77.144787, 81.312, -133.4999
77.703810, 81.274, -133.7534
78.266884, 81.238, -133.9883
78.834038, 81.202, -134.1909
79.405302, 81.167, -134.3517
79.980705, 81.131, -134.4646
80.560278, 81.096, -134.5266
81.144051, 81.062, -134.5403
81.732055, 81.029, -134.5178
82.324319, 80.999, -134.4794
82.920875, 80.972, -134.4489
83.521754, 80.946, -134.4437
84.126987, 80.921, -134.4714
84.736605, 80.897, -134.5333
85.350642, 80.873, -134.6293
85.969128, 80.851, -134.7585
86.592096, 80.829, -134.9116
87.219578, 80.808, -135.0690
87.851607, 80.787, -135.2086
88.488216, 80.768, -135.3192
89.129438, 80.753, -135.4026
89.775306, 80.740, -135.4646
90.425855, 80.727, -135.5058
91.081118, 80.712, -135.5233
91.741129, 80.695, -135.5188
92.405924, 80.675, -135.5009
93.075535, 80.651, -135.4801
93.749999, 80.621, -135.4631
94.429350, 80.587, -135.4506
95.113624, 80.548, -135.4373
95.802856, 80.506, -135.4167
96.497083, 80.465, -135.3873
97.196341, 80.426, -135.3536
97.900666, 80.391, -135.3194
98.610094, 80.362, -135.2835
99.324664, 80.337, -135.2449
100.044411, 80.318, -135.2072
100.769374, 80.303, -135.1750
101.499591, 80.290, -135.1485
102.235098, 80.276, -135.1227
102.975936, 80.260, -135.0926
103.722142, 80.241, -135.0574
104.473756, 80.221, -135.0212
105.230815, 80.197, -134.9897
105.993361, 80.171, -134.9680
106.761433, 80.143, -134.9578
107.535070, 80.112, -134.9552
108.314314, 80.082, -134.9525
109.099204, 80.052, -134.9427
109.889782, 80.026, -134.9257
110.686088, 80.004, -134.9075
111.488165, 79.985, -134.8948
112.296055, 79.967, -134.8873
113.109798, 79.947, -134.8750
113.929438, 79.924, -134.8427
114.755018, 79.898, -134.7780
115.586580, 79.870, -134.6783
116.424168, 79.841, -134.5514
117.267826, 79.812, -134.4106
118.117597, 79.785, -134.2690
118.973525, 79.760, -134.1404
119.835657, 79.736, -134.0407
120.704035, 79.713, -133.9775
121.578706, 79.688, -133.9412
122.459716, 79.661, -133.9131
123.347109, 79.632, -133.8790
124.240933, 79.602, -133.8332
125.141234, 79.572, -133.7780
126.048059, 79.541, -133.7173
126.961456, 79.509, -133.6499
127.881471, 79.475, -133.5706
128.808153, 79.442, -133.4761
