* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15
* Dated: Jan 13, 2025 12:24:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15
* Measurement: Right 15 avg
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
20.141602, 79.230
20.507812, 79.396
20.874023, 79.506
21.240234, 79.579
21.606445, 79.631
21.972656, 79.670
22.338867, 79.704
22.705078, 79.743
23.071289, 79.796
23.437500, 79.866
23.803711, 79.949
24.169922, 80.039
24.536133, 80.132
24.902344, 80.228
25.268555, 80.332
25.634766, 80.445
26.000977, 80.562
26.367188, 80.679
26.733398, 80.792
27.099609, 80.899
27.465820, 81.005
27.832031, 81.114
28.198242, 81.224
28.564453, 81.328
28.930664, 81.412
29.296875, 81.463
29.663086, 81.475
30.029297, 81.454
30.395508, 81.417
30.761719, 81.382
31.127930, 81.366
31.494141, 81.375
31.860352, 81.401
32.226562, 81.434
32.592773, 81.467
32.958984, 81.500
33.325195, 81.539
33.691406, 81.586
34.057617, 81.635
34.423828, 81.677
34.790039, 81.702
35.156250, 81.709
35.522461, 81.705
35.888672, 81.701
36.254883, 81.705
36.621094, 81.719
36.987305, 81.735
37.353516, 81.746
37.719727, 81.747
38.085938, 81.742
38.452148, 81.737
38.818359, 81.744
39.184570, 81.768
39.550781, 81.811
39.916992, 81.865
40.283203, 81.920
40.649414, 81.965
41.015625, 81.996
41.381836, 82.013
41.748047, 82.025
42.114258, 82.040
42.480469, 82.067
42.846680, 82.109
43.212891, 82.163
43.579102, 82.219
43.945312, 82.271
44.311523, 82.312
44.677734, 82.339
45.043945, 82.355
45.410156, 82.363
45.776367, 82.366
46.142578, 82.368
46.508789, 82.372
46.875000, 82.379
47.241211, 82.390
47.607422, 82.405
47.973633, 82.425
48.339844, 82.449
48.706055, 82.476
49.072266, 82.503
49.438477, 82.529
49.804688, 82.552
50.170898, 82.571
50.537109, 82.587
50.903320, 82.600
51.269531, 82.612
51.635742, 82.624
52.001953, 82.637
52.368164, 82.649
52.734375, 82.661
53.100586, 82.670
53.466797, 82.678
53.833008, 82.682
54.199219, 82.683
54.565430, 82.683
54.931641, 82.682
55.297852, 82.681
55.664062, 82.679
56.030273, 82.676
56.396484, 82.673
56.762695, 82.669
57.128906, 82.664
57.495117, 82.660
57.861328, 82.656
58.227539, 82.654
58.593750, 82.653
58.959961, 82.651
59.326172, 82.648
59.692383, 82.642
60.058594, 82.633
60.424805, 82.620
60.791016, 82.606
61.157227, 82.590
61.523438, 82.573
61.889648, 82.557
62.255859, 82.541
62.622070, 82.526
62.988281, 82.510
63.354492, 82.494
63.720703, 82.476
64.086914, 82.457
64.453125, 82.436
64.819336, 82.413
65.185547, 82.389
65.551758, 82.364
65.917969, 82.339
66.284180, 82.313
