* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 13, 2025 12:18:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R12
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 79.429, 14.6339
20.140070, 79.505, 12.9404
20.286013, 79.570, 11.2775
20.433014, 79.634, 9.6371
20.581080, 79.702, 7.9984
20.730219, 79.781, 6.3299
20.880438, 79.873, 4.5953
21.031747, 79.977, 2.7592
21.184151, 80.089, 0.7930
21.337660, 80.206, -1.3206
21.492282, 80.319, -3.5839
21.648024, 80.423, -5.9841
21.804894, 80.510, -8.4934
21.962902, 80.576, -11.0707
22.122054, 80.618, -13.6648
22.282359, 80.634, -16.2177
22.443827, 80.626, -18.6681
22.606464, 80.598, -20.9570
22.770280, 80.557, -23.0321
22.935282, 80.514, -24.8551
23.101481, 80.480, -26.4081
23.268884, 80.468, -27.6992
23.437500, 80.488, -28.7665
23.607337, 80.548, -29.6742
23.778406, 80.650, -30.5046
23.950714, 80.789, -31.3439
24.124271, 80.954, -32.2662
24.299085, 81.133, -33.3214
24.475166, 81.308, -34.5269
24.652524, 81.466, -35.8676
24.831166, 81.593, -37.2992
25.011103, 81.681, -38.7549
25.192344, 81.727, -40.1541
25.374898, 81.733, -41.4102
25.558775, 81.704, -42.4432
25.743984, 81.655, -43.1915
25.930536, 81.602, -43.6275
26.118439, 81.565, -43.7707
26.307704, 81.561, -43.6953
26.498340, 81.602, -43.5242
26.690358, 81.690, -43.4064
26.883768, 81.817, -43.4851
27.078578, 81.963, -43.8655
27.274801, 82.108, -44.5969
27.472445, 82.229, -45.6689
27.671522, 82.308, -47.0215
27.872041, 82.334, -48.5583
28.074014, 82.300, -50.1646
28.277450, 82.209, -51.7213
28.482360, 82.071, -53.1226
28.688755, 81.904, -54.2915
