* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 9:43:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L10
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.033247, 71.603, -41.4978
20.178416, 71.652, -42.4641
20.324637, 71.694, -43.3993
20.471918, 71.730, -44.2935
20.620266, 71.762, -45.1381
20.769689, 71.791, -45.9276
20.920195, 71.820, -46.6607
21.071791, 71.851, -47.3404
21.224486, 71.885, -47.9742
21.378287, 71.925, -48.5726
21.533203, 71.969, -49.1474
21.689242, 72.018, -49.7094
21.846411, 72.071, -50.2666
22.004719, 72.125, -50.8225
22.164174, 72.180, -51.3759
22.324785, 72.235, -51.9212
22.486559, 72.289, -52.4503
22.649506, 72.343, -52.9543
22.813634, 72.398, -53.4272
22.978951, 72.457, -53.8671
23.145466, 72.522, -54.2787
23.313188, 72.596, -54.6741
23.482124, 72.679, -55.0708
23.652286, 72.771, -55.4902
23.823680, 72.871, -55.9531
23.996316, 72.976, -56.4769
24.170203, 73.082, -57.0710
24.345351, 73.185, -57.7358
24.521767, 73.279, -58.4612
24.699462, 73.363, -59.2286
24.878444, 73.434, -60.0128
25.058724, 73.492, -60.7856
25.240310, 73.538, -61.5198
25.423211, 73.575, -62.1924
25.607438, 73.607, -62.7886
25.793000, 73.639, -63.3035
25.979907, 73.674, -63.7423
26.168168, 73.717, -64.1199
26.357794, 73.769, -64.4573
26.548793, 73.832, -64.7775
26.741176, 73.903, -65.1016
26.934954, 73.982, -65.4458
27.130136, 74.067, -65.8212
27.326732, 74.156, -66.2334
27.524753, 74.246, -66.6847
27.724208, 74.338, -67.1764
27.925110, 74.431, -67.7106
28.127466, 74.523, -68.2911
28.331290, 74.613, -68.9227
28.536590, 74.700, -69.6090
28.743378, 74.780, -70.3491
28.951664, 74.850, -71.1350
29.161460, 74.907, -71.9493
29.372776, 74.949, -72.7653
29.585623, 74.975, -73.5488
29.800013, 74.987, -74.2622
30.015956, 74.990, -74.8710
30.233464, 74.989, -75.3506
30.452548, 74.993, -75.6927
30.673220, 75.011, -75.9110
30.895490, 75.049, -76.0405
31.119372, 75.113, -76.1339
31.344876, 75.202, -76.2513
31.572014, 75.313, -76.4487
31.800797, 75.440, -76.7672
32.031239, 75.573, -77.2269
32.263351, 75.704, -77.8259
32.497144, 75.828, -78.5443
32.732632, 75.938, -79.3505
32.969826, 76.034, -80.2084
33.208739, 76.116, -81.0839
33.449383, 76.184, -81.9489
33.691771, 76.242, -82.7837
33.935916, 76.292, -83.5769
34.181829, 76.336, -84.3238
34.429525, 76.377, -85.0240
34.679015, 76.415, -85.6794
34.930314, 76.452, -86.2920
35.183433, 76.487, -86.8643
35.438387, 76.523, -87.3994
35.695188, 76.559, -87.9017
35.953850, 76.597, -88.3779
36.214387, 76.637, -88.8362
36.476811, 76.679, -89.2853
36.741137, 76.721, -89.7334
37.007378, 76.763, -90.1854
37.275549, 76.804, -90.6429
37.545663, 76.842, -91.1029
37.817734, 76.877, -91.5594
38.091777, 76.910, -92.0050
38.367806, 76.940, -92.4333
38.645835, 76.970, -92.8411
38.925879, 77.000, -93.2296
39.207952, 77.034, -93.6042
39.492069, 77.070, -93.9738
39.778244, 77.110, -94.3469
40.066494, 77.153, -94.7308
40.356832, 77.199, -95.1287
40.649275, 77.245, -95.5405
40.943836, 77.293, -95.9639
41.240532, 77.343, -96.3966
41.539378, 77.394, -96.8383
41.840389, 77.447, -97.2905
42.143582, 77.502, -97.7563
42.448972, 77.557, -98.2375
42.756574, 77.613, -98.7335
43.066406, 77.667, -99.2402
43.378483, 77.720, -99.7526
43.692822, 77.772, -100.2659
44.009438, 77.823, -100.7783
44.328348, 77.872, -101.2911
44.649570, 77.920, -101.8071
44.973119, 77.965, -102.3268
45.299013, 78.006, -102.8461
45.627268, 78.041, -103.3551
45.957902, 78.070, -103.8406
46.290932, 78.096, -104.2900
46.626375, 78.119, -104.6959
46.964249, 78.142, -105.0590
47.304571, 78.168, -105.3876
47.647360, 78.197, -105.6940
47.992632, 78.229, -105.9905
48.340407, 78.265, -106.2870
48.690701, 78.303, -106.5912
49.043534, 78.344, -106.9108
49.398924, 78.387, -107.2545
49.756889, 78.430, -107.6309
50.117447, 78.472, -108.0440
50.480619, 78.510, -108.4896
50.846423, 78.542, -108.9542
51.214877, 78.568, -109.4195
51.586001, 78.590, -109.8688
51.959814, 78.610, -110.2938
52.336336, 78.630, -110.6967
52.715587, 78.654, -111.0878
53.097586, 78.681, -111.4813
53.482353, 78.710, -111.8897
53.869908, 78.742, -112.3201
54.260272, 78.772, -112.7719
54.653464, 78.801, -113.2365
55.049506, 78.828, -113.6993
55.448417, 78.854, -114.1469
55.850219, 78.882, -114.5731
56.254933, 78.914, -114.9830
56.662579, 78.950, -115.3890
57.073180, 78.991, -115.8025
57.486755, 79.034, -116.2289
57.903328, 79.079, -116.6697
58.322919, 79.125, -117.1288
58.745551, 79.170, -117.6147
59.171246, 79.211, -118.1318
59.600025, 79.243, -118.6682
60.031911, 79.262, -119.1922
60.466927, 79.271, -119.6644
60.905096, 79.274, -120.0591
61.346439, 79.277, -120.3793
61.790981, 79.284, -120.6522
62.238744, 79.295, -120.9113
62.689751, 79.309, -121.1776
63.144027, 79.322, -121.4563
63.601595, 79.334, -121.7429
64.062478, 79.345, -122.0337
64.526701, 79.356, -122.3278
64.994288, 79.368, -122.6268
65.465264, 79.382, -122.9326
65.939652, 79.397, -123.2482
66.417478, 79.414, -123.5769
66.898766, 79.433, -123.9210
67.383542, 79.453, -124.2787
67.871831, 79.472, -124.6440
68.363659, 79.493, -125.0095
68.859050, 79.513, -125.3690
69.358031, 79.534, -125.7213
69.860628, 79.557, -126.0696
70.366867, 79.579, -126.4178
70.876774, 79.601, -126.7665
71.390376, 79.621, -127.1131
71.907700, 79.639, -127.4539
72.428773, 79.656, -127.7880
72.953622, 79.671, -128.1165
73.482274, 79.684, -128.4398
74.014757, 79.696, -128.7574
74.551098, 79.707, -129.0688
75.091326, 79.718, -129.3768
75.635469, 79.729, -129.6853
76.183555, 79.741, -129.9973
76.735612, 79.752, -130.3130
77.291670, 79.762, -130.6305
77.851757, 79.771, -130.9465
78.415903, 79.780, -131.2573
78.984137, 79.788, -131.5600
79.556489, 79.796, -131.8534
80.132988, 79.803, -132.1376
80.713665, 79.810, -132.4126
81.298549, 79.817, -132.6774
81.887672, 79.823, -132.9319
82.481064, 79.830, -133.1783
83.078756, 79.838, -133.4209
83.680778, 79.846, -133.6644
84.287164, 79.854, -133.9108
84.897943, 79.861, -134.1589
85.513149, 79.868, -134.4058
86.132812, 79.876, -134.6499
86.756966, 79.883, -134.8934
87.385643, 79.892, -135.1395
88.018875, 79.901, -135.3907
88.656696, 79.911, -135.6473
89.299139, 79.921, -135.9076
89.946238, 79.930, -136.1678
90.598025, 79.938, -136.4226
91.254536, 79.946, -136.6675
91.915804, 79.952, -136.8972
92.581864, 79.958, -137.1042
93.252750, 79.965, -137.2829
93.928498, 79.975, -137.4375
94.609143, 79.987, -137.5819
95.294719, 80.002, -137.7286
95.985264, 80.017, -137.8803
96.680813, 80.031, -138.0329
97.381402, 80.046, -138.1835
98.087068, 80.060, -138.3330
98.797847, 80.074, -138.4827
99.513777, 80.088, -138.6331
100.234895, 80.103, -138.7847
