* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 9:35:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R15
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.033247, 76.121, -70.6950
20.178416, 76.191, -71.4124
20.324637, 76.259, -72.1448
20.471918, 76.323, -72.8873
20.620266, 76.383, -73.6348
20.769689, 76.440, -74.3826
20.920195, 76.494, -75.1271
21.071791, 76.545, -75.8659
21.224486, 76.595, -76.5985
21.378287, 76.642, -77.3257
21.533203, 76.688, -78.0494
21.689242, 76.733, -78.7723
21.846411, 76.775, -79.4962
22.004719, 76.814, -80.2218
22.164174, 76.849, -80.9477
22.324785, 76.879, -81.6697
22.486559, 76.903, -82.3809
22.649506, 76.920, -83.0715
22.813634, 76.930, -83.7299
22.978951, 76.935, -84.3433
23.145466, 76.934, -84.8992
23.313188, 76.929, -85.3864
23.482124, 76.925, -85.7971
23.652286, 76.922, -86.1278
23.823680, 76.925, -86.3806
23.996316, 76.936, -86.5640
24.170203, 76.959, -86.6921
24.345351, 76.996, -86.7851
24.521767, 77.047, -86.8668
24.699462, 77.113, -86.9630
24.878444, 77.192, -87.0990
25.058724, 77.283, -87.2973
25.240310, 77.382, -87.5754
25.423211, 77.486, -87.9442
25.607438, 77.590, -88.4072
25.793000, 77.691, -88.9607
25.979907, 77.785, -89.5943
26.168168, 77.870, -90.2928
26.357794, 77.945, -91.0376
26.548793, 78.008, -91.8093
26.741176, 78.061, -92.5899
26.934954, 78.104, -93.3645
27.130136, 78.139, -94.1224
27.326732, 78.168, -94.8578
27.524753, 78.191, -95.5684
27.724208, 78.211, -96.2541
27.925110, 78.226, -96.9147
28.127466, 78.238, -97.5481
28.331290, 78.246, -98.1486
28.536590, 78.250, -98.7082
28.743378, 78.251, -99.2178
28.951664, 78.252, -99.6705
29.161460, 78.256, -100.0656
29.372776, 78.264, -100.4095
29.585623, 78.280, -100.7174
29.800013, 78.303, -101.0093
30.015956, 78.334, -101.3052
30.233464, 78.369, -101.6188
30.452548, 78.404, -101.9526
30.673220, 78.436, -102.2964
30.895490, 78.464, -102.6298
31.119372, 78.488, -102.9290
31.344876, 78.512, -103.1760
31.572014, 78.539, -103.3670
31.800797, 78.576, -103.5168
32.031239, 78.624, -103.6570
32.263351, 78.684, -103.8269
32.497144, 78.750, -104.0604
32.732632, 78.817, -104.3732
32.969826, 78.877, -104.7563
33.208739, 78.926, -105.1781
33.449383, 78.962, -105.5950
