* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Left 1, Left 2, Left 3, Left 4, Left 5, Left 6, Left 7, Left 8, Left 9, Left 10, Left 11, Left 12, Left 13, Left 14, Left 15
* Dated: Jan 12, 2025 9:45:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Left 1, Left 2, Left 3, Left 4, Left 5, Left 6, Left 7, Left 8, Left 9, Left 10, Left 11, Left 12, Left 13, Left 14, Left 15
* Measurement: Left Ear 15 AVG
* Smoothing: 1/12 octave
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
19.850924, 71.643
20.187380, 71.841
20.523836, 72.023
20.860293, 72.196
21.196749, 72.366
21.533205, 72.541
21.869662, 72.724
22.206118, 72.908
22.542574, 73.081
22.879030, 73.236
23.215487, 73.373
23.551943, 73.500
23.888399, 73.631
24.224856, 73.776
24.561312, 73.934
24.897768, 74.099
25.234225, 74.258
25.570681, 74.399
25.907137, 74.520
26.243594, 74.628
26.580050, 74.733
26.916506, 74.842
27.252963, 74.961
27.589419, 75.085
27.925875, 75.208
28.262332, 75.320
28.598788, 75.417
28.935244, 75.499
29.271701, 75.571
29.608157, 75.638
29.944613, 75.709
30.281070, 75.788
30.617526, 75.875
30.953982, 75.969
31.290439, 76.065
31.626895, 76.159
31.963351, 76.249
32.299808, 76.335
32.636264, 76.416
32.972720, 76.495
33.309177, 76.573
33.645633, 76.649
33.982089, 76.724
34.318546, 76.798
34.655002, 76.872
34.991458, 76.946
35.327915, 77.022
35.664371, 77.098
36.000827, 77.173
36.337284, 77.245
36.673740, 77.312
37.010196, 77.374
37.346653, 77.433
37.683109, 77.488
38.019565, 77.542
38.356022, 77.593
38.692478, 77.643
39.028934, 77.690
39.365391, 77.735
39.701847, 77.780
40.038303, 77.824
40.374760, 77.868
40.711216, 77.913
41.047672, 77.958
41.384129, 78.003
41.720585, 78.047
42.057041, 78.091
42.393498, 78.135
42.729954, 78.180
43.066410, 78.226
43.402867, 78.273
43.739323, 78.320
44.075779, 78.368
44.412236, 78.414
44.748692, 78.459
45.085148, 78.501
45.421605, 78.543
45.758061, 78.583
46.094517, 78.623
46.430974, 78.663
46.767430, 78.703
47.103886, 78.742
47.440342, 78.780
47.776799, 78.816
48.113255, 78.852
48.449711, 78.887
48.786168, 78.922
49.122624, 78.957
49.459080, 78.992
49.795537, 79.027
50.131993, 79.061
50.468449, 79.096
50.804906, 79.130
51.141362, 79.164
51.477818, 79.198
51.814275, 79.232
52.150731, 79.265
52.487187, 79.297
52.823644, 79.329
53.160100, 79.360
53.496556, 79.390
53.833013, 79.420
54.169469, 79.448
54.505925, 79.476
54.842382, 79.502
55.178838, 79.528
55.515294, 79.553
55.851751, 79.577
56.188207, 79.601
56.524663, 79.625
56.861120, 79.648
57.197576, 79.670
57.534032, 79.692
57.870489, 79.714
58.206945, 79.734
58.543401, 79.753
58.879858, 79.771
59.216314, 79.788
59.552770, 79.804
59.889227, 79.821
60.225683, 79.839
60.562139, 79.858
60.898596, 79.879
61.235052, 79.902
61.571508, 79.926
61.907965, 79.950
