* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15
* Dated: Jan 12, 2025 9:35:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Right 1, Right 2, Right 3, Right 4, Right 5, Right 6, Right 7, Right 8, Right 9, Right 10, Right 11, Right 12, Right 13, Right 14, Right 15
* Measurement: right 15 avg
* Smoothing: 1/12 octave
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
19.850924, 74.238
20.187380, 74.380
20.523836, 74.521
20.860293, 74.662
21.196749, 74.798
21.533205, 74.922
21.869662, 75.030
22.206118, 75.126
22.542574, 75.219
22.879030, 75.320
23.215487, 75.438
23.551943, 75.568
23.888399, 75.700
24.224856, 75.818
24.561312, 75.913
24.897768, 75.985
25.234225, 76.043
25.570681, 76.101
25.907137, 76.169
26.243594, 76.253
26.580050, 76.349
26.916506, 76.446
27.252963, 76.534
27.589419, 76.606
27.925875, 76.663
28.262332, 76.709
28.598788, 76.752
28.935244, 76.800
29.271701, 76.855
29.608157, 76.917
29.944613, 76.982
30.281070, 77.046
30.617526, 77.109
30.953982, 77.171
31.290439, 77.234
31.626895, 77.298
31.963351, 77.359
32.299808, 77.414
32.636264, 77.458
32.972720, 77.490
33.309177, 77.514
33.645633, 77.535
33.982089, 77.561
34.318546, 77.596
34.655002, 77.639
34.991458, 77.687
35.327915, 77.736
35.664371, 77.781
36.000827, 77.822
36.337284, 77.861
36.673740, 77.898
37.010196, 77.937
37.346653, 77.975
37.683109, 78.013
38.019565, 78.047
38.356022, 78.078
38.692478, 78.107
39.028934, 78.138
39.365391, 78.172
39.701847, 78.210
40.038303, 78.250
40.374760, 78.291
40.711216, 78.331
41.047672, 78.369
41.384129, 78.403
41.720585, 78.435
42.057041, 78.467
42.393498, 78.500
42.729954, 78.533
43.066410, 78.567
43.402867, 78.600
43.739323, 78.632
44.075779, 78.663
44.412236, 78.691
44.748692, 78.717
45.085148, 78.743
45.421605, 78.770
45.758061, 78.799
46.094517, 78.830
46.430974, 78.864
46.767430, 78.899
47.103886, 78.934
47.440342, 78.969
47.776799, 79.002
48.113255, 79.033
48.449711, 79.063
48.786168, 79.092
49.122624, 79.120
49.459080, 79.149
49.795537, 79.178
50.131993, 79.207
50.468449, 79.236
50.804906, 79.264
51.141362, 79.291
51.477818, 79.317
51.814275, 79.344
52.150731, 79.371
52.487187, 79.398
52.823644, 79.427
53.160100, 79.457
53.496556, 79.488
53.833013, 79.520
54.169469, 79.553
54.505925, 79.586
54.842382, 79.620
55.178838, 79.652
55.515294, 79.685
55.851751, 79.716
56.188207, 79.747
56.524663, 79.777
56.861120, 79.807
57.197576, 79.836
57.534032, 79.864
57.870489, 79.891
58.206945, 79.919
58.543401, 79.946
58.879858, 79.972
59.216314, 79.998
59.552770, 80.023
59.889227, 80.046
60.225683, 80.068
60.562139, 80.087
60.898596, 80.105
61.235052, 80.121
61.571508, 80.136
61.907965, 80.152
62.244421, 80.167
