* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 10:59:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.033247, 89.874, -108.0306
20.178416, 89.815, -108.4761
20.324637, 89.760, -108.7851
20.471918, 89.715, -108.9653
20.620266, 89.690, -109.0452
20.769689, 89.687, -109.0713
20.920195, 89.710, -109.1010
21.071791, 89.755, -109.1918
21.224486, 89.816, -109.3905
21.378287, 89.883, -109.7234
21.533203, 89.947, -110.1920
21.689242, 89.997, -110.7732
21.846411, 90.028, -111.4225
22.004719, 90.035, -112.0817
22.164174, 90.021, -112.6882
22.324785, 89.990, -113.1850
22.486559, 89.953, -113.5331
22.649506, 89.921, -113.7211
22.813634, 89.908, -113.7733
22.978951, 89.925, -113.7505
23.145466, 89.976, -113.7404
23.313188, 90.059, -113.8408
23.482124, 90.166, -114.1369
23.652286, 90.282, -114.6832
23.823680, 90.390, -115.4922
23.996316, 90.473, -116.5330
24.170203, 90.517, -117.7374
24.345351, 90.514, -119.0085
24.521767, 90.463, -120.2344
24.699462, 90.367, -121.2997
24.878444, 90.240, -122.1036
25.058724, 90.101, -122.5781
25.240310, 89.974, -122.7093
25.423211, 89.884, -122.5512
25.607438, 89.849, -122.2258
25.793000, 89.876, -121.8981
25.979907, 89.958, -121.7346
26.168168, 90.075, -121.8580
26.357794, 90.204, -122.3197
26.548793, 90.317, -123.0954
26.741176, 90.397, -124.0988
26.934954, 90.434, -125.2048
27.130136, 90.425, -126.2750
27.326732, 90.383, -127.1830
27.524753, 90.325, -127.8411
27.724208, 90.277, -128.2252
27.925110, 90.262, -128.3896
28.127466, 90.298, -128.4614
