* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2025 11:08:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R10
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.033247, 87.594, -90.9252
20.178416, 87.820, -90.1493
20.324637, 88.074, -89.9061
20.471918, 88.330, -90.1891
20.620266, 88.566, -90.9434
20.769689, 88.767, -92.0869
20.920195, 88.925, -93.5261
21.071791, 89.034, -95.1691
21.224486, 89.097, -96.9302
21.378287, 89.114, -98.7350
21.533203, 89.092, -100.5225
21.689242, 89.038, -102.2462
21.846411, 88.959, -103.8746
22.004719, 88.863, -105.3900
22.164174, 88.756, -106.7866
22.324785, 88.643, -108.0668
22.486559, 88.528, -109.2371
22.649506, 88.414, -110.3036
22.813634, 88.302, -111.2688
22.978951, 88.194, -112.1306
23.145466, 88.092, -112.8832
23.313188, 87.998, -113.5209
23.482124, 87.919, -114.0438
23.652286, 87.858, -114.4625
23.823680, 87.821, -114.8021
23.996316, 87.812, -115.1014
24.170203, 87.831, -115.4084
24.345351, 87.874, -115.7726
24.521767, 87.935, -116.2341
24.699462, 88.002, -116.8129
24.878444, 88.066, -117.5020
25.058724, 88.116, -118.2673
25.240310, 88.145, -119.0525
25.423211, 88.151, -119.7861
25.607438, 88.136, -120.3939
25.793000, 88.109, -120.8122
25.979907, 88.082, -121.0024
26.168168, 88.070, -120.9656
26.357794, 88.089, -120.7493
26.548793, 88.147, -120.4451
26.741176, 88.247, -120.1708
26.934954, 88.382, -120.0437
27.130136, 88.538, -120.1532
27.326732, 88.695, -120.5424
27.524753, 88.834, -121.2032
27.724208, 88.941, -122.0827
27.925110, 89.002, -123.0956
28.127466, 89.015, -124.1391
28.331290, 88.980, -125.1074
28.536590, 88.906, -125.9069
28.743378, 88.805, -126.4696
28.951664, 88.696, -126.7672
29.161460, 88.595, -126.8181
29.372776, 88.516, -126.6866
29.585623, 88.467, -126.4685
29.800013, 88.448, -126.2665
30.015956, 88.452, -126.1635
30.233464, 88.466, -126.2031
30.452548, 88.478, -126.3846
30.673220, 88.479, -126.6692
30.895490, 88.466, -126.9970
31.119372, 88.439, -127.3056
31.344876, 88.406, -127.5501
31.572014, 88.378, -127.7169
31.800797, 88.365, -127.8295
32.031239, 88.371, -127.9415
32.263351, 88.398, -128.1203
32.497144, 88.439, -128.4237
32.732632, 88.483, -128.8796
32.969826, 88.517, -129.4757
33.208739, 88.530, -130.1603
33.449383, 88.519, -130.8540
33.691771, 88.482, -131.4671
33.935916, 88.429, -131.9200
34.181829, 88.371, -132.1630
34.429525, 88.325, -132.1913
34.679015, 88.304, -132.0491
34.930314, 88.316, -131.8196
35.183433, 88.361, -131.6005
35.438387, 88.432, -131.4754
35.695188, 88.517, -131.4929
35.953850, 88.602, -131.6588
36.214387, 88.678, -131.9435
36.476811, 88.738, -132.2969
36.741137, 88.782, -132.6658
37.007378, 88.811, -133.0070
37.275549, 88.832, -133.2954
37.545663, 88.847, -133.5250
37.817734, 88.862, -133.7039
38.091777, 88.877, -133.8474
38.367806, 88.895, -133.9700
38.645835, 88.913, -134.0823
38.925879, 88.932, -134.1902
39.207952, 88.953, -134.2983
39.492069, 88.976, -134.4130
39.778244, 89.001, -134.5441
40.066494, 89.028, -134.7038
40.356832, 89.054, -134.9024
40.649275, 89.078, -135.1433
40.943836, 89.096, -135.4190
41.240532, 89.106, -135.7101
41.539378, 89.106, -135.9882
41.840389, 89.098, -136.2227
42.143582, 89.085, -136.3881
42.448972, 89.074, -136.4731
42.756574, 89.070, -136.4854
43.066406, 89.078, -136.4508
43.378483, 89.099, -136.4081
43.692822, 89.132, -136.3975
44.009438, 89.173, -136.4489
44.328348, 89.215, -136.5741
44.649570, 89.255, -136.7643
44.973119, 89.286, -136.9940
45.299013, 89.309, -137.2296
45.627268, 89.326, -137.4399
45.957902, 89.340, -137.6064
46.290932, 89.357, -137.7295
46.626375, 89.380, -137.8271
46.964249, 89.410, -137.9271
47.304571, 89.446, -138.0533
47.647360, 89.485, -138.2139
47.992632, 89.521, -138.3967
48.340407, 89.556, -138.5762
48.690701, 89.589, -138.7269
49.043534, 89.626, -138.8380
49.398924, 89.671, -138.9184
49.756889, 89.723, -138.9896
50.117447, 89.783, -139.0715
50.480619, 89.846, -139.1700
50.846423, 89.910, -139.2770
51.214877, 89.976, -139.3799
51.586001, 90.043, -139.4745
51.959814, 90.112, -139.5687
52.336336, 90.183, -139.6743
52.715587, 90.253, -139.7949
53.097586, 90.319, -139.9198
53.482353, 90.382, -140.0325
53.869908, 90.446, -140.1261
54.260272, 90.513, -140.2153
54.653464, 90.585, -140.3326
55.049506, 90.660, -140.5113
55.448417, 90.733, -140.7671
55.850219, 90.800, -141.0921
56.254933, 90.859, -141.4626
56.662579, 90.911, -141.8553
57.073180, 90.960, -142.2593
57.486755, 91.007, -142.6782
57.903328, 91.055, -143.1226
58.322919, 91.102, -143.6000
58.745551, 91.147, -144.1086
59.171246, 91.189, -144.6381
59.600025, 91.228, -145.1746
60.031911, 91.266, -145.7083
60.466927, 91.302, -146.2351
60.905096, 91.339, -146.7556
61.346439, 91.375, -147.2696
61.790981, 91.411, -147.7749
62.238744, 91.447, -148.2692
62.689751, 91.484, -148.7542
63.144027, 91.523, -149.2375
63.601595, 91.563, -149.7292
64.062478, 91.604, -150.2383
64.526701, 91.644, -150.7692
64.994288, 91.682, -151.3232
65.465264, 91.718, -151.8981
65.939652, 91.750, -152.4876
66.417478, 91.779, -153.0831
66.898766, 91.804, -153.6765
67.383542, 91.828, -154.2634
67.871831, 91.851, -154.8429
68.363659, 91.872, -155.4133
68.859050, 91.892, -155.9708
69.358031, 91.912, -156.5110
69.860628, 91.931, -157.0334
70.366867, 91.949, -157.5416
70.876774, 91.968, -158.0400
71.390376, 91.985, -158.5304
71.907700, 92.000, -159.0134
72.428773, 92.013, -159.4919
72.953622, 92.025, -159.9713
73.482274, 92.034, -160.4564
74.014757, 92.040, -160.9474
74.551098, 92.043, -161.4419
75.091326, 92.044, -161.9368
75.635469, 92.045, -162.4322
76.183555, 92.046, -162.9311
76.735612, 92.049, -163.4401
77.291670, 92.054, -163.9683
77.851757, 92.060, -164.5237
78.415903, 92.067, -165.1077
78.984137, 92.071, -165.7109
79.556489, 92.072, -166.3155
80.132988, 92.071, -166.9049
80.713665, 92.069, -167.4726
81.298549, 92.068, -168.0228
81.887672, 92.067, -168.5654
82.481064, 92.065, -169.1074
83.078756, 92.059, -169.6481
83.680778, 92.050, -170.1796
84.287164, 92.037, -170.6926
84.897943, 92.021, -171.1829
85.513149, 92.004, -171.6547
86.132812, 91.988, -172.1209
86.756966, 91.973, -172.5980
87.385643, 91.958, -173.0984
88.018875, 91.941, -173.6251
88.656696, 91.921, -174.1711
89.299139, 91.898, -174.7265
89.946238, 91.873, -175.2837
90.598025, 91.846, -175.8374
91.254536, 91.817, -176.3827
91.915804, 91.789, -176.9155
92.581864, 91.761, -177.4357
93.252750, 91.734, -177.9464
93.928498, 91.707, -178.4507
94.609143, 91.680, -178.9494
95.294719, 91.652, -179.4408
95.985264, 91.622, -179.9218
96.680813, 91.588, 179.6106
97.381402, 91.552, 179.1580
98.087068, 91.511, 178.7225
98.797847, 91.466, 178.3077
99.513777, 91.418, 177.9184
100.234895, 91.368, 177.5547
100.961238, 91.317, 177.2103
101.692845, 91.265, 176.8748
102.429753, 91.214, 176.5396
103.172002, 91.163, 176.1995
103.919628, 91.112, 175.8514
104.672673, 91.062, 175.4939
105.431174, 91.012, 175.1268
106.195172, 90.961, 174.7520
106.964706, 90.911, 174.3728
107.739816, 90.860, 173.9923
108.520543, 90.809, 173.6125
109.306928, 90.757, 173.2369
110.099011, 90.703, 172.8732
110.896834, 90.647, 172.5304
111.700438, 90.588, 172.2161
112.509866, 90.528, 171.9332
113.325158, 90.467, 171.6791
114.146359, 90.404, 171.4492
114.973511, 90.340, 171.2393
115.806656, 90.274, 171.0469
116.645839, 90.207, 170.8702
117.491103, 90.139, 170.7050
118.342492, 90.072, 170.5441
119.200050, 90.006, 170.3791
120.063823, 89.940, 170.2006
120.933855, 89.873, 170.0042
121.810191, 89.802, 169.7982
122.692878, 89.727, 169.6009
123.581962, 89.648, 169.4293
124.477487, 89.567, 169.2897
125.379503, 89.487, 169.1760
126.288054, 89.408, 169.0756
127.203189, 89.332, 168.9770
128.124956, 89.258, 168.8747
129.053402, 89.186, 168.7721
129.988577, 89.116, 168.6813
130.930527, 89.047, 168.6181
131.879304, 88.980, 168.5964
132.834956, 88.916, 168.6248
133.797533, 88.854, 168.7030
134.767085, 88.794, 168.8210
135.743663, 88.736, 168.9620
136.727317, 88.679, 169.1093
137.718100, 88.620, 169.2526
138.716062, 88.560, 169.3878
139.721255, 88.499, 169.5135
140.733733, 88.438, 169.6296
141.753548, 88.377, 169.7390
142.780753, 88.318, 169.8474
143.815401, 88.261, 169.9617
144.857546, 88.207, 170.0876
145.907244, 88.157, 170.2300
146.964548, 88.111, 170.3928
148.029514, 88.070, 170.5782
149.102197, 88.032, 170.7868
150.182652, 87.998, 171.0176
151.270938, 87.967, 171.2666
152.367109, 87.938, 171.5279
153.471224, 87.909, 171.7948
154.583340, 87.880, 172.0614
155.703515, 87.853, 172.3239
156.831807, 87.827, 172.5800
157.968274, 87.804, 172.8284
159.112978, 87.784, 173.0691
160.265976, 87.767, 173.3030
161.427329, 87.753, 173.5311
162.597098, 87.741, 173.7539
163.775344, 87.731, 173.9725
164.962128, 87.721, 174.1898
166.157511, 87.713, 174.4099
167.361557, 87.706, 174.6361
168.574328, 87.701, 174.8688
169.795887, 87.699, 175.1060
171.026298, 87.699, 175.3441
172.265625, 87.701, 175.5792
173.513933, 87.703, 175.8063
174.771286, 87.705, 176.0210
176.037751, 87.708, 176.2199
177.313393, 87.712, 176.4014
178.598279, 87.717, 176.5660
179.892476, 87.725, 176.7170
181.196051, 87.735, 176.8583
182.509072, 87.748, 176.9913
183.831608, 87.761, 177.1149
185.163728, 87.776, 177.2268
186.505500, 87.791, 177.3263
187.856996, 87.806, 177.4150
189.218285, 87.820, 177.4959
190.589439, 87.834, 177.5709
191.970529, 87.849, 177.6389
193.361626, 87.864, 177.6969
194.762804, 87.879, 177.7422
196.174136, 87.895, 177.7731
197.595694, 87.912, 177.7902
199.027554, 87.927, 177.7957
200.469790, 87.943, 177.7920
201.922477, 87.957, 177.7819
203.385690, 87.969, 177.7692
204.859507, 87.981, 177.7580
206.344003, 87.990, 177.7524
207.839257, 87.999, 177.7549
209.345346, 88.007, 177.7654
210.862348, 88.015, 177.7816
212.390344, 88.022, 177.7991
213.929412, 88.030, 177.8130
215.479633, 88.038, 177.8179
217.041087, 88.048, 177.8102
218.613856, 88.057, 177.7889
220.198022, 88.067, 177.7560
221.793668, 88.076, 177.7141
223.400876, 88.084, 177.6650
225.019731, 88.090, 177.6089
226.650317, 88.095, 177.5452
228.292718, 88.100, 177.4733
229.947022, 88.104, 177.3940
231.613312, 88.108, 177.3097
233.291678, 88.113, 177.2242
234.982206, 88.118, 177.1428
236.684984, 88.124, 177.0714
238.400101, 88.129, 177.0142
240.127646, 88.135, 176.9719
241.867710, 88.141, 176.9413
243.620383, 88.145, 176.9160
245.385757, 88.149, 176.8890
