* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Left 16, Left 17, Left 18, Left 19, Left 20, Left 21, Left 22, Left 23, Left 24, Left 25, Left 26, Left 27, Left 28, Left 29, Left 30
* Dated: Jan 12, 2025 11:02:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Left 16, Left 17, Left 18, Left 19, Left 20, Left 21, Left 22, Left 23, Left 24, Left 25, Left 26, Left 27, Left 28, Left 29, Left 30
* Measurement: Left Ear AVG
* Smoothing: 1/12 octave
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
19.850924, 89.740
20.187380, 89.825
20.523836, 89.909
20.860293, 89.982
21.196749, 90.033
21.533205, 90.054
21.869662, 90.048
22.206118, 90.029
22.542574, 90.014
22.879030, 90.023
23.215487, 90.059
23.551943, 90.116
23.888399, 90.176
24.224856, 90.220
24.561312, 90.241
24.897768, 90.239
25.234225, 90.228
25.570681, 90.221
25.907137, 90.227
26.243594, 90.246
26.580050, 90.273
26.916506, 90.297
27.252963, 90.313
27.589419, 90.317
27.925875, 90.314
28.262332, 90.309
28.598788, 90.306
28.935244, 90.307
29.271701, 90.307
29.608157, 90.304
29.944613, 90.296
30.281070, 90.285
30.617526, 90.275
30.953982, 90.271
31.290439, 90.274
31.626895, 90.282
31.963351, 90.289
32.299808, 90.289
32.636264, 90.279
32.972720, 90.263
33.309177, 90.246
33.645633, 90.236
33.982089, 90.235
34.318546, 90.243
34.655002, 90.256
34.991458, 90.268
35.327915, 90.276
35.664371, 90.279
36.000827, 90.278
36.337284, 90.274
36.673740, 90.268
37.010196, 90.258
37.346653, 90.245
37.683109, 90.226
38.019565, 90.204
38.356022, 90.180
38.692478, 90.159
39.028934, 90.144
39.365391, 90.137
39.701847, 90.137
40.038303, 90.144
40.374760, 90.153
40.711216, 90.163
41.047672, 90.171
41.384129, 90.177
41.720585, 90.181
42.057041, 90.183
42.393498, 90.184
42.729954, 90.184
43.066410, 90.183
43.402867, 90.182
43.739323, 90.181
44.075779, 90.179
44.412236, 90.179
44.748692, 90.179
45.085148, 90.182
45.421605, 90.186
45.758061, 90.192
46.094517, 90.198
46.430974, 90.205
46.767430, 90.212
47.103886, 90.219
47.440342, 90.228
47.776799, 90.239
48.113255, 90.254
48.449711, 90.271
48.786168, 90.292
49.122624, 90.317
49.459080, 90.344
49.795537, 90.374
50.131993, 90.406
50.468449, 90.441
50.804906, 90.477
51.141362, 90.515
51.477818, 90.555
51.814275, 90.597
52.150731, 90.641
52.487187, 90.685
52.823644, 90.731
53.160100, 90.777
53.496556, 90.824
53.833013, 90.872
54.169469, 90.920
54.505925, 90.968
54.842382, 91.017
55.178838, 91.066
55.515294, 91.114
55.851751, 91.164
56.188207, 91.213
56.524663, 91.262
56.861120, 91.311
57.197576, 91.361
57.534032, 91.410
57.870489, 91.458
58.206945, 91.506
58.543401, 91.553
58.879858, 91.599
59.216314, 91.646
59.552770, 91.692
59.889227, 91.739
60.225683, 91.786
60.562139, 91.834
60.898596, 91.882
61.235052, 91.931
61.571508, 91.978
61.907965, 92.025
62.244421, 92.071
