* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Right 16, Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25, Right 26, Right 28, Right 29, Right 30, Right 31
* Dated: Jan 12, 2025 11:12:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Right 16, Right 17, Right 18, Right 19, Right 20, Right 21, Right 22, Right 23, Right 24, Right 25, Right 26, Right 28, Right 29, Right 30, Right 31
* Measurement: Right 16 AVG
* Smoothing: 1/12 octave
* Frequency Step: 0.33645633 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
19.850924, 88.255
20.187380, 88.234
20.523836, 88.230
20.860293, 88.263
21.196749, 88.334
21.533205, 88.425
21.869662, 88.512
22.206118, 88.568
22.542574, 88.584
22.879030, 88.565
23.215487, 88.529
23.551943, 88.497
23.888399, 88.485
24.224856, 88.495
24.561312, 88.516
24.897768, 88.535
25.234225, 88.541
25.570681, 88.536
25.907137, 88.529
26.243594, 88.532
26.580050, 88.554
26.916506, 88.591
27.252963, 88.634
27.589419, 88.669
27.925875, 88.686
28.262332, 88.685
28.598788, 88.673
28.935244, 88.659
29.271701, 88.653
29.608157, 88.655
29.944613, 88.664
30.281070, 88.672
30.617526, 88.676
30.953982, 88.672
31.290439, 88.664
31.626895, 88.653
31.963351, 88.644
32.299808, 88.639
32.636264, 88.638
32.972720, 88.638
33.309177, 88.638
33.645633, 88.637
33.982089, 88.634
34.318546, 88.633
34.655002, 88.635
34.991458, 88.642
35.327915, 88.654
35.664371, 88.669
36.000827, 88.685
36.337284, 88.698
36.673740, 88.707
37.010196, 88.712
37.346653, 88.713
37.683109, 88.714
38.019565, 88.715
38.356022, 88.718
38.692478, 88.721
39.028934, 88.725
39.365391, 88.728
39.701847, 88.729
40.038303, 88.729
40.374760, 88.727
40.711216, 88.725
41.047672, 88.723
41.384129, 88.723
41.720585, 88.724
42.057041, 88.728
42.393498, 88.732
42.729954, 88.739
43.066410, 88.747
43.402867, 88.758
43.739323, 88.771
44.075779, 88.787
44.412236, 88.806
44.748692, 88.827
45.085148, 88.851
45.421605, 88.876
45.758061, 88.902
46.094517, 88.930
46.430974, 88.958
46.767430, 88.986
47.103886, 89.015
47.440342, 89.045
47.776799, 89.078
48.113255, 89.112
48.449711, 89.149
48.786168, 89.189
49.122624, 89.230
49.459080, 89.273
49.795537, 89.317
50.131993, 89.362
50.468449, 89.408
50.804906, 89.455
51.141362, 89.502
51.477818, 89.551
51.814275, 89.601
52.150731, 89.653
52.487187, 89.705
52.823644, 89.759
53.160100, 89.814
53.496556, 89.870
53.833013, 89.926
54.169469, 89.982
54.505925, 90.039
54.842382, 90.095
55.178838, 90.150
55.515294, 90.205
55.851751, 90.259
56.188207, 90.312
56.524663, 90.364
56.861120, 90.414
57.197576, 90.462
57.534032, 90.508
57.870489, 90.554
58.206945, 90.598
58.543401, 90.642
58.879858, 90.685
59.216314, 90.728
59.552770, 90.771
59.889227, 90.815
60.225683, 90.858
60.562139, 90.902
60.898596, 90.946
61.235052, 90.990
61.571508, 91.033
61.907965, 91.075
62.244421, 91.115
