* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 16, 2025 11:24:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yaxi Left 51
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 71.254, -19.1795
20.140070, 71.375, -19.8111
20.286013, 71.496, -20.4677
20.433014, 71.615, -21.1435
20.581080, 71.732, -21.8306
20.730219, 71.846, -22.5202
20.880438, 71.959, -23.2041
21.031747, 72.069, -23.8753
21.184151, 72.179, -24.5294
21.337660, 72.289, -25.1645
21.492282, 72.400, -25.7812
21.648024, 72.513, -26.3821
21.804894, 72.627, -26.9707
21.962902, 72.743, -27.5503
22.122054, 72.860, -28.1230
22.282359, 72.976, -28.6892
22.443827, 73.092, -29.2473
22.606464, 73.206, -29.7939
22.770280, 73.319, -30.3250
22.935282, 73.432, -30.8371
23.101481, 73.543, -31.3284
23.268884, 73.656, -31.7995
23.437500, 73.769, -32.2541
23.607337, 73.884, -32.6981
23.778406, 73.999, -33.1389
23.950714, 74.115, -33.5829
24.124271, 74.230, -34.0340
24.299085, 74.341, -34.4911
24.475166, 74.447, -34.9480
24.652524, 74.548, -35.3929
24.831166, 74.642, -35.8102
25.011103, 74.731, -36.1834
25.192344, 74.818, -36.4992
25.374898, 74.907, -36.7514
25.558775, 75.004, -36.9451
25.743984, 75.111, -37.0984
25.930536, 75.233, -37.2427
26.118439, 75.372, -37.4184
26.307704, 75.525, -37.6689
26.498340, 75.688, -38.0333
26.690358, 75.855, -38.5384
26.883768, 76.018, -39.1948
27.078578, 76.170, -39.9947
27.274801, 76.304, -40.9135
27.472445, 76.415, -41.9134
27.671522, 76.501, -42.9489
27.872041, 76.564, -43.9729
28.074014, 76.606, -44.9425
28.277450, 76.634, -45.8251
28.482360, 76.654, -46.6021
28.688755, 76.674, -47.2714
28.896645, 76.700, -47.8470
29.106042, 76.737, -48.3549
29.316956, 76.786, -48.8277
29.529399, 76.848, -49.2970
29.743381, 76.919, -49.7881
29.958914, 76.998, -50.3157
30.176009, 77.080, -50.8838
30.394677, 77.163, -51.4870
30.614929, 77.245, -52.1144
30.836777, 77.326, -52.7533
31.060233, 77.406, -53.3927
31.285309, 77.486, -54.0250
31.512015, 77.568, -54.6469
31.740364, 77.651, -55.2585
31.970368, 77.737, -55.8623
32.202038, 77.825, -56.4617
32.435387, 77.916, -57.0596
32.670428, 78.008, -57.6579
32.907171, 78.100, -58.2575
33.145630, 78.193, -58.8581
33.385817, 78.286, -59.4589
33.627744, 78.378, -60.0581
33.871425, 78.468, -60.6538
34.116871, 78.557, -61.2439
34.364096, 78.645, -61.8269
34.613112, 78.731, -62.4017
34.863933, 78.816, -62.9682
35.116572, 78.900, -63.5276
35.371041, 78.982, -64.0813
35.627354, 79.063, -64.6309
35.885524, 79.143, -65.1771
36.145566, 79.221, -65.7197
36.407491, 79.297, -66.2578
36.671315, 79.372, -66.7910
36.937051, 79.446, -67.3201
37.204712, 79.521, -67.8482
37.474312, 79.596, -68.3801
37.745867, 79.671, -68.9214
38.019389, 79.746, -69.4768
38.294893, 79.820, -70.0482
38.572393, 79.891, -70.6334
38.851905, 79.960, -71.2266
39.133442, 80.027, -71.8201
39.417019, 80.091, -72.4061
39.702651, 80.155, -72.9794
39.990353, 80.219, -73.5386
40.280139, 80.285, -74.0862
40.572026, 80.353, -74.6273
40.866027, 80.424, -75.1679
41.162159, 80.497, -75.7125
41.460437, 80.571, -76.2634
41.760877, 80.646, -76.8206
42.063493, 80.722, -77.3823
42.368303, 80.796, -77.9461
42.675321, 80.871, -78.5095
42.984564, 80.945, -79.0711
43.296048, 81.018, -79.6298
43.609789, 81.091, -80.1856
43.925803, 81.164, -80.7384
44.244108, 81.235, -81.2891
44.564719, 81.306, -81.8387
44.887653, 81.376, -82.3888
45.212928, 81.446, -82.9409
45.540559, 81.514, -83.4964
45.870565, 81.580, -84.0554
46.202962, 81.645, -84.6170
46.537767, 81.708, -85.1796
46.874999, 81.769, -85.7413
47.214675, 81.829, -86.3014
47.556812, 81.889, -86.8603
47.901428, 81.948, -87.4199
48.248542, 82.008, -87.9818
48.598170, 82.067, -88.5472
48.950333, 82.127, -89.1160
49.305047, 82.188, -89.6882
49.662332, 82.248, -90.2648
50.022206, 82.310, -90.8482
50.384687, 82.372, -91.4411
50.749795, 82.433, -92.0439
51.117549, 82.493, -92.6525
51.487968, 82.550, -93.2589
51.861071, 82.605, -93.8535
52.236878, 82.658, -94.4298
52.615408, 82.712, -94.9874
52.996681, 82.766, -95.5320
53.380716, 82.822, -96.0721
53.767535, 82.877, -96.6145
54.157157, 82.932, -97.1620
54.549602, 82.984, -97.7132
54.944891, 83.033, -98.2648
55.343044, 83.080, -98.8141
55.744083, 83.125, -99.3605
56.148027, 83.168, -99.9058
56.554899, 83.210, -100.4539
56.964719, 83.250, -101.0088
57.377509, 83.288, -101.5712
57.793290, 83.324, -102.1351
58.212084, 83.356, -102.6876
58.633913, 83.388, -103.2149
59.058798, 83.423, -103.7123
59.486763, 83.466, -104.1920
59.917828, 83.518, -104.6816
60.352018, 83.578, -105.2115
60.789353, 83.641, -105.7988
61.229858, 83.704, -106.4392
61.673555, 83.761, -107.1114
62.120467, 83.814, -107.7897
62.570617, 83.864, -108.4553
63.024030, 83.911, -109.1006
63.480728, 83.958, -109.7262
63.940735, 84.004, -110.3356
64.404076, 84.050, -110.9321
64.870775, 84.095, -111.5181
65.340855, 84.139, -112.0958
65.814342, 84.182, -112.6667
66.291260, 84.223, -113.2327
66.771634, 84.263, -113.7952
67.255488, 84.302, -114.3558
67.742849, 84.339, -114.9163
68.233742, 84.375, -115.4782
68.728192, 84.411, -116.0432
69.226225, 84.446, -116.6128
69.727866, 84.480, -117.1877
70.233143, 84.514, -117.7671
70.742082, 84.548, -118.3490
71.254708, 84.581, -118.9309
71.771049, 84.614, -119.5107
72.291131, 84.647, -120.0873
72.814983, 84.680, -120.6602
73.342630, 84.712, -121.2297
73.874101, 84.743, -121.7956
74.409423, 84.774, -122.3574
74.948625, 84.803, -122.9134
75.491733, 84.831, -123.4627
76.038777, 84.858, -124.0063
76.589786, 84.884, -124.5474
77.144787, 84.909, -125.0892
77.703810, 84.934, -125.6340
78.266884, 84.958, -126.1824
78.834038, 84.981, -126.7345
79.405302, 85.003, -127.2906
79.980705, 85.025, -127.8502
80.560278, 85.046, -128.4115
81.144051, 85.066, -128.9715
81.732055, 85.086, -129.5266
82.324319, 85.105, -130.0740
82.920875, 85.125, -130.6131
83.521754, 85.145, -131.1454
84.126987, 85.165, -131.6739
84.736605, 85.186, -132.2010
85.350642, 85.205, -132.7277
85.969128, 85.224, -133.2539
86.592096, 85.243, -133.7795
87.219578, 85.260, -134.3053
87.851607, 85.277, -134.8328
88.488216, 85.292, -135.3638
89.129438, 85.307, -135.8987
89.775306, 85.320, -136.4356
90.425855, 85.332, -136.9706
91.081118, 85.342, -137.4994
91.741129, 85.352, -138.0204
92.405924, 85.362, -138.5349
93.075535, 85.372, -139.0455
93.749999, 85.382, -139.5544
94.429350, 85.392, -140.0621
95.113624, 85.401, -140.5689
95.802856, 85.409, -141.0751
96.497083, 85.417, -141.5819
97.196341, 85.425, -142.0912
