* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 16, 2025 11:29:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yaxi Left 61
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 72.604, -23.5825
20.140070, 72.712, -24.1136
20.286013, 72.821, -24.6366
20.433014, 72.931, -25.1545
20.581080, 73.043, -25.6720
20.730219, 73.157, -26.1942
20.880438, 73.273, -26.7267
21.031747, 73.389, -27.2747
21.184151, 73.506, -27.8419
21.337660, 73.623, -28.4307
21.492282, 73.738, -29.0414
21.648024, 73.850, -29.6726
21.804894, 73.960, -30.3209
21.962902, 74.065, -30.9813
22.122054, 74.166, -31.6481
22.282359, 74.264, -32.3149
22.443827, 74.357, -32.9760
22.606464, 74.447, -33.6260
22.770280, 74.535, -34.2610
22.935282, 74.621, -34.8785
23.101481, 74.706, -35.4775
23.268884, 74.791, -36.0582
23.437500, 74.877, -36.6220
23.607337, 74.964, -37.1713
23.778406, 75.053, -37.7087
23.950714, 75.144, -38.2373
24.124271, 75.237, -38.7601
24.299085, 75.332, -39.2802
24.475166, 75.430, -39.8008
24.652524, 75.530, -40.3257
24.831166, 75.633, -40.8586
25.011103, 75.737, -41.4036
25.192344, 75.844, -41.9647
25.374898, 75.951, -42.5456
25.558775, 76.058, -43.1488
25.743984, 76.165, -43.7751
25.930536, 76.268, -44.4233
26.118439, 76.369, -45.0898
26.307704, 76.465, -45.7686
26.498340, 76.556, -46.4519
26.690358, 76.642, -47.1307
26.883768, 76.723, -47.7961
27.078578, 76.799, -48.4404
27.274801, 76.873, -49.0577
27.472445, 76.945, -49.6453
27.671522, 77.017, -50.2034
27.872041, 77.090, -50.7356
28.074014, 77.164, -51.2474
28.277450, 77.241, -51.7454
28.482360, 77.319, -52.2362
28.688755, 77.400, -52.7253
28.896645, 77.481, -53.2162
29.106042, 77.563, -53.7104
29.316956, 77.645, -54.2076
29.529399, 77.727, -54.7070
29.743381, 77.809, -55.2073
29.958914, 77.891, -55.7083
30.176009, 77.973, -56.2105
30.394677, 78.057, -56.7162
30.614929, 78.141, -57.2280
30.836777, 78.226, -57.7491
31.060233, 78.312, -58.2819
31.285309, 78.397, -58.8276
31.512015, 78.483, -59.3864
31.740364, 78.567, -59.9568
31.970368, 78.650, -60.5369
32.202038, 78.732, -61.1242
32.435387, 78.813, -61.7168
32.670428, 78.894, -62.3130
32.907171, 78.974, -62.9123
33.145630, 79.053, -63.5145
33.385817, 79.132, -64.1194
33.627744, 79.210, -64.7271
33.871425, 79.288, -65.3367
34.116871, 79.365, -65.9469
34.364096, 79.441, -66.5557
34.613112, 79.515, -67.1607
34.863933, 79.590, -67.7599
35.116572, 79.663, -68.3516
35.371041, 79.737, -68.9349
35.627354, 79.811, -69.5104
35.885524, 79.885, -70.0790
36.145566, 79.959, -70.6427
36.407491, 80.034, -71.2032
36.671315, 80.109, -71.7621
36.937051, 80.183, -72.3201
37.204712, 80.258, -72.8771
37.474312, 80.331, -73.4326
37.745867, 80.404, -73.9858
38.019389, 80.476, -74.5365
38.294893, 80.548, -75.0848
38.572393, 80.619, -75.6318
38.851905, 80.690, -76.1789
39.133442, 80.760, -76.7275
39.417019, 80.829, -77.2784
39.702651, 80.898, -77.8318
39.990353, 80.965, -78.3870
40.280139, 81.030, -78.9427
40.572026, 81.095, -79.4977
40.866027, 81.158, -80.0513
41.162159, 81.220, -80.6030
41.460437, 81.282, -81.1532
41.760877, 81.343, -81.7025
42.063493, 81.404, -82.2511
42.368303, 81.464, -82.7990
42.675321, 81.523, -83.3453
42.984564, 81.582, -83.8889
43.296048, 81.641, -84.4287
43.609789, 81.701, -84.9650
43.925803, 81.761, -85.4995
44.244108, 81.823, -86.0355
44.564719, 81.885, -86.5768
44.887653, 81.948, -87.1265
45.212928, 82.011, -87.6844
45.540559, 82.073, -88.2478
45.870565, 82.133, -88.8112
46.202962, 82.193, -89.3696
46.537767, 82.253, -89.9208
46.874999, 82.314, -90.4672
47.214675, 82.377, -91.0148
47.556812, 82.441, -91.5706
47.901428, 82.505, -92.1385
48.248542, 82.567, -92.7180
48.598170, 82.627, -93.3041
48.950333, 82.685, -93.8901
49.305047, 82.741, -94.4714
49.662332, 82.796, -95.0463
50.022206, 82.849, -95.6160
50.384687, 82.902, -96.1825
50.749795, 82.954, -96.7470
51.117549, 83.005, -97.3094
51.487968, 83.054, -97.8690
51.861071, 83.104, -98.4260
52.236878, 83.153, -98.9824
52.615408, 83.203, -99.5415
52.996681, 83.252, -100.1071
53.380716, 83.302, -100.6828
53.767535, 83.352, -101.2701
54.157157, 83.401, -101.8680
54.549602, 83.449, -102.4726
54.944891, 83.496, -103.0781
55.343044, 83.542, -103.6795
55.744083, 83.590, -104.2745
56.148027, 83.639, -104.8636
56.554899, 83.690, -105.4495
56.964719, 83.744, -106.0350
57.377509, 83.801, -106.6249
57.793290, 83.859, -107.2267
58.212084, 83.919, -107.8505
58.633913, 83.976, -108.5021
59.058798, 84.028, -109.1751
59.486763, 84.070, -109.8468
59.917828, 84.102, -110.4843
60.352018, 84.128, -111.0596
60.789353, 84.153, -111.5646
61.229858, 84.181, -112.0151
61.673555, 84.214, -112.4412
62.120467, 84.252, -112.8708
62.570617, 84.290, -113.3191
63.024030, 84.328, -113.7875
63.480728, 84.364, -114.2716
63.940735, 84.399, -114.7679
64.404076, 84.432, -115.2755
64.870775, 84.464, -115.7942
65.340855, 84.495, -116.3234
65.814342, 84.526, -116.8616
66.291260, 84.557, -117.4078
66.771634, 84.588, -117.9611
67.255488, 84.619, -118.5200
67.742849, 84.650, -119.0820
68.233742, 84.682, -119.6439
68.728192, 84.714, -120.2026
69.226225, 84.745, -120.7564
69.727866, 84.777, -121.3060
70.233143, 84.810, -121.8531
70.742082, 84.841, -122.3992
71.254708, 84.871, -122.9442
71.771049, 84.900, -123.4866
72.291131, 84.928, -124.0252
72.814983, 84.954, -124.5598
73.342630, 84.979, -125.0911
73.874101, 85.003, -125.6205
74.409423, 85.027, -126.1495
74.948625, 85.052, -126.6797
75.491733, 85.076, -127.2120
76.038777, 85.100, -127.7469
76.589786, 85.124, -128.2841
77.144787, 85.148, -128.8218
77.703810, 85.173, -129.3586
78.266884, 85.197, -129.8934
78.834038, 85.220, -130.4255
79.405302, 85.243, -130.9549
79.980705, 85.266, -131.4814
80.560278, 85.287, -132.0048
81.144051, 85.308, -132.5248
81.732055, 85.327, -133.0411
82.324319, 85.345, -133.5545
82.920875, 85.363, -134.0659
83.521754, 85.380, -134.5769
84.126987, 85.396, -135.0887
84.736605, 85.411, -135.6021
85.350642, 85.426, -136.1167
85.969128, 85.441, -136.6323
86.592096, 85.455, -137.1486
87.219578, 85.469, -137.6660
87.851607, 85.482, -138.1844
88.488216, 85.496, -138.7036
89.129438, 85.508, -139.2219
89.775306, 85.520, -139.7372
90.425855, 85.531, -140.2476
91.081118, 85.541, -140.7526
91.741129, 85.552, -141.2535
92.405924, 85.562, -141.7524
93.075535, 85.571, -142.2502
93.749999, 85.580, -142.7471
94.429350, 85.587, -143.2429
95.113624, 85.594, -143.7377
95.802856, 85.601, -144.2309
96.497083, 85.606, -144.7218
97.196341, 85.612, -145.2102
97.900666, 85.617, -145.6965
98.610094, 85.623, -146.1810
99.324664, 85.629, -146.6632
100.044411, 85.635, -147.1418
100.769374, 85.641, -147.6162
101.499591, 85.648, -148.0870
102.235098, 85.655, -148.5563
102.975936, 85.661, -149.0263
103.722142, 85.665, -149.4977
104.473756, 85.668, -149.9678
105.230815, 85.668, -150.4330
105.993361, 85.668, -150.8927
106.761433, 85.666, -151.3496
107.535070, 85.664, -151.8062
108.314314, 85.662, -152.2629
109.099204, 85.659, -152.7189
109.889782, 85.657, -153.1733
110.686088, 85.655, -153.6271
111.488165, 85.653, -154.0815
112.296055, 85.650, -154.5367
113.109798, 85.647, -154.9919
