* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 16, 2025 11:09:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yaxi Right 28
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 72.373, -16.3407
20.140070, 72.529, -16.7988
20.286013, 72.684, -17.3182
20.433014, 72.837, -17.8953
20.581080, 72.984, -18.5212
20.730219, 73.124, -19.1838
20.880438, 73.256, -19.8682
21.031747, 73.379, -20.5586
21.184151, 73.495, -21.2403
21.337660, 73.604, -21.9005
21.492282, 73.707, -22.5295
21.648024, 73.807, -23.1218
21.804894, 73.907, -23.6757
21.962902, 74.007, -24.1936
22.122054, 74.109, -24.6814
22.282359, 74.215, -25.1475
22.443827, 74.324, -25.6014
22.606464, 74.437, -26.0531
22.770280, 74.553, -26.5116
22.935282, 74.672, -26.9841
23.101481, 74.792, -27.4760
23.268884, 74.912, -27.9901
23.437500, 75.031, -28.5272
23.607337, 75.148, -29.0862
23.778406, 75.263, -29.6641
23.950714, 75.374, -30.2568
24.124271, 75.481, -30.8596
24.299085, 75.584, -31.4667
24.475166, 75.684, -32.0723
24.652524, 75.780, -32.6708
24.831166, 75.873, -33.2573
25.011103, 75.964, -33.8281
25.192344, 76.054, -34.3811
25.374898, 76.145, -34.9168
25.558775, 76.237, -35.4379
25.743984, 76.331, -35.9496
25.930536, 76.429, -36.4592
26.118439, 76.530, -36.9749
26.307704, 76.633, -37.5047
26.498340, 76.739, -38.0555
26.690358, 76.845, -38.6317
26.883768, 76.951, -39.2344
27.078578, 77.055, -39.8615
27.274801, 77.156, -40.5081
27.472445, 77.254, -41.1675
27.671522, 77.349, -41.8323
27.872041, 77.441, -42.4960
28.074014, 77.531, -43.1538
28.277450, 77.620, -43.8036
28.482360, 77.709, -44.4453
28.688755, 77.797, -45.0811
28.896645, 77.887, -45.7136
29.106042, 77.977, -46.3456
29.316956, 78.066, -46.9784
29.529399, 78.156, -47.6118
29.743381, 78.245, -48.2438
29.958914, 78.333, -48.8718
30.176009, 78.421, -49.4927
30.394677, 78.510, -50.1049
30.614929, 78.599, -50.7083
30.836777, 78.689, -51.3045
31.060233, 78.781, -51.8972
31.285309, 78.875, -52.4905
31.512015, 78.971, -53.0889
31.740364, 79.067, -53.6954
31.970368, 79.164, -54.3119
32.202038, 79.261, -54.9382
32.435387, 79.356, -55.5729
32.670428, 79.450, -56.2134
32.907171, 79.542, -56.8563
33.145630, 79.632, -57.4985
33.385817, 79.721, -58.1375
33.627744, 79.808, -58.7709
33.871425, 79.894, -59.3979
34.116871, 79.980, -60.0186
34.364096, 80.065, -60.6339
34.613112, 80.149, -61.2457
34.863933, 80.233, -61.8558
35.116572, 80.316, -62.4653
35.371041, 80.398, -63.0742
35.627354, 80.478, -63.6810
35.885524, 80.557, -64.2837
36.145566, 80.635, -64.8801
36.407491, 80.712, -65.4698
36.671315, 80.790, -66.0547
36.937051, 80.868, -66.6389
37.204712, 80.946, -67.2279
37.474312, 81.024, -67.8260
37.745867, 81.101, -68.4344
38.019389, 81.175, -69.0500
38.294893, 81.246, -69.6664
38.572393, 81.315, -70.2750
38.851905, 81.382, -70.8695
39.133442, 81.448, -71.4476
39.417019, 81.515, -72.0125
39.702651, 81.585, -72.5713
39.990353, 81.656, -73.1313
40.280139, 81.728, -73.6975
40.572026, 81.799, -74.2691
40.866027, 81.870, -74.8414
41.162159, 81.941, -75.4084
41.460437, 82.012, -75.9675
41.760877, 82.085, -76.5220
42.063493, 82.161, -77.0811
42.368303, 82.239, -77.6569
42.675321, 82.318, -78.2585
42.984564, 82.395, -78.8884
43.296048, 82.467, -79.5396
43.609789, 82.535, -80.1983
43.925803, 82.597, -80.8486
44.244108, 82.655, -81.4772
44.564719, 82.711, -82.0779
44.887653, 82.769, -82.6530
45.212928, 82.829, -83.2118
45.540559, 82.892, -83.7672
45.870565, 82.958, -84.3320
46.202962, 83.026, -84.9158
46.537767, 83.093, -85.5222
46.874999, 83.159, -86.1486
47.214675, 83.222, -86.7867
47.556812, 83.282, -87.4260
47.901428, 83.339, -88.0560
48.248542, 83.395, -88.6698
48.598170, 83.452, -89.2661
48.950333, 83.512, -89.8486
49.305047, 83.574, -90.4247
49.662332, 83.639, -91.0026
50.022206, 83.707, -91.5895
50.384687, 83.775, -92.1897
50.749795, 83.843, -92.8039
51.117549, 83.909, -93.4284
51.487968, 83.973, -94.0565
51.861071, 84.033, -94.6799
52.236878, 84.091, -95.2922
52.615408, 84.147, -95.8905
52.996681, 84.201, -96.4763
53.380716, 84.254, -97.0539
53.767535, 84.305, -97.6274
54.157157, 84.355, -98.2001
54.549602, 84.403, -98.7740
54.944891, 84.449, -99.3518
55.343044, 84.493, -99.9361
55.744083, 84.535, -100.5296
56.148027, 84.576, -101.1342
56.554899, 84.614, -101.7518
56.964719, 84.650, -102.3844
57.377509, 84.684, -103.0317
57.793290, 84.714, -103.6868
58.212084, 84.740, -104.3318
58.633913, 84.763, -104.9431
59.058798, 84.789, -105.5037
59.486763, 84.824, -106.0187
59.917828, 84.871, -106.5189
60.352018, 84.932, -107.0483
60.789353, 85.001, -107.6402
61.229858, 85.070, -108.3003
61.673555, 85.136, -109.0081
62.120467, 85.195, -109.7325
62.570617, 85.249, -110.4500
63.024030, 85.300, -111.1499
63.480728, 85.347, -111.8312
63.940735, 85.392, -112.4946
64.404076, 85.434, -113.1394
64.870775, 85.475, -113.7661
65.340855, 85.513, -114.3786
65.814342, 85.551, -114.9835
66.291260, 85.587, -115.5870
66.771634, 85.621, -116.1924
67.255488, 85.654, -116.8004
67.742849, 85.685, -117.4099
68.233742, 85.714, -118.0197
68.728192, 85.742, -118.6286
69.226225, 85.770, -119.2363
69.727866, 85.798, -119.8427
70.233143, 85.826, -120.4477
70.742082, 85.855, -121.0510
71.254708, 85.883, -121.6515
71.771049, 85.911, -122.2485
72.291131, 85.940, -122.8416
72.814983, 85.968, -123.4316
73.342630, 85.996, -124.0199
73.874101, 86.022, -124.6075
74.409423, 86.048, -125.1943
74.948625, 86.071, -125.7792
75.491733, 86.093, -126.3618
76.038777, 86.114, -126.9425
76.589786, 86.134, -127.5225
77.144787, 86.152, -128.1018
77.703810, 86.170, -128.6793
78.266884, 86.187, -129.2541
78.834038, 86.204, -129.8264
79.405302, 86.222, -130.3971
79.980705, 86.239, -130.9659
80.560278, 86.257, -131.5327
81.144051, 86.275, -132.0978
81.732055, 86.292, -132.6624
82.324319, 86.309, -133.2256
82.920875, 86.324, -133.7853
83.521754, 86.338, -134.3394
84.126987, 86.352, -134.8883
84.736605, 86.366, -135.4346
85.350642, 86.379, -135.9810
85.969128, 86.391, -136.5294
86.592096, 86.403, -137.0798
87.219578, 86.414, -137.6318
87.851607, 86.425, -138.1833
88.488216, 86.435, -138.7324
89.129438, 86.445, -139.2777
89.775306, 86.454, -139.8185
90.425855, 86.463, -140.3541
91.081118, 86.471, -140.8842
91.741129, 86.480, -141.4092
92.405924, 86.488, -141.9313
93.075535, 86.496, -142.4537
93.749999, 86.503, -142.9800
94.429350, 86.511, -143.5129
95.113624, 86.517, -144.0530
95.802856, 86.522, -144.5977
96.497083, 86.527, -145.1430
97.196341, 86.531, -145.6863
97.900666, 86.535, -146.2271
98.610094, 86.539, -146.7655
99.324664, 86.543, -147.3018
100.044411, 86.546, -147.8357
100.769374, 86.548, -148.3669
101.499591, 86.549, -148.8959
102.235098, 86.548, -149.4209
102.975936, 86.545, -149.9380
103.722142, 86.540, -150.4432
104.473756, 86.535, -150.9374
105.230815, 86.531, -151.4259
105.993361, 86.527, -151.9137
106.761433, 86.524, -152.4028
107.535070, 86.520, -152.8918
108.314314, 86.516, -153.3780
109.099204, 86.510, -153.8583
109.889782, 86.505, -154.3313
110.686088, 86.498, -154.7980
111.488165, 86.492, -155.2620
112.296055, 86.485, -155.7277
113.109798, 86.479, -156.2003
113.929438, 86.473, -156.6835
114.755018, 86.466, -157.1787
115.586580, 86.459, -157.6834
116.424168, 86.451, -158.1923
117.267826, 86.442, -158.6993
118.117597, 86.432, -159.2003
118.973525, 86.420, -159.6921
119.835657, 86.407, -160.1707
120.704035, 86.391, -160.6318
121.578706, 86.375, -161.0770
122.459716, 86.359, -161.5140
123.347109, 86.343, -161.9509
124.240933, 86.327, -162.3919
125.141234, 86.311, -162.8369
126.048059, 86.294, -163.2837
126.961456, 86.276, -163.7295
127.881471, 86.259, -164.1725
128.808153, 86.240, -164.6121
129.741550, 86.220, -165.0492
130.681710, 86.199, -165.4848
131.628684, 86.176, -165.9185
132.582520, 86.151, -166.3479
133.543267, 86.125, -166.7705
134.510977, 86.098, -167.1850
135.485699, 86.071, -167.5912
136.467484, 86.045, -167.9887
137.456384, 86.019, -168.3771
138.452449, 85.993, -168.7564
139.455733, 85.968, -169.1283
140.466286, 85.943, -169.4950
141.484163, 85.916, -169.8584
142.509416, 85.889, -170.2208
143.542098, 85.859, -170.5844
144.582263, 85.828, -170.9497
145.629965, 85.796, -171.3146
146.685260, 85.763, -171.6757
147.748202, 85.732, -172.0295
148.818846, 85.701, -172.3727
149.897249, 85.674, -172.7025
150.983466, 85.649, -173.0182
152.077555, 85.625, -173.3207
153.179572, 85.602, -173.6124
154.289574, 85.578, -173.8964
155.407620, 85.552, -174.1747
156.533767, 85.525, -174.4498
157.668076, 85.496, -174.7252
158.810603, 85.467, -175.0040
159.961411, 85.438, -175.2861
161.120557, 85.409, -175.5679
162.288103, 85.380, -175.8450
163.464109, 85.352, -176.1158
164.648638, 85.324, -176.3813
165.841750, 85.295, -176.6436
167.043507, 85.265, -176.9037
168.253973, 85.236, -177.1627
169.473211, 85.207, -177.4210
170.701284, 85.179, -177.6790
171.938256, 85.151, -177.9358
173.184191, 85.122, -178.1901
174.439155, 85.094, -178.4417
175.703213, 85.065, -178.6922
176.976431, 85.035, -178.9442
178.258875, 85.005, -179.2009
179.550613, 84.975, -179.4645
180.851710, 84.944, -179.7351
182.162236, 84.914, 179.9905
183.482259, 84.883, 179.7167
184.811847, 84.852, 179.4474
186.151070, 84.820, 179.1840
187.499997, 84.788, 178.9262
188.858700, 84.755, 178.6736
190.227248, 84.721, 178.4269
191.605713, 84.685, 178.1870
192.994167, 84.648, 177.9557
194.392682, 84.610, 177.7363
195.801331, 84.569, 177.5339
197.220189, 84.528, 177.3536
198.649327, 84.486, 177.1979
200.088822, 84.443, 177.0691
201.538748, 84.401, 176.9681
202.999181, 84.360, 176.8933
204.470197, 84.321, 176.8409
205.951872, 84.285, 176.8049
207.444284, 84.252, 176.7783
208.947511, 84.225, 176.7543
210.461631, 84.202, 176.7252
211.986723, 84.184, 176.6841
213.522866, 84.170, 176.6252
215.070141, 84.158, 176.5446
216.628627, 84.149, 176.4396
218.198408, 84.140, 176.3087
219.779563, 84.131, 176.1523
221.372177, 84.121, 175.9729
222.976331, 84.109, 175.7741
224.592109, 84.095, 175.5602
226.219596, 84.078, 175.3354
227.858877, 84.059, 175.1038
229.510036, 84.038, 174.8694
231.173160, 84.014, 174.6373
232.848336, 83.990, 174.4128
234.535651, 83.963, 174.2010
236.235193, 83.937, 174.0042
237.947051, 83.909, 173.8196
239.671313, 83.882, 173.6406
241.408071, 83.856, 173.4596
243.157413, 83.829, 173.2722
244.919432, 83.801, 173.0808
246.694219, 83.771, 172.8914
248.481867, 83.738, 172.7079
250.282469, 83.704, 172.5303
252.096119, 83.669, 172.3570
253.922911, 83.634, 172.1873
255.762941, 83.600, 172.0230
257.616305, 83.566, 171.8693
259.483099, 83.534, 171.7302
261.363421, 83.502, 171.6050
263.257368, 83.470, 171.4865
265.165039, 83.438, 171.3662
267.086534, 83.406, 171.2397
269.021953, 83.373, 171.1083
270.971397, 83.339, 170.9771
272.934968, 83.305, 170.8514
274.912767, 83.271, 170.7339
276.904898, 83.236, 170.6257
278.911465, 83.202, 170.5273
280.932573, 83.167, 170.4382
282.968326, 83.133, 170.3563
285.018831, 83.099, 170.2786
287.084195, 83.065, 170.2018
289.164526, 83.032, 170.1234
291.259931, 83.000, 170.0421
293.370520, 82.968, 169.9586
295.496404, 82.936, 169.8744
297.637693, 82.906, 169.7919
299.794498, 82.876, 169.7125
301.966933, 82.845, 169.6369
304.155110, 82.814, 169.5656
306.359143, 82.782, 169.4982
308.579148, 82.749, 169.4344
310.815239, 82.714, 169.3748
313.067535, 82.680, 169.3198
315.336151, 82.646, 169.2678
317.621207, 82.612, 169.2170
319.922821, 82.579, 169.1667
322.241114, 82.547, 169.1185
324.576206, 82.518, 169.0740
326.928219, 82.490, 169.0333
329.297275, 82.462, 168.9937
331.683499, 82.434, 168.9520
334.087014, 82.403, 168.9069
336.507947, 82.370, 168.8585
338.946422, 82.335, 168.8093
341.402567, 82.300, 168.7635
343.876511, 82.265, 168.7251
346.368382, 82.232, 168.6951
348.878310, 82.200, 168.6705
351.406426, 82.169, 168.6489
353.952862, 82.137, 168.6297
356.517750, 82.106, 168.6132
359.101225, 82.075, 168.5975
361.703421, 82.044, 168.5793
364.324473, 82.013, 168.5569
366.964518, 81.983, 168.5316
369.623694, 81.954, 168.5066
372.302140, 81.925, 168.4833
374.999995, 81.896, 168.4616
377.717399, 81.867, 168.4404
380.454495, 81.839, 168.4199
383.211425, 81.811, 168.4009
385.988333, 81.783, 168.3831
388.785364, 81.756, 168.3641
391.602663, 81.728, 168.3417
394.440377, 81.700, 168.3142
397.298655, 81.671, 168.2819
400.177644, 81.643, 168.2449
