* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 16, 2025 11:26:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yaxi Left 55
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 71.286, -18.5314
20.140070, 71.402, -19.1498
20.286013, 71.516, -19.7866
20.433014, 71.628, -20.4387
20.581080, 71.736, -21.1012
20.730219, 71.841, -21.7685
20.880438, 71.943, -22.4348
21.031747, 72.041, -23.0942
21.184151, 72.137, -23.7415
21.337660, 72.230, -24.3721
21.492282, 72.323, -24.9824
21.648024, 72.415, -25.5699
21.804894, 72.509, -26.1335
21.962902, 72.605, -26.6742
22.122054, 72.704, -27.1952
22.282359, 72.809, -27.7025
22.443827, 72.919, -28.2046
22.606464, 73.036, -28.7128
22.770280, 73.159, -29.2397
22.935282, 73.288, -29.7981
23.101481, 73.420, -30.3987
23.268884, 73.554, -31.0484
23.437500, 73.686, -31.7485
23.607337, 73.814, -32.4933
23.778406, 73.935, -33.2695
23.950714, 74.046, -34.0582
24.124271, 74.149, -34.8354
24.299085, 74.243, -35.5770
24.475166, 74.331, -36.2614
24.652524, 74.419, -36.8749
24.831166, 74.511, -37.4156
25.011103, 74.613, -37.8959
25.192344, 74.728, -38.3424
25.374898, 74.859, -38.7932
25.558775, 75.005, -39.2906
25.743984, 75.160, -39.8738
25.930536, 75.319, -40.5698
26.118439, 75.472, -41.3878
26.307704, 75.611, -42.3156
26.498340, 75.729, -43.3209
26.690358, 75.820, -44.3548
26.883768, 75.883, -45.3575
27.078578, 75.919, -46.2667
27.274801, 75.935, -47.0264
27.472445, 75.941, -47.5964
27.671522, 75.948, -47.9617
27.872041, 75.969, -48.1376
28.074014, 76.012, -48.1700
28.277450, 76.084, -48.1282
28.482360, 76.184, -48.0900
28.688755, 76.308, -48.1250
28.896645, 76.446, -48.2806
29.106042, 76.587, -48.5746
29.316956, 76.722, -48.9958
29.529399, 76.845, -49.5119
29.743381, 76.953, -50.0791
29.958914, 77.046, -50.6538
30.176009, 77.128, -51.2020
30.394677, 77.205, -51.7056
30.614929, 77.282, -52.1642
30.836777, 77.363, -52.5931
31.060233, 77.450, -53.0164
31.285309, 77.542, -53.4587
31.512015, 77.637, -53.9387
31.740364, 77.731, -54.4631
31.970368, 77.822, -55.0275
32.202038, 77.907, -55.6184
32.435387, 77.987, -56.2186
32.670428, 78.062, -56.8130
32.907171, 78.135, -57.3918
33.145630, 78.209, -57.9536
33.385817, 78.284, -58.5034
33.627744, 78.362, -59.0504
33.871425, 78.443, -59.6039
34.116871, 78.525, -60.1700
34.364096, 78.608, -60.7496
34.613112, 78.689, -61.3386
34.863933, 78.769, -61.9296
35.116572, 78.847, -62.5145
35.371041, 78.925, -63.0870
35.627354, 79.004, -63.6447
35.885524, 79.084, -64.1888
36.145566, 79.166, -64.7247
36.407491, 79.251, -65.2589
36.671315, 79.337, -65.7987
36.937051, 79.425, -66.3492
37.204712, 79.513, -66.9130
37.474312, 79.599, -67.4891
37.745867, 79.683, -68.0737
38.019389, 79.763, -68.6609
38.294893, 79.841, -69.2443
38.572393, 79.916, -69.8182
38.851905, 79.990, -70.3797
39.133442, 80.063, -70.9292
39.417019, 80.137, -71.4703
39.702651, 80.211, -72.0090
39.990353, 80.285, -72.5510
40.280139, 80.360, -73.1006
40.572026, 80.434, -73.6588
40.866027, 80.506, -74.2233
41.162159, 80.577, -74.7897
41.460437, 80.647, -75.3540
41.760877, 80.716, -75.9141
42.063493, 80.785, -76.4708
42.368303, 80.856, -77.0279
42.675321, 80.927, -77.5900
42.984564, 80.999, -78.1610
43.296048, 81.071, -78.7423
43.609789, 81.141, -79.3333
43.925803, 81.211, -79.9314
44.244108, 81.278, -80.5333
44.564719, 81.344, -81.1357
44.887653, 81.409, -81.7355
45.212928, 81.472, -82.3296
45.540559, 81.535, -82.9168
45.870565, 81.597, -83.4982
46.202962, 81.660, -84.0778
46.537767, 81.725, -84.6620
46.874999, 81.789, -85.2567
47.214675, 81.852, -85.8641
47.556812, 81.913, -86.4810
47.901428, 81.972, -87.0988
48.248542, 82.028, -87.7087
48.598170, 82.085, -88.3062
48.950333, 82.142, -88.8929
49.305047, 82.202, -89.4767
49.662332, 82.264, -90.0662
50.022206, 82.326, -90.6656
50.384687, 82.388, -91.2728
50.749795, 82.449, -91.8805
51.117549, 82.508, -92.4802
51.487968, 82.568, -93.0669
51.861071, 82.628, -93.6404
52.236878, 82.689, -94.2041
52.615408, 82.751, -94.7623
52.996681, 82.813, -95.3176
53.380716, 82.875, -95.8704
53.767535, 82.935, -96.4196
54.157157, 82.994, -96.9653
54.549602, 83.052, -97.5091
54.944891, 83.109, -98.0537
55.343044, 83.163, -98.6014
55.744083, 83.215, -99.1527
56.148027, 83.264, -99.7067
56.554899, 83.311, -100.2637
56.964719, 83.355, -100.8275
57.377509, 83.398, -101.4023
57.793290, 83.436, -101.9880
58.212084, 83.470, -102.5740
58.633913, 83.501, -103.1420
59.058798, 83.531, -103.6764
59.486763, 83.566, -104.1782
59.917828, 83.609, -104.6702
60.352018, 83.662, -105.1870
60.789353, 83.720, -105.7553
61.229858, 83.778, -106.3790
61.673555, 83.833, -107.0402
62.120467, 83.883, -107.7124
62.570617, 83.930, -108.3759
63.024030, 83.975, -109.0229
63.480728, 84.020, -109.6545
63.940735, 84.065, -110.2726
64.404076, 84.109, -110.8781
64.870775, 84.152, -111.4720
65.340855, 84.195, -112.0567
65.814342, 84.236, -112.6348
66.291260, 84.277, -113.2075
66.771634, 84.315, -113.7751
67.255488, 84.353, -114.3383
67.742849, 84.389, -114.8984
68.233742, 84.423, -115.4575
68.728192, 84.457, -116.0162
69.226225, 84.489, -116.5742
69.727866, 84.521, -117.1312
70.233143, 84.553, -117.6884
70.742082, 84.585, -118.2479
71.254708, 84.617, -118.8127
71.771049, 84.650, -119.3840
72.291131, 84.682, -119.9610
72.814983, 84.713, -120.5410
73.342630, 84.744, -121.1212
73.874101, 84.775, -121.7000
74.409423, 84.805, -122.2774
74.948625, 84.834, -122.8536
75.491733, 84.863, -123.4274
76.038777, 84.890, -123.9967
76.589786, 84.917, -124.5601
77.144787, 84.943, -125.1172
77.703810, 84.968, -125.6683
78.266884, 84.993, -126.2141
78.834038, 85.018, -126.7555
79.405302, 85.042, -127.2947
79.980705, 85.066, -127.8337
80.560278, 85.088, -128.3737
81.144051, 85.111, -128.9139
81.732055, 85.132, -129.4544
82.324319, 85.152, -129.9954
82.920875, 85.171, -130.5374
83.521754, 85.190, -131.0798
84.126987, 85.207, -131.6216
84.736605, 85.224, -132.1614
85.350642, 85.240, -132.6988
85.969128, 85.256, -133.2343
86.592096, 85.272, -133.7690
87.219578, 85.288, -134.3042
87.851607, 85.303, -134.8402
88.488216, 85.319, -135.3764
89.129438, 85.333, -135.9105
89.775306, 85.346, -136.4396
90.425855, 85.359, -136.9613
91.081118, 85.371, -137.4753
91.741129, 85.384, -137.9838
92.405924, 85.396, -138.4901
93.075535, 85.408, -138.9968
93.749999, 85.420, -139.5045
94.429350, 85.431, -140.0139
95.113624, 85.441, -140.5256
95.802856, 85.451, -141.0405
96.497083, 85.460, -141.5585
97.196341, 85.467, -142.0786
97.900666, 85.473, -142.5992
98.610094, 85.478, -143.1179
99.324664, 85.482, -143.6311
100.044411, 85.485, -144.1367
100.769374, 85.488, -144.6343
101.499591, 85.491, -145.1252
102.235098, 85.495, -145.6101
102.975936, 85.499, -146.0900
103.722142, 85.504, -146.5694
104.473756, 85.511, -147.0542
105.230815, 85.517, -147.5469
105.993361, 85.523, -148.0448
106.761433, 85.528, -148.5433
107.535070, 85.532, -149.0394
108.314314, 85.535, -149.5312
109.099204, 85.537, -150.0172
109.889782, 85.537, -150.4957
110.686088, 85.535, -150.9660
111.488165, 85.532, -151.4288
112.296055, 85.528, -151.8879
113.109798, 85.524, -152.3493
113.929438, 85.521, -152.8196
114.755018, 85.518, -153.3039
115.586580, 85.515, -153.8038
116.424168, 85.513, -154.3172
117.267826, 85.510, -154.8381
118.117597, 85.506, -155.3575
118.973525, 85.500, -155.8635
119.835657, 85.493, -156.3433
120.704035, 85.484, -156.7887
121.578706, 85.475, -157.2033
122.459716, 85.466, -157.5993
123.347109, 85.457, -157.9901
124.240933, 85.448, -158.3867
125.141234, 85.438, -158.7961
126.048059, 85.427, -159.2200
126.961456, 85.414, -159.6539
127.881471, 85.399, -160.0912
128.808153, 85.383, -160.5251
129.741550, 85.366, -160.9501
130.681710, 85.349, -161.3633
131.628684, 85.332, -161.7661
132.582520, 85.315, -162.1628
133.543267, 85.298, -162.5579
134.510977, 85.280, -162.9535
135.485699, 85.262, -163.3485
136.467484, 85.243, -163.7404
137.456384, 85.224, -164.1265
138.452449, 85.205, -164.5050
139.455733, 85.187, -164.8764
140.466286, 85.168, -165.2423
141.484163, 85.150, -165.6040
142.509416, 85.130, -165.9624
143.542098, 85.108, -166.3186
144.582263, 85.085, -166.6740
145.629965, 85.061, -167.0299
146.685260, 85.036, -167.3871
147.748202, 85.012, -167.7448
148.818846, 84.989, -168.1007
149.897249, 84.967, -168.4528
150.983466, 84.947, -168.8002
152.077555, 84.929, -169.1441
153.179572, 84.909, -169.4830
154.289574, 84.888, -169.8112
155.407620, 84.866, -170.1232
156.533767, 84.842, -170.4197
157.668076, 84.817, -170.7067
158.810603, 84.792, -170.9911
159.961411, 84.768, -171.2782
161.120557, 84.743, -171.5699
162.288103, 84.717, -171.8646
163.464109, 84.691, -172.1584
164.648638, 84.664, -172.4477
165.841750, 84.636, -172.7296
167.043507, 84.607, -173.0030
168.253973, 84.578, -173.2672
169.473211, 84.549, -173.5219
170.701284, 84.519, -173.7668
171.938256, 84.488, -174.0010
173.184191, 84.458, -174.2235
174.439155, 84.428, -174.4336
175.703213, 84.399, -174.6317
176.976431, 84.370, -174.8184
178.258875, 84.343, -174.9947
179.550613, 84.316, -175.1611
180.851710, 84.291, -175.3171
182.162236, 84.268, -175.4618
183.482259, 84.246, -175.5947
184.811847, 84.227, -175.7177
186.151070, 84.210, -175.8347
187.499997, 84.197, -175.9506
188.858700, 84.186, -176.0700
190.227248, 84.178, -176.1968
191.605713, 84.172, -176.3344
