* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 16, 2025 11:14:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Left 35
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 65.968, 25.3857
20.140070, 66.107, 24.8361
20.286013, 66.252, 24.2883
20.433014, 66.401, 23.7368
20.581080, 66.556, 23.1750
20.730219, 66.715, 22.5959
20.880438, 66.879, 21.9924
21.031747, 67.046, 21.3578
21.184151, 67.215, 20.6875
21.337660, 67.384, 19.9790
21.492282, 67.552, 19.2332
21.648024, 67.716, 18.4539
21.804894, 67.875, 17.6484
21.962902, 68.029, 16.8266
22.122054, 68.176, 16.0000
22.282359, 68.318, 15.1808
22.443827, 68.453, 14.3801
22.606464, 68.585, 13.6072
22.770280, 68.715, 12.8682
22.935282, 68.844, 12.1656
23.101481, 68.974, 11.4976
23.268884, 69.107, 10.8593
23.437500, 69.244, 10.2427
23.607337, 69.385, 9.6385
23.778406, 69.530, 9.0377
23.950714, 69.678, 8.4320
24.124271, 69.829, 7.8158
24.299085, 69.981, 7.1859
24.475166, 70.133, 6.5416
24.652524, 70.285, 5.8843
24.831166, 70.436, 5.2159
25.011103, 70.586, 4.5391
25.192344, 70.734, 3.8554
25.374898, 70.882, 3.1658
25.558775, 71.029, 2.4697
25.743984, 71.175, 1.7662
25.930536, 71.319, 1.0542
26.118439, 71.462, 0.3329
26.307704, 71.602, -0.3971
26.498340, 71.740, -1.1337
26.690358, 71.874, -1.8735
26.883768, 72.004, -2.6119
27.078578, 72.132, -3.3442
27.274801, 72.256, -4.0662
27.472445, 72.379, -4.7749
27.671522, 72.500, -5.4692
27.872041, 72.621, -6.1501
28.074014, 72.742, -6.8209
28.277450, 72.864, -7.4857
