* Measurement data measured by REW V5.40 beta 55
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 16, 2025 10:59:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Right 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 70.545, 2.7631
20.140070, 70.684, 2.1591
20.286013, 70.823, 1.5350
20.433014, 70.960, 0.8914
20.581080, 71.096, 0.2294
20.730219, 71.230, -0.4487
20.880438, 71.361, -1.1400
21.031747, 71.489, -1.8417
21.184151, 71.614, -2.5512
21.337660, 71.737, -3.2661
21.492282, 71.857, -3.9844
21.648024, 71.974, -4.7043
21.804894, 72.089, -5.4240
21.962902, 72.200, -6.1416
22.122054, 72.309, -6.8549
22.282359, 72.415, -7.5609
22.443827, 72.519, -8.2565
22.606464, 72.620, -8.9381
22.770280, 72.719, -9.6023
22.935282, 72.817, -10.2462
23.101481, 72.915, -10.8678
23.268884, 73.013, -11.4672
23.437500, 73.114, -12.0461
23.607337, 73.217, -12.6088
23.778406, 73.323, -13.1614
23.950714, 73.434, -13.7118
24.124271, 73.548, -14.2683
24.299085, 73.665, -14.8389
24.475166, 73.785, -15.4297
24.652524, 73.904, -16.0443
24.831166, 74.023, -16.6824
25.011103, 74.140, -17.3403
25.192344, 74.253, -18.0107
25.374898, 74.361, -18.6833
25.558775, 74.466, -19.3472
25.743984, 74.567, -19.9911
25.930536, 74.667, -20.6067
26.118439, 74.767, -21.1895
26.307704, 74.870, -21.7402
26.498340, 74.977, -22.2656
26.690358, 75.092, -22.7777
26.883768, 75.213, -23.2922
27.078578, 75.341, -23.8263
27.274801, 75.475, -24.3954
27.472445, 75.611, -25.0108
27.671522, 75.747, -25.6772
27.872041, 75.880, -26.3925
28.074014, 76.007, -27.1475
28.277450, 76.126, -27.9279
28.482360, 76.238, -28.7164
28.688755, 76.342, -29.4957
28.896645, 76.440, -30.2515
29.106042, 76.534, -30.9741
29.316956, 76.626, -31.6603
29.529399, 76.720, -32.3130
29.743381, 76.816, -32.9402
29.958914, 76.915, -33.5527
30.176009, 77.017, -34.1614
30.394677, 77.122, -34.7747
30.614929, 77.227, -35.3970
30.836777, 77.333, -36.0292
31.060233, 77.438, -36.6687
31.285309, 77.541, -37.3113
31.512015, 77.644, -37.9539
31.740364, 77.747, -38.5947
31.970368, 77.850, -39.2353
32.202038, 77.954, -39.8792
32.435387, 78.058, -40.5311
32.670428, 78.163, -41.1949
32.907171, 78.266, -41.8724
33.145630, 78.368, -42.5627
33.385817, 78.468, -43.2617
33.627744, 78.565, -43.9640
33.871425, 78.659, -44.6638
34.116871, 78.751, -45.3570
34.364096, 78.843, -46.0417
34.613112, 78.934, -46.7188
34.863933, 79.025, -47.3904
35.116572, 79.116, -48.0598
35.371041, 79.207, -48.7291
35.627354, 79.297, -49.3992
35.885524, 79.387, -50.0687
36.145566, 79.476, -50.7354
36.407491, 79.564, -51.3969
36.671315, 79.651, -52.0511
36.937051, 79.739, -52.6979
37.204712, 79.828, -53.3380
37.474312, 79.917, -53.9735
37.745867, 80.008, -54.6073
38.019389, 80.099, -55.2422
38.294893, 80.192, -55.8810
38.572393, 80.285, -56.5262
38.851905, 80.378, -57.1799
39.133442, 80.471, -57.8431
39.417019, 80.563, -58.5160
39.702651, 80.654, -59.1969
39.990353, 80.743, -59.8834
40.280139, 80.831, -60.5721
40.572026, 80.916, -61.2603
40.866027, 81.000, -61.9464
41.162159, 81.083, -62.6306
41.460437, 81.164, -63.3135
41.760877, 81.245, -63.9958
42.063493, 81.323, -64.6759
42.368303, 81.400, -65.3503
42.675321, 81.475, -66.0140
42.984564, 81.550, -66.6640
43.296048, 81.625, -67.3008
43.609789, 81.702, -67.9307
43.925803, 81.782, -68.5645
44.244108, 81.862, -69.2131
44.564719, 81.943, -69.8834
44.887653, 82.020, -70.5735
45.212928, 82.092, -71.2726
45.540559, 82.159, -71.9641
45.870565, 82.222, -72.6322
46.202962, 82.284, -73.2684
46.537767, 82.347, -73.8752
46.874999, 82.414, -74.4654
47.214675, 82.486, -75.0570
47.556812, 82.560, -75.6658
47.901428, 82.635, -76.3004
48.248542, 82.708, -76.9607
48.598170, 82.779, -77.6411
48.950333, 82.847, -78.3345
49.305047, 82.912, -79.0358
49.662332, 82.975, -79.7424
50.022206, 83.036, -80.4521
50.384687, 83.094, -81.1622
50.749795, 83.151, -81.8690
51.117549, 83.208, -82.5695
51.487968, 83.265, -83.2640
51.861071, 83.324, -83.9560
