* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 21, 2025 11:13:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L 11
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 83.759, 121.1667
20.140070, 83.804, 120.4911
20.286013, 83.850, 119.8360
20.433014, 83.895, 119.1973
20.581080, 83.940, 118.5720
20.730219, 83.982, 117.9588
20.880438, 84.023, 117.3583
21.031747, 84.060, 116.7726
21.184151, 84.094, 116.2054
21.337660, 84.125, 115.6611
21.492282, 84.154, 115.1436
21.648024, 84.181, 114.6553
21.804894, 84.207, 114.1970
21.962902, 84.234, 113.7663
22.122054, 84.263, 113.3581
22.282359, 84.296, 112.9644
22.443827, 84.332, 112.5752
22.606464, 84.373, 112.1794
22.770280, 84.418, 111.7659
22.935282, 84.466, 111.3246
23.101481, 84.516, 110.8474
23.268884, 84.566, 110.3285
23.437500, 84.617, 109.7648
23.607337, 84.667, 109.1550
23.778406, 84.713, 108.5002
23.950714, 84.757, 107.8022
24.124271, 84.797, 107.0641
24.299085, 84.833, 106.2900
24.475166, 84.864, 105.4847
24.652524, 84.889, 104.6543
24.831166, 84.910, 103.8062
25.011103, 84.924, 102.9495
25.192344, 84.933, 102.0944
25.374898, 84.938, 101.2518
25.558775, 84.940, 100.4319
25.743984, 84.941, 99.6428
25.930536, 84.943, 98.8889
26.118439, 84.949, 98.1699
26.307704, 84.961, 97.4803
26.498340, 84.980, 96.8101
26.690358, 85.009, 96.1461
26.883768, 85.045, 95.4752
27.078578, 85.089, 94.7868
27.274801, 85.136, 94.0754
27.472445, 85.186, 93.3422
27.671522, 85.236, 92.5944
27.872041, 85.283, 91.8447
28.074014, 85.328, 91.1078
28.277450, 85.372, 90.3976
28.482360, 85.415, 89.7236
28.688755, 85.461, 89.0892
28.896645, 85.510, 88.4907
29.106042, 85.563, 87.9183
