* Measurement data measured by REW V5.40 beta 55
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 21, 2025 11:25:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R 5
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 83.068, 111.4620
20.140070, 83.064, 111.1810
20.286013, 83.078, 110.9745
20.433014, 83.112, 110.8034
20.581080, 83.167, 110.6235
20.730219, 83.241, 110.3920
20.880438, 83.330, 110.0720
21.031747, 83.427, 109.6382
21.184151, 83.526, 109.0793
21.337660, 83.621, 108.3980
21.492282, 83.704, 107.6107
21.648024, 83.772, 106.7445
21.804894, 83.820, 105.8338
21.962902, 83.849, 104.9178
22.122054, 83.860, 104.0363
22.282359, 83.854, 103.2258
22.443827, 83.837, 102.5170
22.606464, 83.815, 101.9305
22.770280, 83.795, 101.4745
22.935282, 83.784, 101.1429
23.101481, 83.790, 100.9148
23.268884, 83.816, 100.7565
23.437500, 83.867, 100.6246
23.607337, 83.942, 100.4721
23.778406, 84.039, 100.2535
23.950714, 84.154, 99.9309
24.124271, 84.282, 99.4773
24.299085, 84.415, 98.8787
24.475166, 84.548, 98.1340
24.652524, 84.673, 97.2534
24.831166, 84.787, 96.2563
25.011103, 84.885, 95.1693
25.192344, 84.965, 94.0226
25.374898, 85.025, 92.8492
25.558775, 85.066, 91.6812
25.743984, 85.090, 90.5491
25.930536, 85.098, 89.4789
26.118439, 85.095, 88.4908
26.307704, 85.084, 87.5974
26.498340, 85.070, 86.8027
26.690358, 85.058, 86.1021
26.883768, 85.049, 85.4834
27.078578, 85.047, 84.9291
27.274801, 85.052, 84.4194
27.472445, 85.063, 83.9358
27.671522, 85.080, 83.4642
27.872041, 85.100, 82.9969
28.074014, 85.121, 82.5331
28.277450, 85.141, 82.0775
28.482360, 85.160, 81.6378
28.688755, 85.180, 81.2215
28.896645, 85.200, 80.8327
29.106042, 85.223, 80.4695
29.316956, 85.251, 80.1237
29.529399, 85.284, 79.7817
29.743381, 85.324, 79.4269
29.958914, 85.367, 79.0443
30.176009, 85.412, 78.6234
30.394677, 85.456, 78.1608
30.614929, 85.497, 77.6612
30.836777, 85.533, 77.1355
31.060233, 85.562, 76.5980
31.285309, 85.586, 76.0628
31.512015, 85.606, 75.5403
31.740364, 85.624, 75.0350
31.970368, 85.641, 74.5449
32.202038, 85.660, 74.0636
32.435387, 85.680, 73.5829
32.670428, 85.700, 73.0971
32.907171, 85.719, 72.6048
33.145630, 85.736, 72.1107
33.385817, 85.751, 71.6241
33.627744, 85.763, 71.1555
33.871425, 85.774, 70.7138
34.116871, 85.786, 70.3022
34.364096, 85.802, 69.9171
34.613112, 85.822, 69.5485
34.863933, 85.847, 69.1838
35.116572, 85.876, 68.8115
35.371041, 85.907, 68.4250
35.627354, 85.937, 68.0247
35.885524, 85.965, 67.6173
36.145566, 85.991, 67.2130
36.407491, 86.014, 66.8208
36.671315, 86.037, 66.4455
36.937051, 86.060, 66.0859
37.204712, 86.084, 65.7352
37.474312, 86.109, 65.3846
37.745867, 86.134, 65.0265
38.019389, 86.158, 64.6582
38.294893, 86.179, 64.2827
38.572393, 86.195, 63.9073
38.851905, 86.208, 63.5411
39.133442, 86.218, 63.1912
39.417019, 86.226, 62.8610
39.702651, 86.235, 62.5492
39.990353, 86.244, 62.2512
40.280139, 86.255, 61.9603
40.572026, 86.268, 61.6699
40.866027, 86.283, 61.3744
41.162159, 86.299, 61.0694
41.460437, 86.316, 60.7529
41.760877, 86.332, 60.4260
42.063493, 86.348, 60.0938
42.368303, 86.362, 59.7651
42.675321, 86.375, 59.4503
42.984564, 86.390, 59.1570
43.296048, 86.408, 58.8859
43.609789, 86.431, 58.6276
43.925803, 86.460, 58.3647
44.244108, 86.495, 58.0781
44.564719, 86.532, 57.7549
44.887653, 86.567, 57.3950
45.212928, 86.597, 57.0115
45.540559, 86.621, 56.6256
45.870565, 86.640, 56.2578
46.202962, 86.655, 55.9196
46.537767, 86.671, 55.6111
46.874999, 86.687, 55.3231
47.214675, 86.704, 55.0441
47.556812, 86.721, 54.7664
47.901428, 86.738, 54.4881
48.248542, 86.754, 54.2100
48.598170, 86.770, 53.9312
48.950333, 86.786, 53.6472
49.305047, 86.800, 53.3519
49.662332, 86.813, 53.0426
50.022206, 86.822, 52.7246
50.384687, 86.827, 52.4107
50.749795, 86.829, 52.1161
51.117549, 86.829, 51.8507
51.487968, 86.831, 51.6136
51.861071, 86.838, 51.3929
52.236878, 86.848, 51.1712
52.615408, 86.862, 50.9338
52.996681, 86.876, 50.6753
53.380716, 86.889, 50.4006
53.767535, 86.899, 50.1213
54.157157, 86.906, 49.8494
54.549602, 86.911, 49.5918
54.944891, 86.915, 49.3495
55.343044, 86.919, 49.1204
55.744083, 86.923, 48.9022
56.148027, 86.926, 48.6939
56.554899, 86.929, 48.4937
56.964719, 86.932, 48.2971
57.377509, 86.935, 48.0988
57.793290, 86.937, 47.8982
58.212084, 86.935, 47.7051
58.633913, 86.931, 47.5385
59.058798, 86.928, 47.4151
59.486763, 86.930, 47.3364
59.917828, 86.941, 47.2816
60.352018, 86.964, 47.2150
60.789353, 86.994, 47.1039
61.229858, 87.029, 46.9345
61.673555, 87.063, 46.7153
62.120467, 87.094, 46.4678
62.570617, 87.121, 46.2137
63.024030, 87.148, 45.9658
63.480728, 87.174, 45.7271
63.940735, 87.200, 45.4944
64.404076, 87.228, 45.2628
64.870775, 87.255, 45.0280
65.340855, 87.283, 44.7880
65.814342, 87.309, 44.5432
66.291260, 87.334, 44.2954
66.771634, 87.358, 44.0456
67.255488, 87.381, 43.7935
67.742849, 87.402, 43.5377
68.233742, 87.421, 43.2782
68.728192, 87.438, 43.0175
69.226225, 87.453, 42.7594
69.727866, 87.467, 42.5068
70.233143, 87.479, 42.2590
70.742082, 87.492, 42.0122
71.254708, 87.504, 41.7620
71.771049, 87.516, 41.5058
72.291131, 87.526, 41.2437
72.814983, 87.535, 40.9774
73.342630, 87.543, 40.7084
73.874101, 87.549, 40.4382
74.409423, 87.553, 40.1695
74.948625, 87.556, 39.9063
75.491733, 87.557, 39.6527
76.038777, 87.559, 39.4098
76.589786, 87.561, 39.1754
77.144787, 87.564, 38.9461
77.703810, 87.568, 38.7196
78.266884, 87.571, 38.4968
78.834038, 87.575, 38.2791
79.405302, 87.579, 38.0659
79.980705, 87.583, 37.8543
80.560278, 87.586, 37.6410
81.144051, 87.589, 37.4254
81.732055, 87.589, 37.2106
82.324319, 87.588, 37.0007
82.920875, 87.585, 36.7979
83.521754, 87.581, 36.6011
84.126987, 87.577, 36.4080
84.736605, 87.572, 36.2177
85.350642, 87.567, 36.0321
85.969128, 87.560, 35.8553
86.592096, 87.554, 35.6915
87.219578, 87.547, 35.5425
87.851607, 87.542, 35.4070
88.488216, 87.538, 35.2812
89.129438, 87.535, 35.1623
89.775306, 87.533, 35.0494
90.425855, 87.531, 34.9413
91.081118, 87.529, 34.8330
91.741129, 87.529, 34.7168
92.405924, 87.528, 34.5883
93.075535, 87.525, 34.4492
93.749999, 87.522, 34.3045
94.429350, 87.517, 34.1598
95.113624, 87.512, 34.0199
95.802856, 87.507, 33.8891
96.497083, 87.503, 33.7686
97.196341, 87.501, 33.6565
97.900666, 87.501, 33.5491
98.610094, 87.502, 33.4428
99.324664, 87.503, 33.3362
100.044411, 87.504, 33.2315
100.769374, 87.504, 33.1320
101.499591, 87.503, 33.0397
102.235098, 87.501, 32.9534
102.975936, 87.499, 32.8711
103.722142, 87.496, 32.7931
104.473756, 87.493, 32.7201
105.230815, 87.490, 32.6509
105.993361, 87.487, 32.5823
106.761433, 87.484, 32.5114
107.535070, 87.481, 32.4380
108.314314, 87.478, 32.3630
109.099204, 87.474, 32.2865
109.889782, 87.471, 32.2082
110.686088, 87.468, 32.1288
111.488165, 87.466, 32.0499
112.296055, 87.466, 31.9733
113.109798, 87.466, 31.9012
113.929438, 87.468, 31.8366
114.755018, 87.471, 31.7815
115.586580, 87.474, 31.7371
116.424168, 87.477, 31.7037
117.267826, 87.479, 31.6799
118.117597, 87.482, 31.6602
118.973525, 87.483, 31.6356
119.835657, 87.483, 31.5981
120.704035, 87.480, 31.5464
121.578706, 87.475, 31.4864
122.459716, 87.468, 31.4256
123.347109, 87.460, 31.3716
124.240933, 87.453, 31.3325
125.141234, 87.446, 31.3120
126.048059, 87.443, 31.3049
126.961456, 87.443, 31.3005
127.881471, 87.444, 31.2897
128.808153, 87.445, 31.2685
129.741550, 87.445, 31.2387
130.681710, 87.444, 31.2061
131.628684, 87.442, 31.1757
132.582520, 87.440, 31.1493
133.543267, 87.439, 31.1258
134.510977, 87.438, 31.1032
135.485699, 87.437, 31.0809
136.467484, 87.437, 31.0593
137.456384, 87.435, 31.0380
138.452449, 87.433, 31.0153
139.455733, 87.430, 30.9908
140.466286, 87.427, 30.9655
141.484163, 87.422, 30.9399
142.509416, 87.418, 30.9152
143.542098, 87.414, 30.8937
144.582263, 87.409, 30.8793
145.629965, 87.405, 30.8749
146.685260, 87.400, 30.8807
147.748202, 87.396, 30.8930
148.818846, 87.391, 30.9071
149.897249, 87.387, 30.9191
150.983466, 87.382, 30.9266
152.077555, 87.377, 30.9288
153.179572, 87.373, 30.9265
154.289574, 87.369, 30.9231
155.407620, 87.366, 30.9254
156.533767, 87.363, 30.9412
157.668076, 87.360, 30.9744
158.810603, 87.359, 31.0238
159.961411, 87.357, 31.0843
161.120557, 87.356, 31.1497
162.288103, 87.354, 31.2148
163.464109, 87.350, 31.2766
164.648638, 87.345, 31.3340
165.841750, 87.340, 31.3878
167.043507, 87.335, 31.4389
168.253973, 87.331, 31.4878
169.473211, 87.327, 31.5357
170.701284, 87.325, 31.5845
171.938256, 87.323, 31.6365
173.184191, 87.322, 31.6930
174.439155, 87.319, 31.7535
175.703213, 87.316, 31.8172
176.976431, 87.311, 31.8847
178.258875, 87.305, 31.9571
179.550613, 87.299, 32.0330
180.851710, 87.294, 32.1084
182.162236, 87.290, 32.1785
183.482259, 87.287, 32.2403
184.811847, 87.284, 32.2944
186.151070, 87.281, 32.3442
187.499997, 87.276, 32.3942
188.858700, 87.270, 32.4489
190.227248, 87.263, 32.5111
191.605713, 87.256, 32.5818
192.994167, 87.251, 32.6606
194.392682, 87.246, 32.7454
195.801331, 87.242, 32.8342
197.220189, 87.237, 32.9281
198.649327, 87.233, 33.0295
200.088822, 87.228, 33.1396
201.538748, 87.222, 33.2571
202.999181, 87.216, 33.3802
204.470197, 87.209, 33.5072
205.951872, 87.202, 33.6378
207.444284, 87.195, 33.7715
208.947511, 87.187, 33.9077
210.461631, 87.179, 34.0447
211.986723, 87.170, 34.1818
213.522866, 87.160, 34.3207
215.070141, 87.151, 34.4651
216.628627, 87.142, 34.6180
218.198408, 87.133, 34.7813
219.779563, 87.124, 34.9547
221.372177, 87.115, 35.1369
222.976331, 87.107, 35.3265
224.592109, 87.100, 35.5223
226.219596, 87.093, 35.7244
227.858877, 87.088, 35.9331
229.510036, 87.084, 36.1465
231.173160, 87.080, 36.3622
232.848336, 87.076, 36.5786
234.535651, 87.072, 36.7966
236.235193, 87.068, 37.0196
237.947051, 87.063, 37.2531
239.671313, 87.059, 37.5035
241.408071, 87.054, 37.7762
243.157413, 87.051, 38.0721
244.919432, 87.050, 38.3878
246.694219, 87.052, 38.7178
248.481867, 87.057, 39.0563
250.282469, 87.065, 39.3983
252.096119, 87.076, 39.7398
