* Measurement data measured by REW V5.40 beta 55
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of right ear ~600 avg, left ear ~600avg
* Dated: Jan 12, 2025 8:34:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 81.9 dB
* Note: Averaged data produced from the rms magnitudes of right ear ~600 avg, left ear ~600avg
* Measurement: L+$
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
20.000000, 81.883
20.144928, 81.884
20.290907, 81.885
20.437943, 81.886
20.586045, 81.887
20.735220, 81.887
20.885476, 81.888
21.036820, 81.889
21.189262, 81.889
21.342808, 81.890
21.497467, 81.890
21.653246, 81.891
21.810155, 81.892
21.968200, 81.892
22.127391, 81.892
22.287735, 81.893
22.449241, 81.893
22.611917, 81.894
22.775773, 81.894
22.940815, 81.894
23.107054, 81.895
23.274497, 81.895
23.443154, 81.895
23.613033, 81.896
23.784142, 81.896
23.956492, 81.896
24.130091, 81.896
24.304947, 81.896
24.481071, 81.897
24.658471, 81.897
24.837156, 81.897
25.017137, 81.897
25.198421, 81.897
25.381019, 81.897
25.564940, 81.898
25.750195, 81.898
25.936791, 81.898
26.124740, 81.898
26.314050, 81.898
26.504733, 81.898
26.696797, 81.898
26.890253, 81.898
27.085111, 81.898
27.281381, 81.899
27.479073, 81.899
27.678198, 81.899
27.878765, 81.899
28.080786, 81.899
28.284271, 81.899
28.489231, 81.899
28.695675, 81.899
28.903616, 81.899
29.113064, 81.899
29.324029, 81.899
29.536523, 81.899
29.750557, 81.899
29.966142, 81.899
30.183289, 81.899
30.402009, 81.899
30.622315, 81.899
30.844217, 81.899
31.067726, 81.899
31.292856, 81.900
31.519617, 81.900
31.748021, 81.900
31.978080, 81.900
32.209807, 81.900
32.443212, 81.900
32.678309, 81.900
32.915110, 81.900
33.153626, 81.900
33.393871, 81.900
33.635857, 81.900
33.879596, 81.900
34.125101, 81.900
34.372386, 81.900
34.621462, 81.900
34.872344, 81.900
35.125043, 81.900
35.379574, 81.900
35.635949, 81.900
35.894182, 81.900
36.154286, 81.900
36.416274, 81.900
36.680162, 81.900
36.945961, 81.900
37.213687, 81.900
37.483353, 81.900
37.754973, 81.900
38.028561, 81.900
38.304131, 81.900
38.581699, 81.900
38.861278, 81.900
39.142882, 81.900
39.426528, 81.900
39.712229, 81.900
40.000000, 81.900
40.289856, 81.900
40.581813, 81.900
40.875886, 81.900
41.172089, 81.900
41.470439, 81.900
41.770951, 81.900
42.073641, 81.900
42.378524, 81.900
42.685616, 81.900
42.994934, 81.900
43.306493, 81.900
43.620309, 81.900
43.936400, 81.900
44.254781, 81.900
44.575470, 81.900
44.898482, 81.900
45.223835, 81.900
45.551545, 81.900
45.881631, 81.900
46.214108, 81.900
46.548994, 81.900
46.886308, 81.900
47.226065, 81.900
47.568285, 81.900
47.912984, 81.900
48.260181, 81.900
48.609894, 81.900
48.962142, 81.900
49.316942, 81.900
49.674312, 81.900
50.034273, 81.900
50.396842, 81.900
50.762038, 81.900
51.129881, 81.900
51.500389, 81.900
51.873582, 81.900
52.249480, 81.900
52.628101, 81.900
53.009466, 81.900
53.393594, 81.900
53.780506, 81.900
54.170222, 81.900
54.562762, 81.900
54.958146, 81.900
55.356395, 81.900
55.757531, 81.900
56.161573, 81.900
56.568542, 81.900
56.978461, 81.900
57.391351, 81.900
57.807232, 81.900
58.226127, 81.900
58.648058, 81.900
59.073046, 81.900
59.501113, 81.900
59.932283, 81.900
60.366577, 81.900
60.804018, 81.900
61.244629, 81.900
61.688433, 81.900
62.135453, 81.900
62.585712, 81.900
63.039234, 81.900
63.496042, 81.900
63.956161, 81.900
64.419613, 81.900
64.886424, 81.900
65.356618, 81.900
65.830219, 81.900
66.307252, 81.900
66.787742, 81.900
67.271713, 81.900
67.759192, 81.900
68.250203, 81.900
68.744772, 81.900
69.242925, 81.900
69.744688, 81.900
70.250086, 81.900
70.759147, 81.900
71.271897, 81.900
71.788363, 81.900
72.308571, 81.900
72.832549, 81.900
73.360323, 81.900
73.891923, 81.900
74.427374, 81.900
74.966705, 81.900
75.509945, 81.900
76.057121, 81.900
76.608262, 81.900
77.163398, 81.900
77.722555, 81.900
78.285765, 81.900
78.853056, 81.900
79.424458, 81.900
80.000000, 81.900
80.579713, 81.900
81.163627, 81.900
81.751772, 81.900
82.344179, 81.900
82.940879, 81.900
83.541903, 81.900
84.147282, 81.900
84.757048, 81.900
85.371232, 81.901
85.989867, 81.901
86.612985, 81.901
87.240619, 81.901
87.872800, 81.901
88.509563, 81.901
89.150939, 81.901
89.796964, 81.901
90.447670, 81.901
91.103091, 81.902
91.763261, 81.902
92.428216, 81.903
93.097989, 81.903
93.772615, 81.904
94.452130, 81.904
95.136569, 81.904
95.825968, 81.905
96.520362, 81.906
97.219789, 81.907
97.924283, 81.908
98.633883, 81.909
99.348625, 81.911
100.068546, 81.913
100.793684, 81.915
101.524077, 81.918
102.259762, 81.921
103.000778, 81.924
103.747164, 81.929
104.498959, 81.934
105.256202, 81.938
106.018931, 81.943
106.787188, 81.949
107.561012, 81.954
108.340444, 81.960
109.125523, 81.966
109.916292, 81.973
110.712791, 81.979
111.515061, 81.986
112.323145, 81.993
113.137085, 82.000
113.956923, 82.007
114.782702, 82.014
115.614465, 82.022
116.452255, 82.030
117.296116, 82.037
118.146092, 82.045
119.002227, 82.053
119.864566, 82.061
120.733154, 82.069
121.608036, 82.076
122.489258, 82.084
123.376866, 82.091
124.270906, 82.099
125.171424, 82.106
126.078468, 82.113
126.992084, 82.120
127.912321, 82.126
128.839227, 82.132
129.772849, 82.138
130.713236, 82.144
131.660438, 82.150
132.614504, 82.156
133.575483, 82.161
134.543426, 82.167
135.518384, 82.173
136.500406, 82.179
137.489544, 82.185
138.485850, 82.191
139.489375, 82.197
140.500173, 82.203
141.518295, 82.209
142.543795, 82.214
143.576726, 82.220
144.617142, 82.226
145.665098, 82.232
146.720647, 82.237
147.783845, 82.243
148.854748, 82.249
149.933411, 82.255
151.019890, 82.261
152.114242, 82.266
153.216525, 82.272
154.326795, 82.278
155.445111, 82.284
156.571530, 82.290
157.706112, 82.296
158.848915, 82.302
160.000000, 82.308
161.159426, 82.314
162.327254, 82.321
163.503544, 82.327
164.688358, 82.333
165.881758, 82.340
167.083805, 82.346
168.294563, 82.352
169.514095, 82.358
170.742464, 82.365
171.979734, 82.371
173.225970, 82.378
174.481237, 82.384
175.745600, 82.391
177.019125, 82.397
178.301879, 82.404
179.593928, 82.410
180.895339, 82.416
182.206182, 82.423
183.526523, 82.430
184.856431, 82.436
186.195977, 82.443
187.545230, 82.449
188.904260, 82.456
190.273138, 82.462
191.651936, 82.469
193.040725, 82.476
194.439578, 82.482
195.848567, 82.489
197.267766, 82.495
198.697250, 82.501
200.137092, 82.508
201.587368, 82.514
203.048153, 82.520
204.519524, 82.526
206.001557, 82.532
207.494329, 82.538
208.997918, 82.544
210.512403, 82.550
212.037863, 82.556
213.574377, 82.562
215.122025, 82.569
216.680888, 82.575
218.251047, 82.581
219.832584, 82.587
221.425581, 82.594
223.030122, 82.600
224.646290, 82.607
226.274170, 82.613
227.913846, 82.620
229.565404, 82.626
231.228929, 82.633
232.904509, 82.640
234.592231, 82.646
236.292183, 82.653
238.004454, 82.660
239.729132, 82.667
241.466308, 82.674
243.216073, 82.681
244.978517, 82.688
246.753732, 82.696
248.541811, 82.703
250.342848, 82.711
252.156935, 82.718
253.984168, 82.726
255.824642, 82.735
257.678453, 82.743
259.545697, 82.751
261.426473, 82.759
263.320877, 82.768
265.229008, 82.776
267.150967, 82.785
269.086853, 82.794
271.036767, 82.803
273.000811, 82.812
274.979088, 82.821
276.971700, 82.830
278.978751, 82.839
281.000346, 82.849
283.036590, 82.858
285.087590, 82.868
287.153452, 82.878
289.234284, 82.887
291.330195, 82.897
293.441294, 82.907
295.567690, 82.917
297.709496, 82.927
299.866821, 82.937
302.039780, 82.948
304.228485, 82.958
306.433050, 82.968
308.653590, 82.979
310.890221, 82.990
313.143060, 83.001
315.412224, 83.012
317.697831, 83.024
320.000000, 83.036
322.318852, 83.047
324.654507, 83.059
327.007088, 83.071
329.376716, 83.084
331.763515, 83.096
334.167610, 83.109
336.589127, 83.121
339.028190, 83.134
341.484928, 83.146
343.959469, 83.159
346.451941, 83.171
348.962474, 83.184
351.491200, 83.196
354.038251, 83.209
356.603758, 83.221
359.187855, 83.234
361.790679, 83.246
364.412363, 83.258
367.053045, 83.270
369.712863, 83.282
372.391955, 83.294
375.090460, 83.306
377.808521, 83.318
380.546277, 83.329
383.303872, 83.341
386.081450, 83.352
388.879155, 83.363
391.697134, 83.373
394.535533, 83.383
397.394500, 83.393
400.274184, 83.402
403.174736, 83.410
406.096306, 83.418
409.039048, 83.425
412.003113, 83.433
414.988657, 83.439
417.995836, 83.445
421.024807, 83.452
424.075726, 83.458
427.148753, 83.464
430.244049, 83.470
433.361775, 83.476
436.502093, 83.482
439.665167, 83.488
442.851162, 83.494
446.060244, 83.500
449.292581, 83.506
452.548340, 83.512
455.827692, 83.518
459.130807, 83.524
462.457858, 83.530
465.809019, 83.537
469.184463, 83.543
472.584367, 83.550
476.008908, 83.557
479.458265, 83.565
482.932617, 83.572
486.432146, 83.580
489.957033, 83.589
493.507464, 83.599
497.083623, 83.609
500.685695, 83.620
504.313870, 83.633
507.968337, 83.647
511.649285, 83.661
515.356906, 83.675
519.091395, 83.690
522.852945, 83.706
526.641753, 83.721
530.458016, 83.737
534.301934, 83.753
538.173706, 83.769
542.073534, 83.786
546.001623, 83.802
549.958175, 83.819
553.943399, 83.835
557.957501, 83.852
562.000691, 83.868
566.073180, 83.884
570.175180, 83.900
574.306904, 83.917
578.468569, 83.933
582.660390, 83.949
586.882588, 83.964
591.135381, 83.980
595.418991, 83.995
599.733643, 84.011
604.079560, 84.025
608.456970, 84.039
612.866100, 84.053
617.307180, 84.066
621.780442, 84.078
626.286120, 84.089
630.824447, 84.100
635.395661, 84.109
640.000000, 84.117
644.637704, 84.125
649.309014, 84.133
654.014175, 84.140
658.753431, 84.145
663.527030, 84.151
668.335221, 84.157
673.178253, 84.162
678.056380, 84.166
682.969856, 84.170
687.918938, 84.174
692.903882, 84.178
697.924949, 84.181
702.982401, 84.184
708.076501, 84.187
713.207515, 84.189
718.375711, 84.192
723.581357, 84.194
728.824726, 84.196
734.106091, 84.198
739.425726, 84.200
744.783910, 84.201
750.180921, 84.203
755.617041, 84.204
761.092554, 84.205
766.607744, 84.206
772.162900, 84.207
777.758310, 84.207
783.394268, 84.208
789.071066, 84.209
794.789000, 84.209
800.548368, 84.210
806.349472, 84.211
812.192613, 84.212
818.078095, 84.213
824.006226, 84.214
829.977315, 84.215
835.991673, 84.217
842.049613, 84.219
848.151452, 84.221
854.297507, 84.224
860.488099, 84.227
866.723550, 84.230
873.004186, 84.234
879.330334, 84.239
885.702324, 84.244
892.120489, 84.249
898.585161, 84.255
905.096680, 84.261
911.655384, 84.268
918.261614, 84.274
924.915716, 84.281
931.618037, 84.288
938.368925, 84.296
945.168733, 84.304
952.017816, 84.312
958.916529, 84.320
965.865234, 84.328
972.864291, 84.337
979.914067, 84.345
987.014928, 84.354
994.167245, 84.364
1001.371391, 84.373
1008.627741, 84.383
1015.936673, 84.392
1023.298569, 84.402
1030.713812, 84.412
1038.182790, 84.423
1045.705890, 84.434
1053.283506, 84.444
1060.916032, 84.455
1068.603867, 84.467
1076.347412, 84.478
1084.147069, 84.490
1092.003245, 84.501
1099.916351, 84.514
1107.886798, 84.526
1115.915003, 84.539
1124.001383, 84.551
1132.146360, 84.564
1140.350359, 84.578
1148.613808, 84.591
1156.937137, 84.604
1165.320781, 84.618
1173.765175, 84.632
1182.270762, 84.646
1190.837983, 84.660
1199.467286, 84.674
1208.159120, 84.688
1216.913939, 84.702
1225.732199, 84.716
