* Measurement data measured by REW V5.40 beta 55
* Source: C:\Users\golem\Downloads\Uploaded Golem HRTF (B_ 1dB, T_ -10dB) Target EQ Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Apr 23, 2025 8:38:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\golem\Downloads\Uploaded Golem HRTF (B_ 1dB, T_ -10dB) Target EQ Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced
* Measurement: Uploaded Golem HRTF (B_ 1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
20.000000, 82.486
20.144928, 82.486
20.290907, 82.486
20.437943, 82.486
20.586045, 82.487
20.735220, 82.487
20.885476, 82.487
21.036820, 82.487
21.189262, 82.487
21.342808, 82.487
21.497467, 82.488
21.653246, 82.488
21.810155, 82.488
21.968200, 82.488
22.127391, 82.488
22.287735, 82.488
22.449241, 82.489
22.611917, 82.489
22.775773, 82.489
22.940815, 82.489
23.107054, 82.489
23.274497, 82.489
23.443154, 82.489
23.613033, 82.490
23.784142, 82.490
23.956492, 82.490
24.130091, 82.490
24.304947, 82.490
24.481071, 82.490
24.658471, 82.490
24.837156, 82.490
25.017137, 82.491
25.198421, 82.491
25.381019, 82.491
25.564940, 82.491
25.750195, 82.491
25.936791, 82.491
26.124740, 82.491
26.314050, 82.491
26.504733, 82.491
26.696797, 82.491
26.890253, 82.491
27.085111, 82.491
27.281381, 82.491
27.479073, 82.491
27.678198, 82.491
27.878765, 82.491
28.080786, 82.491
28.284271, 82.491
28.489231, 82.490
28.695675, 82.490
28.903616, 82.490
29.113064, 82.490
29.324029, 82.490
29.536523, 82.490
29.750557, 82.490
29.966142, 82.490
30.183289, 82.489
30.402009, 82.489
30.622315, 82.489
30.844217, 82.489
31.067726, 82.489
31.292856, 82.488
31.519617, 82.488
31.748021, 82.488
31.978080, 82.488
32.209807, 82.487
32.443212, 82.487
32.678309, 82.487
32.915110, 82.487
33.153626, 82.486
33.393871, 82.486
33.635857, 82.486
33.879596, 82.485
34.125101, 82.485
34.372386, 82.484
34.621462, 82.484
34.872344, 82.484
35.125043, 82.483
35.379574, 82.483
35.635949, 82.482
35.894182, 82.482
36.154286, 82.482
36.416274, 82.481
36.680162, 82.481
36.945961, 82.480
37.213687, 82.480
37.483353, 82.479
37.754973, 82.478
38.028561, 82.478
38.304131, 82.477
38.581699, 82.477
38.861278, 82.476
39.142882, 82.475
39.426528, 82.475
39.712229, 82.474
40.000000, 82.473
40.289856, 82.473
40.581813, 82.472
40.875886, 82.471
41.172089, 82.471
41.470439, 82.470
41.770951, 82.469
42.073641, 82.468
42.378524, 82.467
42.685616, 82.466
42.994934, 82.466
43.306493, 82.465
43.620309, 82.464
43.936400, 82.463
44.254781, 82.462
44.575470, 82.461
44.898482, 82.460
45.223835, 82.459
